phrases,tagged_phrases,dummy_labels,POS_TAGS_OF_PHRASE
abnormalities pump,abnormalities nns pump vbp,1,<NNS><VBP>
abnormalities shroud,abnormalities nns shroud vbp,1,<NNS><VBP>
about abnormal noise,about in_pos abnormal jj noise nn,1,<IN><JJ><NN>
about motor,about in_pos motor nn,1,<IN><NN>
above degc,above in_pos degc nn,1,<IN><NN>
above marcelo,above in_pos marcelo nn,1,<IN><NN>
above mohms,above in_pos mohms nn,1,<IN><NN>
above normal operation,above in_pos normal jj operation nn,1,<IN><JJ><NN>
above normal vibration,above in_pos normal jj vibration nn,1,<IN><JJ><NN>
above of motor,above in_pos of in_pos motor nn,1,<IN><IN><NN>
above on step,above in_pos on in_pos step nn,1,<IN><IN><NN>
acceptable,acceptable jj,1,<JJ>
accesible,accesible jj,1,<JJ>
accessible,accessible jj,1,<JJ>
accetable,accetable jj,1,<JJ>
accomplished,accomplished vbn,1,<VBN>
according,according vbg,1,<VBG>
accounted,accounted vbd,1,<VBD>
accumulation cleaned,accumulation nn cleaned vbd,1,<NN><VBD>
accumulation on motor,accumulation nn on in_pos motor nn,1,<NN><IN><NN>
accumulation was,accumulation nn was vbd,1,<NN><VBD>
accurately hp,accurately rb hp nn,1,<RB><NN>
achieved,achieved vbn,1,<VBN>
action was,action nn was vbd,1,<NN><VBD>
actions required,actions nns required vbd,1,<NNS><VBD>
activated,activated vbn,1,<VBN>
actual,actual jj,1,<JJ>
added,added vbd,1,<VBD>
additional,additional jj,1,<JJ>
additive,additive jj,1,<JJ>
addressed,addressed vbn,1,<VBN>
adjusted,adjusted vbn,1,<VBN>
aforementioned,aforementioned vbn,1,<VBN>
after drill,after in_pos drill nn,1,<IN><NN>
after id run,after in_pos id jj run nn,1,<IN><JJ><NN>
after idle period,after in_pos idle jj period nn,1,<IN><JJ><NN>
after inspection,after in_pos inspection nn,1,<IN><NN>
after insulation,after in_pos insulation nn,1,<IN><NN>
after lubrication,after in_pos lubrication nn,1,<IN><NN>
after min,after in_pos min nn,1,<IN><NN>
after rotation,after in_pos rotation nn,1,<IN><NN>
after usage,after in_pos usage nn,1,<IN><NN>
again at eow,again rb at in_pos eow nn,1,<RB><IN><NN>
again drive,again rb drive nn,1,<RB><NN>
again ir,again rb ir nn,1,<RB><NN>
again untill,again rb untill jj,1,<RB><JJ>
against corrosion,against in_pos corrosion nn,1,<IN><NN>
aged,aged vbn,1,<VBN>
ahs been,ahs rb been vbn,1,<RB><VBN>
air checked,air nn checked vbd,1,<NN><VBD>
air inside motor,air nn inside in_pos motor nn,1,<NN><IN><NN>
airways are,airways nns are vbp,1,<NNS><VBP>
airways clean,airways nns clean vbp,1,<NNS><VBP>
airways clear,airways nns clear vbp,1,<NNS><VBP>
airways were,airways nns were vbd,1,<NNS><VBD>
alarm in cyberbase,alarm nn in in_pos cyberbase nn,1,<NN><IN><NN>
alarm on mud,alarm nn on in_pos mud nn,1,<NN><IN><NN>
alarm was,alarm nn was vbd,1,<NN><VBD>
alarms happened,alarms nns happened vbd,1,<NNS><VBD>
alarms main,alarms nns main jj,1,<NNS><JJ>
alarms were,alarms nns were vbd,1,<NNS><VBD>
alarms yellow,alarms nns yellow vbp,1,<NNS><VBP>
aligned,aligned vbn,1,<VBN>
aligning tensioned,aligning vbg tensioned vbd,1,<VBG><VBD>
all appear,all dt appear vbp,1,<DT><VBP>
all applicable,all dt applicable jj,1,<DT><JJ>
all available,all dt available jj,1,<DT><JJ>
all bolts installed,all dt bolts nns installed vbd,1,<DT><NNS><VBD>
all bolts torqued,all dt bolts nns torqued vbd,1,<DT><NNS><VBD>
all bolts was,all dt bolts nns was vbd,1,<DT><NNS><VBD>
all bolts were,all dt bolts nns were vbd,1,<DT><NNS><VBD>
all cables were,all dt cables nns were vbd,1,<DT><NNS><VBD>
all checked,all dt checked vbd,1,<DT><VBD>
all checks were,all dt checks nns were vbd,1,<DT><NNS><VBD>
all components was,all dt components nns was vbd,1,<DT><NNS><VBD>
all components were,all dt components nns were vbd,1,<DT><NNS><VBD>
all conections was,all dt conections nns was vbd,1,<DT><NNS><VBD>
all connections were,all dt connections nns were vbd,1,<DT><NNS><VBD>
all covers drilled,all dt covers nns drilled vbd,1,<DT><NNS><VBD>
all covers were,all dt covers nns were vbd,1,<DT><NNS><VBD>
all electrical,all dt electrical jj,1,<DT><JJ>
all fasteners were,all dt fasteners nns were vbd,1,<DT><NNS><VBD>
all fastners were,all dt fastners nns were vbd,1,<DT><NNS><VBD>
all filters removed,all dt filters nns removed vbd,1,<DT><NNS><VBD>
all found,all dt found vbd,1,<DT><VBD>
all glands appeared,all dt glands nns appeared vbd,1,<DT><NNS><VBD>
all good,all dt good jj,1,<DT><JJ>
all high,all dt high jj,1,<DT><JJ>
all in acceptable level,all dt in in_pos acceptable jj level nn,1,<DT><IN><JJ><NN>
all in good condition,all dt in in_pos good jj condition nn,1,<DT><IN><JJ><NN>
all in good order,all dt in in_pos good jj order nn,1,<DT><IN><JJ><NN>
all in good shape,all dt in in_pos good jj shape nn,1,<DT><IN><JJ><NN>
all internal,all dt internal jj,1,<DT><JJ>
all leads were,all dt leads nns were vbd,1,<DT><NNS><VBD>
all local,all dt local jj,1,<DT><JJ>
all main,all dt main jj,1,<DT><JJ>
all mechanical,all dt mechanical jj,1,<DT><JJ>
all motors greased,all dt motors nns greased vbd,1,<DT><NNS><VBD>
all motors inspected,all dt motors nns inspected vbd,1,<DT><NNS><VBD>
all motors megged,all dt motors nns megged vbd,1,<DT><NNS><VBD>
all motors started,all dt motors nns started vbd,1,<DT><NNS><VBD>
all operational,all dt operational jj,1,<DT><JJ>
all other,all dt other jj,1,<DT><JJ>
all others were,all dt others nns were vbd,1,<DT><NNS><VBD>
all personal,all dt personal jj,1,<DT><JJ>
all pumps were,all dt pumps nns were vbd,1,<DT><NNS><VBD>
all relevant,all dt relevant jj,1,<DT><JJ>
all satisfactory,all dt satisfactory jj,1,<DT><JJ>
all sealed,all dt sealed vbd,1,<DT><VBD>
all steps found,all dt steps nns found vbd,1,<DT><NNS><VBD>
all steps were,all dt steps nns were vbd,1,<DT><NNS><VBD>
all tags were,all dt tags nns were vbd,1,<DT><NNS><VBD>
all terminals tightened,all dt terminals nns tightened vbd,1,<DT><NNS><VBD>
all tools accounted,all dt tools nns accounted vbd,1,<DT><NNS><VBD>
all tools were,all dt tools nns were vbd,1,<DT><NNS><VBD>
all visual,all dt visual jj,1,<DT><JJ>
all ware good,all dt ware nn good jj,1,<DT><NN><JJ>
all was,all dt was vbd,1,<DT><VBD>
all were,all dt were vbd,1,<DT><VBD>
along with day,along in_pos with in_pos day nn,1,<IN><IN><NN>
along with heat,along in_pos with in_pos heat nn,1,<IN><IN><NN>
along with humidity,along in_pos with in_pos humidity nn,1,<IN><IN><NN>
along with verification,along in_pos with in_pos verification nn,1,<IN><IN><NN>
already calibrated,already rb calibrated vbn,1,<RB><VBN>
already connected,already rb connected vbn,1,<RB><VBN>
already created,already rb created vbn,1,<RB><VBN>
also as reference,also rb as in_pos reference nn,1,<RB><IN><NN>
also been,also rb been vbn,1,<RB><VBN>
also discovered,also rb discovered vbd,1,<RB><VBD>
also fixed,also rb fixed vbn,1,<RB><VBN>
also in good condition,also rb in in_pos good jj condition nn,1,<RB><IN><JJ><NN>
also mud,also rb mud nn,1,<RB><NN>
also noticed,also rb noticed vbd,1,<RB><VBD>
also surface,also rb surface nn,1,<RB><NN>
ammended,ammended vbd,1,<VBD>
ammeter lubricated,ammeter rb lubricated vbn,1,<RB><VBN>
ammeter made,ammeter nn made vbd,1,<NN><VBD>
ammeter measured,ammeter nn measured vbd,1,<NN><VBD>
ammeter measused,ammeter nn measused vbd,1,<NN><VBD>
ammount of dust,ammount nn of in_pos dust nn,1,<NN><IN><NN>
amount of air,amount nn of in_pos air nn,1,<NN><IN><NN>
amount of dust,amount nn of in_pos dust nn,1,<NN><IN><NN>
amperage was,amperage nn was vbd,1,<NN><VBD>
amps carried,amps nns carried vbd,1,<NNS><VBD>
amps checked,amps nns checked vbd,1,<NNS><VBD>
amps confirmed,amps nns confirmed vbd,1,<NNS><VBD>
amps corrective,amps nns corrective vbp,1,<NNS><VBP>
amps done,amps nns done vbn,1,<NNS><VBN>
amps note,amps nns note vbp,1,<NNS><VBP>
amps opened,amps nns opened vbd,1,<NNS><VBD>
amps visualized,amps nns visualized vbd,1,<NNS><VBD>
amps were,amps nns were vbd,1,<NNS><VBD>
an abnormal,an dt abnormal jj,1,<DT><JJ>
an acceptable,an dt acceptable jj,1,<DT><JJ>
an confimred,an dt confimred jj,1,<DT><JJ>
an empty,an dt empty jj,1,<DT><JJ>
an enclosed,an dt enclosed jj,1,<DT><JJ>
an in good condition,an dt in in_pos good jj condition nn,1,<DT><IN><JJ><NN>
an infrared,an dt infrared jj,1,<DT><JJ>
an old,an dt old jj,1,<DT><JJ>
an open,an dt open jj,1,<DT><JJ>
an unplanned,an dt unplanned jj,1,<DT><JJ>
analysis on board,analysis nn on in_pos board nn,1,<NN><IN><NN>
analysis performed,analysis nn performed vbd,1,<NN><VBD>
analysis was,analysis nn was vbd,1,<NN><VBD>
analyze on ac,analyze nn on in_pos ac nn,1,<NN><IN><NN>
anf have,anf nns have vbp,1,<NNS><VBP>
annual,annual jj,1,<JJ>
ans inertia,ans nns inertia vbp,1,<NNS><VBP>
any abnormal,any dt abnormal jj,1,<DT><JJ>
any internal,any dt internal jj,1,<DT><JJ>
any issues noted,any dt issues nns noted vbd,1,<DT><NNS><VBD>
any loose,any dt loose jj,1,<DT><JJ>
any noiseused,any dt noiseused jj,1,<DT><JJ>
any noticeable,any dt noticeable jj,1,<DT><JJ>
any obvious,any dt obvious jj,1,<DT><JJ>
any unusal,any dt unusal jj,1,<DT><JJ>
any visible,any dt visible jj,1,<DT><JJ>
any visual,any dt visual jj,1,<DT><JJ>
appeared,appeared vbd,1,<VBD>
appears clean,appears vbz clean jj,1,<VBZ><JJ>
applicable,applicable jj,1,<JJ>
applied,applied vbn,1,<VBN>
apply performed,apply nn performed vbd,1,<NN><VBD>
approved,approved vbn,1,<VBN>
arcing,arcing vbg,1,<VBG>
are addressed,are vbp addressed vbn,1,<VBP><VBN>
are attached,are vbp attached vbn,1,<VBP><VBN>
are checked,are vbp checked vbn,1,<VBP><VBN>
are cleared,are vbp cleared vbn,1,<VBP><VBN>
are completed,are vbp completed vbn,1,<VBP><VBN>
are formed,are vbp formed vbn,1,<VBP><VBN>
are found,are vbp found vbn,1,<VBP><VBN>
are installed,are vbp installed vbn,1,<VBP><VBN>
are marked,are vbp marked vbn,1,<VBP><VBN>
are ohms,are vbp ohms jj,1,<VBP><JJ>
are recorded,are vbp recorded vbn,1,<VBP><VBN>
are removed,are vbp removed vbn,1,<VBP><VBN>
are secure,are vbp secure nn,1,<VBP><NN>
are secured,are vbp secured vbn,1,<VBP><VBN>
are tripped,are vbp tripped vbn,1,<VBP><VBN>
area checked,area nn checked vbd,1,<NN><VBD>
around ac motor,around in_pos ac nns motor nn,1,<IN><NNS><NN>
around motor,around in_pos motor nn,1,<IN><NN>
around ohms,around in_pos ohms nns,1,<IN><NNS>
around pumped,around in_pos pumped vbd,1,<IN><VBD>
arrester for damage,arrester nn for in_pos damage nn,1,<NN><IN><NN>
arrestor closed,arrestor nn closed vbd,1,<NN><VBD>
arrestor fitted,arrestor nn fitted vbd,1,<NN><VBD>
arrived,arrived vbn,1,<VBN>
as air,as in_pos air nn,1,<IN><NN>
as below i,as in_pos below in_pos i nn,1,<IN><IN><NN>
as cooling,as in_pos cooling nn,1,<IN><NN>
as design,as in_pos design nn,1,<IN><NN>
as designed,as in_pos designed vbn,1,<IN><VBN>
as i,as in_pos i nn,1,<IN><NN>
as intended,as in_pos intended vbn,1,<IN><VBN>
as manufacture,as in_pos manufacture nn,1,<IN><NN>
as n,as in_pos n nn,1,<IN><NN>
as nameplate,as in_pos nameplate nn,1,<IN><NN>
as nameplate refer,as in_pos nameplate jj refer nn,1,<IN><JJ><NN>
as needed note,as in_pos needed vbn note nn,1,<IN><VBN><NN>
as of july,as in_pos of in_pos july nn,1,<IN><IN><NN>
as pass,as in_pos pass nn,1,<IN><NN>
as per chart,as in_pos per in_pos chart nn,1,<IN><IN><NN>
as per check,as in_pos per in_pos check nn,1,<IN><IN><NN>
as per chief,as in_pos per nn chief nn,1,<IN><NN><NN>
as per company,as in_pos per in_pos company nn,1,<IN><IN><NN>
as per day,as in_pos per in_pos day nn,1,<IN><IN><NN>
as per discussion,as in_pos per in_pos discussion nn,1,<IN><IN><NN>
as per feedback,as in_pos per in_pos feedback nn,1,<IN><IN><NN>
as per job,as in_pos per in_pos job nn,1,<IN><IN><NN>
as per manufacturer,as in_pos per in_pos manufacturer nn,1,<IN><IN><NN>
as per nov,as in_pos per in_pos nov nn,1,<IN><IN><NN>
as per oem,as in_pos per in_pos oem nn,1,<IN><IN><NN>
as per pm,as in_pos per in_pos pm nn,1,<IN><IN><NN>
as per pmmegger,as in_pos per in_pos pmmegger nn,1,<IN><IN><NN>
as per procedure,as in_pos per in_pos procedure nn,1,<IN><IN><NN>
as per recommendation,as in_pos per in_pos recommendation nn,1,<IN><IN><NN>
as per report,as in_pos per in_pos report nn,1,<IN><IN><NN>
as per rig,as in_pos per in_pos rig nn,1,<IN><IN><NN>
as per rms,as in_pos per in_pos rms nns,1,<IN><IN><NNS>
as per scehdule,as in_pos per in_pos scehdule nn,1,<IN><IN><NN>
as per task,as in_pos per in_pos task nn,1,<IN><IN><NN>
as per ther,as in_pos per in_pos ther nn,1,<IN><IN><NN>
as per wchb,as in_pos per in_pos wchb nn,1,<IN><IN><NN>
as required equipment,as in_pos required vbn equipment nn,1,<IN><VBN><NN>
as required motor,as in_pos required vbn motor nn,1,<IN><VBN><NN>
as required note,as in_pos required vbn note nn,1,<IN><VBN><NN>
as well,as in_pos well rb,1,<IN><RB>
asked,asked vbn,1,<VBN>
assembled,assembled vbn,1,<VBN>
assembling,assembling vbg,1,<VBG>
assembly for damage,assembly rb for in_pos damage nn,1,<RB><IN><NN>
assembly for damagelubrication,assembly rb for in_pos damagelubrication nn,1,<RB><IN><NN>
assembly good,assembly rb good jj,1,<RB><JJ>
assembly was,assembly nn was vbd,1,<NN><VBD>
assistance started,assistance nn started vbd,1,<NN><VBD>
assisted,assisted vbn,1,<VBN>
associated,associated vbn,1,<VBN>
at ambient,at in_pos ambient nn,1,<IN><NN>
at ambient motor,at in_pos ambient jj motor nn,1,<IN><JJ><NN>
at ambient room,at in_pos ambient jj room nn,1,<IN><JJ><NN>
at correct run,at in_pos correct jj run nn,1,<IN><JJ><NN>
at correct temperature,at in_pos correct jj temperature nn,1,<IN><JJ><NN>
at deck,at in_pos deck nn,1,<IN><NN>
at eow,at in_pos eow nn,1,<IN><NN>
at full load,at in_pos full jj load nn,1,<IN><JJ><NN>
at fvd perform,at in_pos fvd jj perform nn,1,<IN><JJ><NN>
at good condition,at in_pos good jj condition nn,1,<IN><JJ><NN>
at in wc,at in_pos in in_pos wc nn,1,<IN><IN><NN>
at load side,at in_pos load jj side nn,1,<IN><JJ><NN>
at manual gauge,at in_pos manual jj gauge nn,1,<IN><JJ><NN>
at mcc starter,at in_pos mcc rbs starter nn,1,<IN><RBS><NN>
at moment,at in_pos moment nn,1,<IN><NN>
at motor,at in_pos motor nn,1,<IN><NN>
at mud pump,at in_pos mud rbs pump nn,1,<IN><RBS><NN>
at nde,at in_pos nde nn,1,<IN><NN>
at next pm,at in_pos next jj pm nn,1,<IN><JJ><NN>
at nonhazardous area,at in_pos nonhazardous jj area nn,1,<IN><JJ><NN>
at ohm,at in_pos ohm nn,1,<IN><NN>
at ohms,at in_pos ohms nn,1,<IN><NN>
at ohms panel,at in_pos ohms jj panel nn,1,<IN><JJ><NN>
at ohms push,at in_pos ohms jj push nn,1,<IN><JJ><NN>
at ohms step,at in_pos ohms jj step nn,1,<IN><JJ><NN>
at prm,at in_pos prm nn,1,<IN><NN>
at psi,at in_pos psi nn,1,<IN><NN>
at rpm,at in_pos rpm nn,1,<IN><NN>
at serial number,at in_pos serial jj number nn,1,<IN><JJ><NN>
at terminal box,at in_pos terminal jj box nn,1,<IN><JJ><NN>
at termination,at in_pos termination nn,1,<IN><NN>
at time,at in_pos time nn,1,<IN><NN>
at vac,at in_pos vac nn,1,<IN><NN>
at vdc,at in_pos vdc nn,1,<IN><NN>
attached,attached vbn,1,<VBN>
attatched,attatched vbn,1,<VBN>
auto cancelled,auto nn cancelled vbd,1,<NN><VBD>
automated,automated vbn,1,<VBN>
automatically overwritten,automatically rb overwritten vb,1,<RB><VB>
auxiliaries ensured,auxiliaries nns ensured vbd,1,<NNS><VBD>
auxiliaries make,auxiliaries nns make vbp,1,<NNS><VBP>
available,available jj,1,<JJ>
availlable,availlable jj,1,<JJ>
awaiting,awaiting vbg,1,<VBG>
aware,aware jj,1,<JJ>
az was,az nn was vbd,1,<NN><VBD>
b de c,b nn de in_pos c nn,1,<NN><IN><NN>
b de vibration,b nn de in_pos vibration nn,1,<NN><IN><NN>
b failed,b nn failed vbd,1,<NN><VBD>
b for analysis,b nn for in_pos analysis nn,1,<NN><IN><NN>
b from repair,b nn from in_pos repair nn,1,<NN><IN><NN>
b made,b nn made vbd,1,<NN><VBD>
b make,b nns make vbp,1,<NNS><VBP>
b observed,b nn observed vbd,1,<NN><VBD>
b on mud,b nn on in_pos mud nn,1,<NN><IN><NN>
b was,b nn was vbd,1,<NN><VBD>
back due,back rb due jj,1,<RB><JJ>
back from overhaul,back rb from in_pos overhaul nn,1,<RB><IN><NN>
back in good condition,back rb in in_pos good jj condition nn,1,<RB><IN><JJ><NN>
back in motor,back rb in in_pos motor nn,1,<RB><IN><NN>
back in place,back rb in in_pos place nn,1,<RB><IN><NN>
back in serive,back rb in in_pos serive nn,1,<RB><IN><NN>
back in service,back rb in in_pos service nn,1,<RB><IN><NN>
back into alarm,back rb into in_pos alarm nn,1,<RB><IN><NN>
back into service,back rb into in_pos service nn,1,<RB><IN><NN>
back on board,back rb on in_pos board nn,1,<RB><IN><NN>
back on isolated motor,back rb on in_pos isolated jj motor nn,1,<RB><IN><JJ><NN>
back on line,back rb on in_pos line nn,1,<RB><IN><NN>
back on motor,back rb on in_pos motor nn,1,<RB><IN><NN>
back on n,back rb on in_pos n nn,1,<RB><IN><NN>
back on service,back rb on in_pos service nn,1,<RB><IN><NN>
back opened,back rb opened vbn,1,<RB><VBN>
bad,bad jj,1,<JJ>
badly corroded,badly rb corroded vbd,1,<RB><VBD>
balanced,balanced vbn,1,<VBN>
bar while isolation,bar nn while in_pos isolation nn,1,<NN><IN><NN>
barring,barring vbg,1,<VBG>
bars are,bars nns are vbp,1,<NNS><VBP>
based,based vbn,1,<VBN>
be achieved,be vb achieved vbn,1,<VB><VBN>
be attributed,be vb attributed vbn,1,<VB><VBN>
be closed,be vb closed vbn,1,<VB><VBN>
be commented,be vb commented vbn,1,<VB><VBN>
be connected,be vb connected vbn,1,<VB><VBN>
be done,be vb done vbn,1,<VB><VBN>
be heard,be vb heard vbn,1,<VB><VBN>
be moved,be vb moved vbn,1,<VB><VBN>
be obtained,be vb obtained vbn,1,<VB><VBN>
be perfomed,be vb perfomed vbn,1,<VB><VBN>
be ran,be vb ran nn,1,<VB><NN>
be run,be vb run vbn,1,<VB><VBN>
be sent,be vb sent vbn,1,<VB><VBN>
beaings checked,beaings nns checked vbd,1,<NNS><VBD>
bearing checked,bearing nn checked vbd,1,<NN><VBD>
bearing for mpa,bearing nn for in_pos mpa nn,1,<NN><IN><NN>
bearing had,bearing nn had vbd,1,<NN><VBD>
bearing of motor,bearing nn of in_pos motor nn,1,<NN><IN><NN>
bearing of motora,bearing nn of in_pos motora nn,1,<NN><IN><NN>
bearing put,bearing nn put vbd,1,<NN><VBD>
bearing sealed,bearing nn sealed vbd,1,<NN><VBD>
bearing was,bearing nn was vbd,1,<NN><VBD>
bearing while pump,bearing vbg while in_pos pump nn,1,<VBG><IN><NN>
bearings are,bearings nns are vbp,1,<NNS><VBP>
bearings bad,bearings nns bad jj,1,<NNS><JJ>
bearings do,bearings nns do vbp,1,<NNS><VBP>
bearings due,bearings nns due jj,1,<NNS><JJ>
bearings ensured,bearings nns ensured vbd,1,<NNS><VBD>
bearings inspected,bearings nns inspected vbd,1,<NNS><VBD>
bearings megged,bearings nns megged vbd,1,<NNS><VBD>
bearings note,bearings nns note vbp,1,<NNS><VBP>
bearings observed,bearings nns observed vbd,1,<NNS><VBD>
bearings replaced,bearings nns replaced vbd,1,<NNS><VBD>
bearings see,bearings nns see vbp,1,<NNS><VBP>
bearings seem,bearings nns seem vbp,1,<NNS><VBP>
bearings shots,bearings nns shots nns,1,<NNS><NNS>
bearings suitable,bearings nns suitable jj,1,<NNS><JJ>
bearings were,bearings nns were vbd,1,<NNS><VBD>
been,been vbn,1,<VBN>
before connect,before in_pos connect nn,1,<IN><NN>
before installation,before in_pos installation nn,1,<IN><NN>
before start,before in_pos start nn,1,<IN><NN>
being,being vbg,1,<VBG>
bell on blower,bell nn on in_pos blower nn,1,<NN><IN><NN>
below blower,below in_pos blower nn,1,<IN><NN>
below cleanliness,below in_pos cleanliness nn,1,<IN><NN>
below damage,below in_pos damage nn,1,<IN><NN>
below damageok,below in_pos damageok nn,1,<IN><NN>
below dirt,below in_pos dirt nn,1,<IN><NN>
below from abb,below in_pos from in_pos abb nn,1,<IN><IN><NN>
below galling,below in_pos galling vbg,1,<IN><VBG>
below inside,below in_pos inside rb,1,<IN><RB>
below interior,below in_pos interior jj,1,<IN><JJ>
below junction,below in_pos junction nn,1,<IN><NN>
below log,below in_pos log nn,1,<IN><NN>
below mechanical damage,below in_pos mechanical jj damage nn,1,<IN><JJ><NN>
below mentioned,below in_pos mentioned vbd,1,<IN><VBD>
below na damage,below in_pos na dt damage nn,1,<IN><DT><NN>
below none,below in_pos none nn,1,<IN><NN>
below ohms,below in_pos ohms nns,1,<IN><NNS>
below panel,below in_pos panel nn,1,<IN><NN>
below rust,below in_pos rust nn,1,<IN><NN>
below task,below in_pos task nn,1,<IN><NN>
below water,below in_pos water nn,1,<IN><NN>
belt attempted,belt nn attempted vbd,1,<NN><VBD>
belt fitted,belt nn fitted vbd,1,<NN><VBD>
belts are,belts nns are vbp,1,<NNS><VBP>
belts were,belts nns were vbd,1,<NNS><VBD>
between pulley,between in_pos pulley nn,1,<IN><NN>
big,big jj,1,<JJ>
bladder in pump,bladder nn in in_pos pump nn,1,<NN><IN><NN>
blade was,blade nn was vbd,1,<NN><VBD>
blades are,blades nns are vbp,1,<NNS><VBP>
blades broken,blades nns broken vbp,1,<NNS><VBP>
blades clean,blades nns clean vbp,1,<NNS><VBP>
blades free,blades nns free jj,1,<NNS><JJ>
blades have,blades nns have vbp,1,<NNS><VBP>
blades look,blades nns look vbp,1,<NNS><VBP>
blades were,blades nns were vbd,1,<NNS><VBD>
blocks ton,blocks nns ton vbp,1,<NNS><VBP>
blower checked,blower nn checked vbd,1,<NN><VBD>
blower for damage,blower nn for in_pos damage nn,1,<NN><IN><NN>
blower had,blower nn had vbd,1,<NN><VBD>
blower in place,blower nn in in_pos place nn,1,<NN><IN><NN>
blower made,blower nn made vbd,1,<NN><VBD>
blower on order,blower nn on in_pos order nn,1,<NN><IN><NN>
blower reconnected,blower nn reconnected vbd,1,<NN><VBD>
blower stopped,blower nn stopped vbd,1,<NN><VBD>
blower was,blower nn was vbd,1,<NN><VBD>
blowers are,blowers nns are vbp,1,<NNS><VBP>
blowers aux,blowers nns aux vbp,1,<NNS><VBP>
blowers changed,blowers nns changed vbd,1,<NNS><VBD>
blowers etc,blowers nns etc vbp,1,<NNS><VBP>
blowers have,blowers nns have vbp,1,<NNS><VBP>
blowers sound,blowers nns sound vbd,1,<NNS><VBD>
blowers task,blowers nns task vbp,1,<NNS><VBP>
blowers were,blowers nns were vbd,1,<NNS><VBD>
body disjointed,body nn disjointed vbd,1,<NN><VBD>
bolt cleaned,bolt nn cleaned vbd,1,<NN><VBD>
bolt on blower,bolt nn on in_pos blower nn,1,<NN><IN><NN>
bolt removed,bolt nn removed vbd,1,<NN><VBD>
bolt sheared,bolt nn sheared vbd,1,<NN><VBD>
bolted,bolted vbn,1,<VBN>
bolts appear,bolts nns appear vbp,1,<NNS><VBP>
bolts are,bolts nns are vbp,1,<NNS><VBP>
bolts checked,bolts nns checked vbd,1,<NNS><VBD>
bolts cleaned,bolts nns cleaned vbd,1,<NNS><VBD>
bolts edocs,bolts nns edocs vbp,1,<NNS><VBP>
bolts electrical,bolts nns electrical jj,1,<NNS><JJ>
bolts exterior,bolts nns exterior vbp,1,<NNS><VBP>
bolts for torque,bolts nns for in_pos torque nn,1,<NNS><IN><NN>
bolts found,bolts nns found vbd,1,<NNS><VBD>
bolts ft,bolts nns ft vbp,1,<NNS><VBP>
bolts intact,bolts nns intact jj,1,<NNS><JJ>
