phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE,dummy_labels
a duct,a dt duct nn,DT NN,<DT><NN>,1
a ducting,a dt ducting nn,DT NN,<DT><NN>,1
a duplicate,a dt duplicate nn,DT NN,<DT><NN>,1
a earth,a dt earth nn,DT NN,<DT><NN>,1
a end,a dt end nn,DT NN,<DT><NN>,1
a ex,a dt ex nn,DT NN,<DT><NN>,1
a examined,a dt examined jj,DT JJ,<DT><JJ>,1
a f,a dt f nn,DT NN,<DT><NN>,1
a failure,a dt failure nn,DT NN,<DT><NN>,1
a fastners,a dt fastners nns,DT NNS,<DT><NNS>,1
a few,a dt few jj,DT JJ,<DT><JJ>,1
a follow,a dt follow nn,DT NN,<DT><NN>,1
a full,a dt full jj,DT JJ,<DT><JJ>,1
a function,a dt function nn,DT NN,<DT><NN>,1
a fwd,a dt fwd nn,DT NN,<DT><NN>,1
a good,a dt good jj,DT JJ,<DT><JJ>,1
a graph,a dt graph nn,DT NN,<DT><NN>,1
a grinder,a dt grinder nn,DT NN,<DT><NN>,1
a ground,a dt ground nn,DT NN,<DT><NN>,1
a grounded,a dt grounded jj,DT JJ,<DT><JJ>,1
a heater,a dt heater nn,DT NN,<DT><NN>,1
a hh,a dt hh nn,DT NN,<DT><NN>,1
a hole,a dt hole nn,DT NN,<DT><NN>,1
a i,a dt i nn,DT NN,<DT><NN>,1
a icn,a dt icn nn,DT NN,<DT><NN>,1
a impeller,a dt impeller nn,DT NN,<DT><NN>,1
a inch,a dt inch nn,DT NN,<DT><NN>,1
a inispected,a dt inispected jj,DT JJ,<DT><JJ>,1
a inspected,a dt inspected jj,DT JJ,<DT><JJ>,1
a inspection,a dt inspection nn,DT NN,<DT><NN>,1
a investigations,a dt investigations nns,DT NNS,<DT><NNS>,1
a ir,a dt ir nn,DT NN,<DT><NN>,1
a isolate,a dt isolate nn,DT NN,<DT><NN>,1
a isolated,a dt isolated jj,DT JJ,<DT><JJ>,1
a isolation,a dt isolation nn,DT NN,<DT><NN>,1
a j,a dt j nn,DT NN,<DT><NN>,1
a knocking,a dt knocking nn,DT NN,<DT><NN>,1
a later,a dt later nn,DT NN,<DT><NN>,1
a leaks,a dt leaks nn,DT NN,<DT><NN>,1
a lifting,a dt lifting nn,DT NN,<DT><NN>,1
a like,a dt like jj,DT JJ,<DT><JJ>,1
a little,a dt little jj,DT JJ,<DT><JJ>,1
a long,a dt long jj,DT JJ,<DT><JJ>,1
a look,a dt look nn,DT NN,<DT><NN>,1
a loose,a dt loose jj,DT JJ,<DT><JJ>,1
a lot,a dt lot nn,DT NN,<DT><NN>,1
a louver,a dt louver nn,DT NN,<DT><NN>,1
a louvers,a dt louvers nns,DT NNS,<DT><NNS>,1
a low,a dt low jj,DT JJ,<DT><JJ>,1
a lubricated,a dt lubricated jj,DT JJ,<DT><JJ>,1
a m,a dt m nn,DT NN,<DT><NN>,1
a machined,a dt machined jj,DT JJ,<DT><JJ>,1
a made,a dt made nn,DT NN,<DT><NN>,1
a main,a dt main jj,DT JJ,<DT><JJ>,1
a major,a dt major jj,DT JJ,<DT><JJ>,1
a make,a dt make nn,DT NN,<DT><NN>,1
a maximum,a dt maximum nn,DT NN,<DT><NN>,1
a meg,a dt meg nn,DT NN,<DT><NN>,1
a megger,a dt megger nn,DT NN,<DT><NN>,1
a megohmeter,a dt megohmeter nn,DT NN,<DT><NN>,1
a min,a dt min nn,DT NN,<DT><NN>,1
a minmohms,a dt minmohms nn,DT NN,<DT><NN>,1
a minor,a dt minor jj,DT JJ,<DT><JJ>,1
a minute,a dt minute nn,DT NN,<DT><NN>,1
a mm,a dt mm nn,DT NN,<DT><NN>,1
a mohms,a dt mohms nn,DT NN,<DT><NN>,1
a motor,a dt motor nn,DT NN,<DT><NN>,1
a mounting,a dt mounting nn,DT NN,<DT><NN>,1
a mud,a dt mud nn,DT NN,<DT><NN>,1
a n,a dt n nn,DT NN,<DT><NN>,1
a nalfleet,a dt nalfleet nn,DT NN,<DT><NN>,1
a nde,a dt nde nn,DT NN,<DT><NN>,1
a new,a dt new jj,DT JJ,<DT><JJ>,1
a non,a dt non nn,DT NN,<DT><NN>,1
a normal,a dt normal jj,DT JJ,<DT><JJ>,1
a note,a dt note nn,DT NN,<DT><NN>,1
a operation,a dt operation nn,DT NN,<DT><NN>,1
a pass,a dt pass nn,DT NN,<DT><NN>,1
a performed,a dt performed nn,DT NN,<DT><NN>,1
a pi,a dt pi nn,DT NN,<DT><NN>,1
a plan,a dt plan nn,DT NN,<DT><NN>,1
a pm,a dt pm nn,DT NN,<DT><NN>,1
a possibility,a dt possibility nn,DT NN,<DT><NN>,1
a pressure,a dt pressure nn,DT NN,<DT><NN>,1
a previous,a dt previous jj,DT JJ,<DT><JJ>,1
a print,a dt print nn,DT NN,<DT><NN>,1
a pulsation,a dt pulsation nn,DT NN,<DT><NN>,1
a pumps,a dt pumps nns,DT NNS,<DT><NNS>,1
a quick,a dt quick nn,DT NN,<DT><NN>,1
a rd,a dt rd nn,DT NN,<DT><NN>,1
a ready,a dt ready jj,DT JJ,<DT><JJ>,1
a recent,a dt recent jj,DT JJ,<DT><JJ>,1
a record,a dt record nn,DT NN,<DT><NN>,1
a red,a dt red jj,DT JJ,<DT><JJ>,1
a reduced,a dt reduced jj,DT JJ,<DT><JJ>,1
a remote,a dt remote jj,DT JJ,<DT><JJ>,1
a removed,a dt removed vbd,DT VBD,<DT><VBD>,1
a removing,a dt removing nn,DT NN,<DT><NN>,1
a rental,a dt rental nn,DT NN,<DT><NN>,1
a replaced,a dt replaced jj,DT JJ,<DT><JJ>,1
a replacement,a dt replacement nn,DT NN,<DT><NN>,1
a result,a dt result nn,DT NN,<DT><NN>,1
a rpm,a dt rpm nn,DT NN,<DT><NN>,1
a rtd,a dt rtd nn,DT NN,<DT><NN>,1
a running,a dt running nn,DT NN,<DT><NN>,1
a safe,a dt safe jj,DT JJ,<DT><JJ>,1
a satisfactory,a dt satisfactory jj,DT JJ,<DT><JJ>,1
a sealed,a dt sealed jj,DT JJ,<DT><JJ>,1
a second,a dt second jj,DT JJ,<DT><JJ>,1
a see,a dt see nn,DT NN,<DT><NN>,1
a service,a dt service nn,DT NN,<DT><NN>,1
a set,a dt set nn,DT NN,<DT><NN>,1
a significant,a dt significant jj,DT JJ,<DT><JJ>,1
a slight,a dt slight nn,DT NN,<DT><NN>,1
a small,a dt small jj,DT JJ,<DT><JJ>,1
a space,a dt space nn,DT NN,<DT><NN>,1
a spare,a dt spare nn,DT NN,<DT><NN>,1
a step,a dt step nn,DT NN,<DT><NN>,1
a steps,a dt steps nns,DT NNS,<DT><NNS>,1
a stethoscope,a dt stethoscope nn,DT NN,<DT><NN>,1
a sticker,a dt sticker nn,DT NN,<DT><NN>,1
a stock,a dt stock nn,DT NN,<DT><NN>,1
a strange,a dt strange nn,DT NN,<DT><NN>,1
a strong,a dt strong jj,DT JJ,<DT><JJ>,1
a suitable,a dt suitable jj,DT JJ,<DT><JJ>,1
a switch,a dt switch nn,DT NN,<DT><NN>,1
a tap,a dt tap nn,DT NN,<DT><NN>,1
a task,a dt task nn,DT NN,<DT><NN>,1
a teflon,a dt teflon nn,DT NN,<DT><NN>,1
a temperature,a dt temperature nn,DT NN,<DT><NN>,1
a test,a dt test nn,DT NN,<DT><NN>,1
a third,a dt third jj,DT JJ,<DT><JJ>,1
a thorough,a dt thorough nn,DT NN,<DT><NN>,1
a thru,a dt thru nn,DT NN,<DT><NN>,1
a time,a dt time nn,DT NN,<DT><NN>,1
a unable,a dt unable jj,DT JJ,<DT><JJ>,1
a verified,a dt verified jj,DT JJ,<DT><JJ>,1
a viable,a dt viable jj,DT JJ,<DT><JJ>,1
a vibration,a dt vibration nn,DT NN,<DT><NN>,1
a visual,a dt visual jj,DT JJ,<DT><JJ>,1
a was,a dt was vbd,DT VBD,<DT><VBD>,1
a way,a dt way nn,DT NN,<DT><NN>,1
a while,a dt while nn,DT NN,<DT><NN>,1
a working properly,a dt working vbg properly rb,DT VBG RB,<DT><VBG><RB>,1
a year,a dt year nn,DT NN,<DT><NN>,1
abb,abb nn,NN,<NN>,1
abbs,abbs nn,NN,<NN>,1
abel,abel nn,NN,<NN>,1
able,able jj,JJ,<JJ>,1
abnormal,abnormal jj,JJ,<JJ>,1
abnormal noticed,abnormal nn noticed vbd,NN VBD,<NN><VBD>,1
abnormalities pump,abnormalities nns pump vbp,NNS VBP,<NNS><VBP>,1
about abnormal,about in_pos abnormal jj,IN JJ,<IN><JJ>,1
about motor,about in_pos motor nn,IN NN,<IN><NN>,1
above degc,above in_pos degc nn,IN NN,<IN><NN>,1
above marcelo,above in_pos marcelo nn,IN NN,<IN><NN>,1
above mohms,above in_pos mohms nn,IN NN,<IN><NN>,1
above normal,above in_pos normal jj,IN JJ,<IN><JJ>,1
above of motor,above in_pos of in_pos motor nn,IN IN NN,<IN><IN><NN>,1
above on step,above in_pos on in_pos step nn,IN IN NN,<IN><IN><NN>,1
ac,ac nn,NN,<NN>,1
accesible,accesible jj,JJ,<JJ>,1
access to aux,access nn to to_pos aux vb,NN TO VB,<NN><TO><VB>,1
access to mud,access nn to to_pos mud vb,NN TO VB,<NN><TO><VB>,1
accessed,accessed vbn,VBN,<VBN>,1
accessible,accessible jj,JJ,<JJ>,1
accetable,accetable jj,JJ,<JJ>,1
accomplished,accomplished vbn,VBN,<VBN>,1
according,according vbg,VBG,<VBG>,1
accounted,accounted vbd,VBD,<VBD>,1
accumulation cleaned,accumulation nn cleaned vbd,NN VBD,<NN><VBD>,1
accumulation on motor,accumulation nn on in_pos motor nn,NN IN NN,<NN><IN><NN>,1
accumulation was,accumulation nn was vbd,NN VBD,<NN><VBD>,1
accurate,accurate nn,NN,<NN>,1
accurately hp,accurately rb hp nn,RB NN,<RB><NN>,1
achieve,achieve nn,NN,<NN>,1
achieved,achieved vbn,VBN,<VBN>,1
actions required,actions nns required vbd,NNS VBD,<NNS><VBD>,1
activated,activated vbn,VBN,<VBN>,1
actual,actual jj,JJ,<JJ>,1
added,added vbd,VBD,<VBD>,1
additional,additional jj,JJ,<JJ>,1
additive,additive jj,JJ,<JJ>,1
addressed,addressed vbn,VBN,<VBN>,1
adequate,adequate nn,NN,<NN>,1
adirt,adirt nn,NN,<NN>,1
adjusted,adjusted vbn,VBN,<VBN>,1
adjustment to stay,adjustment nn to to_pos stay vb,NN TO VB,<NN><TO><VB>,1
after complete,after in_pos complete jj,IN JJ,<IN><JJ>,1
after drill,after in_pos drill nn,IN NN,<IN><NN>,1
after id,after in_pos id nn,IN NN,<IN><NN>,1
after idle,after in_pos idle jj,IN JJ,<IN><JJ>,1
after inspection,after in_pos inspection nn,IN NN,<IN><NN>,1
after insulation,after in_pos insulation nn,IN NN,<IN><NN>,1
after lubrication,after in_pos lubrication nn,IN NN,<IN><NN>,1
after min,after in_pos min nn,IN NN,<IN><NN>,1
after rotation,after in_pos rotation nn,IN NN,<IN><NN>,1
after usage,after in_pos usage nn,IN NN,<IN><NN>,1
again at eow,again rb at in_pos eow nn,RB IN NN,<RB><IN><NN>,1
again drive,again rb drive nn,RB NN,<RB><NN>,1
again ir,again rb ir nn,RB NN,<RB><NN>,1
again untill,again rb untill jj,RB JJ,<RB><JJ>,1
against corrosion,against in_pos corrosion nn,IN NN,<IN><NN>,1
aged,aged vbn,VBN,<VBN>,1
ahs been,ahs rb been vbn,RB VBN,<RB><VBN>,1
airways are,airways nns are vbp,NNS VBP,<NNS><VBP>,1
airways clean,airways nns clean vbp,NNS VBP,<NNS><VBP>,1
airways clear,airways nns clear vbp,NNS VBP,<NNS><VBP>,1
airways were,airways nns were vbd,NNS VBD,<NNS><VBD>,1
alarm on mud,alarm nn on in_pos mud nn,NN IN NN,<NN><IN><NN>,1
alarm was,alarm nn was vbd,NN VBD,<NN><VBD>,1
alarms happened,alarms nns happened vbd,NNS VBD,<NNS><VBD>,1
alarms main,alarms nns main jj,NNS JJ,<NNS><JJ>,1
alarms were,alarms nns were vbd,NNS VBD,<NNS><VBD>,1
alarms yellow,alarms nns yellow vbp,NNS VBP,<NNS><VBP>,1
alert,alert nn,NN,<NN>,1
aligned,aligned vbn,VBN,<VBN>,1
aligning tensioned,aligning vbg tensioned vbd,VBG VBD,<VBG><VBD>,1
all ac,all dt ac nn,DT NN,<DT><NN>,1
all air,all dt air nn,DT NN,<DT><NN>,1
all alerts,all dt alerts nns,DT NNS,<DT><NNS>,1
all appear,all dt appear vbp,DT VBP,<DT><VBP>,1
all applicable,all dt applicable jj,DT JJ,<DT><JJ>,1
all available,all dt available jj,DT JJ,<DT><JJ>,1
all bearing,all dt bearing nn,DT NN,<DT><NN>,1
all blower,all dt blower nn,DT NN,<DT><NN>,1
all blowers,all dt blowers nns,DT NNS,<DT><NNS>,1
all bolts,all dt bolts nns,DT NNS,<DT><NNS>,1
all bonding,all dt bonding nn,DT NN,<DT><NN>,1
all boxes,all dt boxes nns,DT NNS,<DT><NNS>,1
all cable,all dt cable nn,DT NN,<DT><NN>,1
all cables,all dt cables nns,DT NNS,<DT><NNS>,1
all cabling,all dt cabling nn,DT NN,<DT><NN>,1
all checked,all dt checked vbd,DT VBD,<DT><VBD>,1
all checks,all dt checks nns,DT NNS,<DT><NNS>,1
all choke,all dt choke vbd,DT VBD,<DT><VBD>,1
all components,all dt components nns,DT NNS,<DT><NNS>,1
all conections,all dt conections nns,DT NNS,<DT><NNS>,1
all connections,all dt connections nns,DT NNS,<DT><NNS>,1
all contactors,all dt contactors nns,DT NNS,<DT><NNS>,1
all control,all dt control nn,DT NN,<DT><NN>,1
all cooling,all dt cooling nn,DT NN,<DT><NN>,1
all cover,all dt cover nn,DT NN,<DT><NN>,1
all coverns,all dt coverns nns,DT NNS,<DT><NNS>,1
all covers,all dt covers nns,DT NNS,<DT><NNS>,1
all discrepancies,all dt discrepancies nns,DT NNS,<DT><NNS>,1
all drills,all dt drills nns,DT NNS,<DT><NNS>,1
all duct,all dt duct nn,DT NN,<DT><NN>,1
all ducting,all dt ducting nn,DT NN,<DT><NN>,1
all earth,all dt earth nn,DT NN,<DT><NN>,1
all eas,all dt eas nns,DT NNS,<DT><NNS>,1
all eath,all dt eath nn,DT NN,<DT><NN>,1
all electrical,all dt electrical jj,DT JJ,<DT><JJ>,1
all equipment,all dt equipment nn,DT NN,<DT><NN>,1
all estops,all dt estops nns,DT NNS,<DT><NNS>,1
all everything,all dt everything nn,DT NN,<DT><NN>,1
all ex,all dt ex nn,DT NN,<DT><NN>,1
all fasteners,all dt fasteners nns,DT NNS,<DT><NNS>,1
all fastners,all dt fastners nns,DT NNS,<DT><NNS>,1
all filters,all dt filters nns,DT NNS,<DT><NNS>,1
all fixing,all dt fixing nn,DT NN,<DT><NN>,1
all fluid,all dt fluid nn,DT NN,<DT><NN>,1
all fok,all dt fok nn,DT NN,<DT><NN>,1
all found,all dt found vbd,DT VBD,<DT><VBD>,1
all functioning properly,all dt functioning vbg properly rb,DT VBG RB,<DT><VBG><RB>,1
all gaskets,all dt gaskets nns,DT NNS,<DT><NNS>,1
all gauges,all dt gauges nns,DT NNS,<DT><NNS>,1
all glandes,all dt glandes nns,DT NNS,<DT><NNS>,1
all glanding,all dt glanding nn,DT NN,<DT><NN>,1
all glands,all dt glands nns,DT NNS,<DT><NNS>,1
all good,all dt good jj,DT JJ,<DT><JJ>,1
all grands,all dt grands nns,DT NNS,<DT><NNS>,1
all ground,all dt ground nn,DT NN,<DT><NN>,1
all grounding,all dt grounding nn,DT NN,<DT><NN>,1
all grounds,all dt grounds nns,DT NNS,<DT><NNS>,1
all hardware,all dt hardware nn,DT NN,<DT><NN>,1
all heaters,all dt heaters nns,DT NNS,<DT><NNS>,1
all high,all dt high jj,DT JJ,<DT><JJ>,1
all hoses,all dt hoses nns,DT NNS,<DT><NNS>,1
all id,all dt id nn,DT NN,<DT><NN>,1
all in acceptable level,all dt in in_pos acceptable jj level nn,DT IN JJ NN,<DT><IN><JJ><NN>,1
all in good condition,all dt in in_pos good jj condition nn,DT IN JJ NN,<DT><IN><JJ><NN>,1
all in good order,all dt in in_pos good jj order nn,DT IN JJ NN,<DT><IN><JJ><NN>,1
all in good shape,all dt in in_pos good jj shape nn,DT IN JJ NN,<DT><IN><JJ><NN>,1
all inspection,all dt inspection nn,DT NN,<DT><NN>,1
all internal,all dt internal jj,DT JJ,<DT><JJ>,1
all items,all dt items nns,DT NNS,<DT><NNS>,1
all jbox,all dt jbox nn,DT NN,<DT><NN>,1
all jboxes,all dt jboxes nns,DT NNS,<DT><NNS>,1
all jbs,all dt jbs nn,DT NN,<DT><NN>,1
all junction,all dt junction nn,DT NN,<DT><NN>,1
all labeling,all dt labeling nn,DT NN,<DT><NN>,1
all ldw,all dt ldw nn,DT NN,<DT><NN>,1
all leads,all dt leads nns,DT NNS,<DT><NNS>,1
all line,all dt line nn,DT NN,<DT><NN>,1
all lines,all dt lines nns,DT NNS,<DT><NNS>,1
all local,all dt local jj,DT JJ,<DT><JJ>,1
all louver,all dt louver nn,DT NN,<DT><NN>,1
all main,all dt main jj,DT JJ,<DT><JJ>,1
all manifold,all dt manifold nn,DT NN,<DT><NN>,1
all mcc,all dt mcc nn,DT NN,<DT><NN>,1
all mechanical,all dt mechanical jj,DT JJ,<DT><JJ>,1
all metering,all dt metering nn,DT NN,<DT><NN>,1
all motor,all dt motor nn,DT NN,<DT><NN>,1
all motors,all dt motors nns,DT NNS,<DT><NNS>,1
all mounting,all dt mounting nn,DT NN,<DT><NN>,1
all mud,all dt mud nn,DT NN,<DT><NN>,1
all name,all dt name nn,DT NN,<DT><NN>,1
all nuts,all dt nuts nns,DT NNS,<DT><NNS>,1
all ok,all dt ok nn,DT NN,<DT><NN>,1
all operational,all dt operational jj,DT JJ,<DT><JJ>,1
all other,all dt other jj,DT JJ,<DT><JJ>,1
all others,all dt others nns,DT NNS,<DT><NNS>,1
all panel,all dt panel nn,DT NN,<DT><NN>,1
all personal,all dt personal jj,DT JJ,<DT><JJ>,1
all pionts,all dt pionts nns,DT NNS,<DT><NNS>,1
all pipework,all dt pipework nn,DT NN,<DT><NN>,1
all piping,all dt piping nn,DT NN,<DT><NN>,1
all pm,all dt pm nn,DT NN,<DT><NN>,1
all pressure,all dt pressure nn,DT NN,<DT><NN>,1
all product,all dt product nn,DT NN,<DT><NN>,1
all pulsation,all dt pulsation nn,DT NN,<DT><NN>,1
all pump,all dt pump nn,DT NN,<DT><NN>,1
all pumps,all dt pumps nns,DT NNS,<DT><NNS>,1
all reading,all dt reading nn,DT NN,<DT><NN>,1
all readings,all dt readings nns,DT NNS,<DT><NNS>,1
all relevant,all dt relevant jj,DT JJ,<DT><JJ>,1
all rtds,all dt rtds nn,DT NN,<DT><NN>,1
all run,all dt run vbp,DT VBP,<DT><VBP>,1
all safety,all dt safety nn,DT NN,<DT><NN>,1
all satisfactory,all dt satisfactory jj,DT JJ,<DT><JJ>,1
all sealed,all dt sealed vbd,DT VBD,<DT><VBD>,1
all seals,all dt seals nns,DT NNS,<DT><NNS>,1
all shrouds,all dt shrouds nns,DT NNS,<DT><NNS>,1
all sound,all dt sound nn,DT NN,<DT><NN>,1
all standpipe,all dt standpipe nn,DT NN,<DT><NN>,1
all steps,all dt steps nns,DT NNS,<DT><NNS>,1
all stroke,all dt stroke vbd,DT VBD,<DT><VBD>,1
all supply,all dt supply nn,DT NN,<DT><NN>,1
all support,all dt support nn,DT NN,<DT><NN>,1
all survey,all dt survey nn,DT NN,<DT><NN>,1
all switches,all dt switches nns,DT NNS,<DT><NNS>,1
all tags,all dt tags nns,DT NNS,<DT><NNS>,1
all task,all dt task nn,DT NN,<DT><NN>,1
all tasks,all dt tasks nns,DT NNS,<DT><NNS>,1
all terminal,all dt terminal nn,DT NN,<DT><NN>,1
all terminals,all dt terminals nns,DT NNS,<DT><NNS>,1
all terminations,all dt terminations nns,DT NNS,<DT><NNS>,1
all thread,all dt thread nn,DT NN,<DT><NN>,1
all tool,all dt tool nn,DT NN,<DT><NN>,1
all tools,all dt tools nns,DT NNS,<DT><NNS>,1
all visual,all dt visual jj,DT JJ,<DT><JJ>,1
all ware,all dt ware nn,DT NN,<DT><NN>,1
all was,all dt was vbd,DT VBD,<DT><VBD>,1
all were,all dt were vbd,DT VBD,<DT><VBD>,1
all wiring,all dt wiring nn,DT NN,<DT><NN>,1
all wirings,all dt wirings nns,DT NNS,<DT><NNS>,1
all work,all dt work nn,DT NN,<DT><NN>,1
along with day,along in_pos with in_pos day nn,IN IN NN,<IN><IN><NN>,1
along with heat,along in_pos with in_pos heat nn,IN IN NN,<IN><IN><NN>,1
along with humidity,along in_pos with in_pos humidity nn,IN IN NN,<IN><IN><NN>,1
along with verification,along in_pos with in_pos verification nn,IN IN NN,<IN><IN><NN>,1
already calibrated,already rb calibrated vbn,RB VBN,<RB><VBN>,1
already connected,already rb connected vbn,RB VBN,<RB><VBN>,1
already created,already rb created vbn,RB VBN,<RB><VBN>,1
also as reference,also rb as in_pos reference nn,RB IN NN,<RB><IN><NN>,1
also been,also rb been vbn,RB VBN,<RB><VBN>,1
also discovered,also rb discovered vbd,RB VBD,<RB><VBD>,1
also fixed,also rb fixed vbn,RB VBN,<RB><VBN>,1
also in good condition,also rb in in_pos good jj condition nn,RB IN JJ NN,<RB><IN><JJ><NN>,1
also mud,also rb mud nn,RB NN,<RB><NN>,1
also noticed,also rb noticed vbd,RB VBD,<RB><VBD>,1
also surface,also rb surface nn,RB NN,<RB><NN>,1
alwas,alwas nn,NN,<NN>,1
am closing,am vbp closing nn,VBP NN,<VBP><NN>,1
am giving,am vbp giving vbg,VBP VBG,<VBP><VBG>,1
ambient,ambient nn,NN,<NN>,1
ammended,ammended vbd,VBD,<VBD>,1
ammount of dust,ammount nn of in_pos dust nn,NN IN NN,<NN><IN><NN>,1
amount of air,amount nn of in_pos air nn,NN IN NN,<NN><IN><NN>,1
amount of dirt,amount nn of in_pos dirt nn,NN IN NN,<NN><IN><NN>,1
amount of dust,amount nn of in_pos dust nn,NN IN NN,<NN><IN><NN>,1
amp,amp nn,NN,<NN>,1
amperage was,amperage nn was vbd,NN VBD,<NN><VBD>,1
amps,amps nns,NNS,<NNS>,1
amps carried,amps nns carried vbd,NNS VBD,<NNS><VBD>,1
amps checked,amps nns checked vbd,NNS VBD,<NNS><VBD>,1
amps confirmed,amps nns confirmed vbd,NNS VBD,<NNS><VBD>,1
amps corrective,amps nns corrective vbp,NNS VBP,<NNS><VBP>,1
amps done,amps nns done vbn,NNS VBN,<NNS><VBN>,1
amps note,amps nns note vbp,NNS VBP,<NNS><VBP>,1
amps opened,amps nns opened vbd,NNS VBD,<NNS><VBD>,1
amps visualized,amps nns visualized vbd,NNS VBD,<NNS><VBD>,1
amps were,amps nns were vbd,NNS VBD,<NNS><VBD>,1
ampstest,ampstest nn,NN,<NN>,1
an abnormal,an dt abnormal jj,DT JJ,<DT><JJ>,1
an acceptable,an dt acceptable jj,DT JJ,<DT><JJ>,1
an alarm,an dt alarm nn,DT NN,<DT><NN>,1
an alarms,an dt alarms nns,DT NNS,<DT><NNS>,1
an alert,an dt alert nn,DT NN,<DT><NN>,1
an ammeter,an dt ammeter nn,DT NN,<DT><NN>,1
an amp,an dt amp nn,DT NN,<DT><NN>,1
an appearance,an dt appearance nn,DT NN,<DT><NN>,1
an average,an dt average nn,DT NN,<DT><NN>,1
an confimred,an dt confimred jj,DT JJ,<DT><JJ>,1
an earth,an dt earth nn,DT NN,<DT><NN>,1
an empty,an dt empty jj,DT JJ,<DT><JJ>,1
an enclosed,an dt enclosed jj,DT JJ,<DT><JJ>,1
an extract,an dt extract nn,DT NN,<DT><NN>,1
an hour,an dt hour nn,DT NN,<DT><NN>,1
an in good condition,an dt in in_pos good jj condition nn,DT IN JJ NN,<DT><IN><JJ><NN>,1
an infrared,an dt infrared jj,DT JJ,<DT><JJ>,1
an investigation,an dt investigation nn,DT NN,<DT><NN>,1
an ir,an dt ir nn,DT NN,<DT><NN>,1
an issue,an dt issue nn,DT NN,<DT><NN>,1
an off,an dt off rp,DT RP,<DT><RP>,1
an old,an dt old jj,DT JJ,<DT><JJ>,1
an open,an dt open jj,DT JJ,<DT><JJ>,1
an opportunity,an dt opportunity nn,DT NN,<DT><NN>,1
an overcurrent,an dt overcurrent nn,DT NN,<DT><NN>,1
an unplanned,an dt unplanned jj,DT JJ,<DT><JJ>,1
analysis on board,analysis nn on in_pos board nn,NN IN NN,<NN><IN><NN>,1
analysis performed,analysis nn performed vbd,NN VBD,<NN><VBD>,1
analysis was,analysis nn was vbd,NN VBD,<NN><VBD>,1
analyze on ac,analyze nn on in_pos ac nn,NN IN NN,<NN><IN><NN>,1
analyzed,analyzed vbn,VBN,<VBN>,1
anf have,anf nns have vbp,NNS VBP,<NNS><VBP>,1
annual,annual jj,JJ,<JJ>,1
another function,another dt function nn,DT NN,<DT><NN>,1
another job,another dt job nn,DT NN,<DT><NN>,1
another pi,another dt pi nn,DT NN,<DT><NN>,1
another rig,another dt rig nn,DT NN,<DT><NN>,1
