phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE
a performed,a dt performed nn,DT NN,<DT><NN>
a pi,a dt pi nn,DT NN,<DT><NN>
a plan,a dt plan nn,DT NN,<DT><NN>
a pm,a dt pm nn,DT NN,<DT><NN>
a possibility,a dt possibility nn,DT NN,<DT><NN>
a pressure,a dt pressure nn,DT NN,<DT><NN>
a previous,a dt previous jj,DT JJ,<DT><JJ>
a print,a dt print nn,DT NN,<DT><NN>
a pulsation,a dt pulsation nn,DT NN,<DT><NN>
a pumps,a dt pumps nns,DT NNS,<DT><NNS>
a quick,a dt quick nn,DT NN,<DT><NN>
a rd,a dt rd nn,DT NN,<DT><NN>
a ready,a dt ready jj,DT JJ,<DT><JJ>
a recent,a dt recent jj,DT JJ,<DT><JJ>
a record,a dt record nn,DT NN,<DT><NN>
a red,a dt red jj,DT JJ,<DT><JJ>
a reduced,a dt reduced jj,DT JJ,<DT><JJ>
a remote,a dt remote jj,DT JJ,<DT><JJ>
a removed,a dt removed vbd,DT VBD,<DT><VBD>
a removing,a dt removing nn,DT NN,<DT><NN>
a rental,a dt rental nn,DT NN,<DT><NN>
a replaced,a dt replaced jj,DT JJ,<DT><JJ>
a replacement,a dt replacement nn,DT NN,<DT><NN>
a result,a dt result nn,DT NN,<DT><NN>
a rpm,a dt rpm nn,DT NN,<DT><NN>
a rtd,a dt rtd nn,DT NN,<DT><NN>
a running,a dt running nn,DT NN,<DT><NN>
a safe,a dt safe jj,DT JJ,<DT><JJ>
a satisfactory,a dt satisfactory jj,DT JJ,<DT><JJ>
a sealed,a dt sealed jj,DT JJ,<DT><JJ>
a second,a dt second jj,DT JJ,<DT><JJ>
a see,a dt see nn,DT NN,<DT><NN>
a service,a dt service nn,DT NN,<DT><NN>
a set,a dt set nn,DT NN,<DT><NN>
a significant,a dt significant jj,DT JJ,<DT><JJ>
a slight,a dt slight nn,DT NN,<DT><NN>
a small,a dt small jj,DT JJ,<DT><JJ>
a space,a dt space nn,DT NN,<DT><NN>
a spare,a dt spare nn,DT NN,<DT><NN>
a step,a dt step nn,DT NN,<DT><NN>
a steps,a dt steps nns,DT NNS,<DT><NNS>
a stethoscope,a dt stethoscope nn,DT NN,<DT><NN>
a sticker,a dt sticker nn,DT NN,<DT><NN>
a stock,a dt stock nn,DT NN,<DT><NN>
a strange,a dt strange nn,DT NN,<DT><NN>
a strong,a dt strong jj,DT JJ,<DT><JJ>
a suitable,a dt suitable jj,DT JJ,<DT><JJ>
a switch,a dt switch nn,DT NN,<DT><NN>
a tap,a dt tap nn,DT NN,<DT><NN>
a task,a dt task nn,DT NN,<DT><NN>
a teflon,a dt teflon nn,DT NN,<DT><NN>
a temperature,a dt temperature nn,DT NN,<DT><NN>
a test,a dt test nn,DT NN,<DT><NN>
a third,a dt third jj,DT JJ,<DT><JJ>
a thorough,a dt thorough nn,DT NN,<DT><NN>
a thru,a dt thru nn,DT NN,<DT><NN>
a time,a dt time nn,DT NN,<DT><NN>
a unable,a dt unable jj,DT JJ,<DT><JJ>
a verified,a dt verified jj,DT JJ,<DT><JJ>
a viable,a dt viable jj,DT JJ,<DT><JJ>
a vibration,a dt vibration nn,DT NN,<DT><NN>
a visual,a dt visual jj,DT JJ,<DT><JJ>
a was,a dt was vbd,DT VBD,<DT><VBD>
a way,a dt way nn,DT NN,<DT><NN>
a while,a dt while nn,DT NN,<DT><NN>
a working properly,a dt working vbg properly rb,DT VBG RB,<DT><VBG><RB>
a year,a dt year nn,DT NN,<DT><NN>
abb,abb nn,NN,<NN>
abbs,abbs nn,NN,<NN>
abel,abel nn,NN,<NN>
able,able jj,JJ,<JJ>
abnormal,abnormal jj,JJ,<JJ>
abnormal noticed,abnormal nn noticed vbd,NN VBD,<NN><VBD>
abnormalities pump,abnormalities nns pump vbp,NNS VBP,<NNS><VBP>
about abnormal,about in_pos abnormal jj,IN JJ,<IN><JJ>
about motor,about in_pos motor nn,IN NN,<IN><NN>
above degc,above in_pos degc nn,IN NN,<IN><NN>
above marcelo,above in_pos marcelo nn,IN NN,<IN><NN>
above mohms,above in_pos mohms nn,IN NN,<IN><NN>
above normal,above in_pos normal jj,IN JJ,<IN><JJ>
above of motor,above in_pos of in_pos motor nn,IN IN NN,<IN><IN><NN>
above on step,above in_pos on in_pos step nn,IN IN NN,<IN><IN><NN>
ac,ac nn,NN,<NN>
ac motor,ac nns motor nn,NNS NN,<NNS><NN>
accesible,accesible jj,JJ,<JJ>
access to aux,access nn to to_pos aux vb,NN TO VB,<NN><TO><VB>
access to mud,access nn to to_pos mud vb,NN TO VB,<NN><TO><VB>
accessed,accessed vbn,VBN,<VBN>
accessible,accessible jj,JJ,<JJ>
accetable,accetable jj,JJ,<JJ>
accomplished,accomplished vbn,VBN,<VBN>
according,according vbg,VBG,<VBG>
accounted,accounted vbd,VBD,<VBD>
accumulation cleaned,accumulation nn cleaned vbd,NN VBD,<NN><VBD>
accumulation on motor,accumulation nn on in_pos motor nn,NN IN NN,<NN><IN><NN>
accumulation was,accumulation nn was vbd,NN VBD,<NN><VBD>
accurate,accurate nn,NN,<NN>
accurately hp,accurately rb hp nn,RB NN,<RB><NN>
achieve,achieve nn,NN,<NN>
achieved,achieved vbn,VBN,<VBN>
act v,act nn v nn,NN NN,<NN><NN>
actions required,actions nns required vbd,NNS VBD,<NNS><VBD>
activated,activated vbn,VBN,<VBN>
actual,actual jj,JJ,<JJ>
added,added vbd,VBD,<VBD>
additional,additional jj,JJ,<JJ>
additive,additive jj,JJ,<JJ>
addressed,addressed vbn,VBN,<VBN>
adequate,adequate nn,NN,<NN>
adirt,adirt nn,NN,<NN>
adjusted,adjusted vbn,VBN,<VBN>
adjustment bed,adjustment nn bed nn,NN NN,<NN><NN>
adjustment to stay,adjustment nn to to_pos stay vb,NN TO VB,<NN><TO><VB>
after complete,after in_pos complete jj,IN JJ,<IN><JJ>
after drill,after in_pos drill nn,IN NN,<IN><NN>
after id,after in_pos id nn,IN NN,<IN><NN>
after idle,after in_pos idle jj,IN JJ,<IN><JJ>
after inspection,after in_pos inspection nn,IN NN,<IN><NN>
after insulation,after in_pos insulation nn,IN NN,<IN><NN>
after lubrication,after in_pos lubrication nn,IN NN,<IN><NN>
after min,after in_pos min nn,IN NN,<IN><NN>
after rotation,after in_pos rotation nn,IN NN,<IN><NN>
after usage,after in_pos usage nn,IN NN,<IN><NN>
again at eow,again rb at in_pos eow nn,RB IN NN,<RB><IN><NN>
again drive,again rb drive nn,RB NN,<RB><NN>
again ir,again rb ir nn,RB NN,<RB><NN>
again untill,again rb untill jj,RB JJ,<RB><JJ>
against corrosion,against in_pos corrosion nn,IN NN,<IN><NN>
aged,aged vbn,VBN,<VBN>
ahs been,ahs rb been vbn,RB VBN,<RB><VBN>
airways are,airways nns are vbp,NNS VBP,<NNS><VBP>
airways clean,airways nns clean vbp,NNS VBP,<NNS><VBP>
airways clear,airways nns clear vbp,NNS VBP,<NNS><VBP>
airways were,airways nns were vbd,NNS VBD,<NNS><VBD>
alarm on mud,alarm nn on in_pos mud nn,NN IN NN,<NN><IN><NN>
alarm was,alarm nn was vbd,NN VBD,<NN><VBD>
alarm yellow,alarm nn yellow nn,NN NN,<NN><NN>
alarms happened,alarms nns happened vbd,NNS VBD,<NNS><VBD>
alarms main,alarms nns main jj,NNS JJ,<NNS><JJ>
alarms were,alarms nns were vbd,NNS VBD,<NNS><VBD>
alarms yellow,alarms nns yellow vbp,NNS VBP,<NNS><VBP>
alert,alert nn,NN,<NN>
aligned,aligned vbn,VBN,<VBN>
aligning tensioned,aligning vbg tensioned vbd,VBG VBD,<VBG><VBD>
all ac,all dt ac nn,DT NN,<DT><NN>
all air,all dt air nn,DT NN,<DT><NN>
all alerts,all dt alerts nns,DT NNS,<DT><NNS>
all appear,all dt appear vbp,DT VBP,<DT><VBP>
all applicable,all dt applicable jj,DT JJ,<DT><JJ>
all available,all dt available jj,DT JJ,<DT><JJ>
all bearing,all dt bearing nn,DT NN,<DT><NN>
all blower,all dt blower nn,DT NN,<DT><NN>
all blowers,all dt blowers nns,DT NNS,<DT><NNS>
all bolts,all dt bolts nns,DT NNS,<DT><NNS>
all bonding,all dt bonding nn,DT NN,<DT><NN>
all boxes,all dt boxes nns,DT NNS,<DT><NNS>
all cable,all dt cable nn,DT NN,<DT><NN>
all cables,all dt cables nns,DT NNS,<DT><NNS>
all cabling,all dt cabling nn,DT NN,<DT><NN>
all checked,all dt checked vbd,DT VBD,<DT><VBD>
all checks,all dt checks nns,DT NNS,<DT><NNS>
all choke,all dt choke vbd,DT VBD,<DT><VBD>
all components,all dt components nns,DT NNS,<DT><NNS>
all conections,all dt conections nns,DT NNS,<DT><NNS>
all connections,all dt connections nns,DT NNS,<DT><NNS>
all contactors,all dt contactors nns,DT NNS,<DT><NNS>
all control,all dt control nn,DT NN,<DT><NN>
all cooling,all dt cooling nn,DT NN,<DT><NN>
all cover,all dt cover nn,DT NN,<DT><NN>
all coverns,all dt coverns nns,DT NNS,<DT><NNS>
all covers,all dt covers nns,DT NNS,<DT><NNS>
all discrepancies,all dt discrepancies nns,DT NNS,<DT><NNS>
all drills,all dt drills nns,DT NNS,<DT><NNS>
all duct,all dt duct nn,DT NN,<DT><NN>
all ducting,all dt ducting nn,DT NN,<DT><NN>
all earth,all dt earth nn,DT NN,<DT><NN>
all eas,all dt eas nns,DT NNS,<DT><NNS>
all eath,all dt eath nn,DT NN,<DT><NN>
all electrical,all dt electrical jj,DT JJ,<DT><JJ>
all equipment,all dt equipment nn,DT NN,<DT><NN>
all estops,all dt estops nns,DT NNS,<DT><NNS>
all everything,all dt everything nn,DT NN,<DT><NN>
all ex,all dt ex nn,DT NN,<DT><NN>
all fasteners,all dt fasteners nns,DT NNS,<DT><NNS>
all fastners,all dt fastners nns,DT NNS,<DT><NNS>
all filters,all dt filters nns,DT NNS,<DT><NNS>
all fixing,all dt fixing nn,DT NN,<DT><NN>
all fluid,all dt fluid nn,DT NN,<DT><NN>
all fok,all dt fok nn,DT NN,<DT><NN>
all found,all dt found vbd,DT VBD,<DT><VBD>
all functioning properly,all dt functioning vbg properly rb,DT VBG RB,<DT><VBG><RB>
all gaskets,all dt gaskets nns,DT NNS,<DT><NNS>
all gauges,all dt gauges nns,DT NNS,<DT><NNS>
all glandes,all dt glandes nns,DT NNS,<DT><NNS>
all glanding,all dt glanding nn,DT NN,<DT><NN>
all glands,all dt glands nns,DT NNS,<DT><NNS>
all good,all dt good jj,DT JJ,<DT><JJ>
all grands,all dt grands nns,DT NNS,<DT><NNS>
all ground,all dt ground nn,DT NN,<DT><NN>
all grounding,all dt grounding nn,DT NN,<DT><NN>
all grounds,all dt grounds nns,DT NNS,<DT><NNS>
all hardware,all dt hardware nn,DT NN,<DT><NN>
all heaters,all dt heaters nns,DT NNS,<DT><NNS>
all high,all dt high jj,DT JJ,<DT><JJ>
all hoses,all dt hoses nns,DT NNS,<DT><NNS>
all id,all dt id nn,DT NN,<DT><NN>
all in acceptable level,all dt in in_pos acceptable jj level nn,DT IN JJ NN,<DT><IN><JJ><NN>
all in good condition,all dt in in_pos good jj condition nn,DT IN JJ NN,<DT><IN><JJ><NN>
all in good order,all dt in in_pos good jj order nn,DT IN JJ NN,<DT><IN><JJ><NN>
all in good shape,all dt in in_pos good jj shape nn,DT IN JJ NN,<DT><IN><JJ><NN>
all inspection,all dt inspection nn,DT NN,<DT><NN>
all internal,all dt internal jj,DT JJ,<DT><JJ>
all items,all dt items nns,DT NNS,<DT><NNS>
all jbox,all dt jbox nn,DT NN,<DT><NN>
all jboxes,all dt jboxes nns,DT NNS,<DT><NNS>
all jbs,all dt jbs nn,DT NN,<DT><NN>
all junction,all dt junction nn,DT NN,<DT><NN>
all labeling,all dt labeling nn,DT NN,<DT><NN>
all ldw,all dt ldw nn,DT NN,<DT><NN>
all leads,all dt leads nns,DT NNS,<DT><NNS>
all line,all dt line nn,DT NN,<DT><NN>
all lines,all dt lines nns,DT NNS,<DT><NNS>
all local,all dt local jj,DT JJ,<DT><JJ>
all louver,all dt louver nn,DT NN,<DT><NN>
all main,all dt main jj,DT JJ,<DT><JJ>
all manifold,all dt manifold nn,DT NN,<DT><NN>
all mcc,all dt mcc nn,DT NN,<DT><NN>
all mechanical,all dt mechanical jj,DT JJ,<DT><JJ>
all metering,all dt metering nn,DT NN,<DT><NN>
all motor,all dt motor nn,DT NN,<DT><NN>
all motors,all dt motors nns,DT NNS,<DT><NNS>
all mounting,all dt mounting nn,DT NN,<DT><NN>
all mud,all dt mud nn,DT NN,<DT><NN>
all name,all dt name nn,DT NN,<DT><NN>
all nuts,all dt nuts nns,DT NNS,<DT><NNS>
all ok,all dt ok nn,DT NN,<DT><NN>
all operational,all dt operational jj,DT JJ,<DT><JJ>
all other,all dt other jj,DT JJ,<DT><JJ>
all others,all dt others nns,DT NNS,<DT><NNS>
all panel,all dt panel nn,DT NN,<DT><NN>
all personal,all dt personal jj,DT JJ,<DT><JJ>
all pionts,all dt pionts nns,DT NNS,<DT><NNS>
all pipework,all dt pipework nn,DT NN,<DT><NN>
all piping,all dt piping nn,DT NN,<DT><NN>
all pm,all dt pm nn,DT NN,<DT><NN>
all pressure,all dt pressure nn,DT NN,<DT><NN>
all product,all dt product nn,DT NN,<DT><NN>
all pulsation,all dt pulsation nn,DT NN,<DT><NN>
all pump,all dt pump nn,DT NN,<DT><NN>
all pumps,all dt pumps nns,DT NNS,<DT><NNS>
all reading,all dt reading nn,DT NN,<DT><NN>
all readings,all dt readings nns,DT NNS,<DT><NNS>
all relevant,all dt relevant jj,DT JJ,<DT><JJ>
all rtds,all dt rtds nn,DT NN,<DT><NN>
all run,all dt run vbp,DT VBP,<DT><VBP>
all safety,all dt safety nn,DT NN,<DT><NN>
all satisfactory,all dt satisfactory jj,DT JJ,<DT><JJ>
all sealed,all dt sealed vbd,DT VBD,<DT><VBD>
all seals,all dt seals nns,DT NNS,<DT><NNS>
all shrouds,all dt shrouds nns,DT NNS,<DT><NNS>
all sound,all dt sound nn,DT NN,<DT><NN>
all standpipe,all dt standpipe nn,DT NN,<DT><NN>
all steps,all dt steps nns,DT NNS,<DT><NNS>
all stroke,all dt stroke vbd,DT VBD,<DT><VBD>
all supply,all dt supply nn,DT NN,<DT><NN>
all support,all dt support nn,DT NN,<DT><NN>
all survey,all dt survey nn,DT NN,<DT><NN>
all switches,all dt switches nns,DT NNS,<DT><NNS>
all tags,all dt tags nns,DT NNS,<DT><NNS>
all task,all dt task nn,DT NN,<DT><NN>
all tasks,all dt tasks nns,DT NNS,<DT><NNS>
all terminal,all dt terminal nn,DT NN,<DT><NN>
all terminals,all dt terminals nns,DT NNS,<DT><NNS>
all terminations,all dt terminations nns,DT NNS,<DT><NNS>
all thread,all dt thread nn,DT NN,<DT><NN>
all tool,all dt tool nn,DT NN,<DT><NN>
all tools,all dt tools nns,DT NNS,<DT><NNS>
all visual,all dt visual jj,DT JJ,<DT><JJ>
all ware,all dt ware nn,DT NN,<DT><NN>
all was,all dt was vbd,DT VBD,<DT><VBD>
all were,all dt were vbd,DT VBD,<DT><VBD>
all wiring,all dt wiring nn,DT NN,<DT><NN>
all wirings,all dt wirings nns,DT NNS,<DT><NNS>
all work,all dt work nn,DT NN,<DT><NN>
along with day,along in_pos with in_pos day nn,IN IN NN,<IN><IN><NN>
along with heat,along in_pos with in_pos heat nn,IN IN NN,<IN><IN><NN>
along with humidity,along in_pos with in_pos humidity nn,IN IN NN,<IN><IN><NN>
along with verification,along in_pos with in_pos verification nn,IN IN NN,<IN><IN><NN>
already calibrated,already rb calibrated vbn,RB VBN,<RB><VBN>
already connected,already rb connected vbn,RB VBN,<RB><VBN>
already created,already rb created vbn,RB VBN,<RB><VBN>
also as reference,also rb as in_pos reference nn,RB IN NN,<RB><IN><NN>
also been,also rb been vbn,RB VBN,<RB><VBN>
also discovered,also rb discovered vbd,RB VBD,<RB><VBD>
also fixed,also rb fixed vbn,RB VBN,<RB><VBN>
also in good condition,also rb in in_pos good jj condition nn,RB IN JJ NN,<RB><IN><JJ><NN>
also mud,also rb mud nn,RB NN,<RB><NN>
also noticed,also rb noticed vbd,RB VBD,<RB><VBD>
also surface,also rb surface nn,RB NN,<RB><NN>
alwas,alwas nn,NN,<NN>
am closing,am vbp closing nn,VBP NN,<VBP><NN>
am giving,am vbp giving vbg,VBP VBG,<VBP><VBG>
ambient,ambient nn,NN,<NN>
ammended,ammended vbd,VBD,<VBD>
ammount of dust,ammount nn of in_pos dust nn,NN IN NN,<NN><IN><NN>
amount of air,amount nn of in_pos air nn,NN IN NN,<NN><IN><NN>
amount of dirt,amount nn of in_pos dirt nn,NN IN NN,<NN><IN><NN>
amount of dust,amount nn of in_pos dust nn,NN IN NN,<NN><IN><NN>
amp,amp nn,NN,<NN>
amperage was,amperage nn was vbd,NN VBD,<NN><VBD>
amps,amps nns,NNS,<NNS>
amps blower,amps nns blower nn,NNS NN,<NNS><NN>
amps carried,amps nns carried vbd,NNS VBD,<NNS><VBD>
amps checked,amps nns checked vbd,NNS VBD,<NNS><VBD>
amps confirmed,amps nns confirmed vbd,NNS VBD,<NNS><VBD>
amps corrective,amps nns corrective vbp,NNS VBP,<NNS><VBP>
amps done,amps nns done vbn,NNS VBN,<NNS><VBN>
amps mpa,amps nns mpa nn,NNS NN,<NNS><NN>
amps mpb,amps nns mpb nn,NNS NN,<NNS><NN>
amps mud,amps nns mud nn,NNS NN,<NNS><NN>
amps note,amps nns note vbp,NNS VBP,<NNS><VBP>
amps opened,amps nns opened vbd,NNS VBD,<NNS><VBD>
amps visualized,amps nns visualized vbd,NNS VBD,<NNS><VBD>
amps were,amps nns were vbd,NNS VBD,<NNS><VBD>
ampstest,ampstest nn,NN,<NN>
ampsthe cooling,ampsthe nn cooling nn,NN NN,<NN><NN>
an abnormal,an dt abnormal jj,DT JJ,<DT><JJ>
an acceptable,an dt acceptable jj,DT JJ,<DT><JJ>
an alarm,an dt alarm nn,DT NN,<DT><NN>
an alarms,an dt alarms nns,DT NNS,<DT><NNS>
an alert,an dt alert nn,DT NN,<DT><NN>
an ammeter,an dt ammeter nn,DT NN,<DT><NN>
an amp,an dt amp nn,DT NN,<DT><NN>
an appearance,an dt appearance nn,DT NN,<DT><NN>
an average,an dt average nn,DT NN,<DT><NN>
an confimred,an dt confimred jj,DT JJ,<DT><JJ>
an earth,an dt earth nn,DT NN,<DT><NN>
an empty,an dt empty jj,DT JJ,<DT><JJ>
an enclosed,an dt enclosed jj,DT JJ,<DT><JJ>
an extract,an dt extract nn,DT NN,<DT><NN>
an hour,an dt hour nn,DT NN,<DT><NN>
an in good condition,an dt in in_pos good jj condition nn,DT IN JJ NN,<DT><IN><JJ><NN>
an infrared,an dt infrared jj,DT JJ,<DT><JJ>
an investigation,an dt investigation nn,DT NN,<DT><NN>
an ir,an dt ir nn,DT NN,<DT><NN>
an issue,an dt issue nn,DT NN,<DT><NN>
an off,an dt off rp,DT RP,<DT><RP>
an old,an dt old jj,DT JJ,<DT><JJ>
an open,an dt open jj,DT JJ,<DT><JJ>
an opportunity,an dt opportunity nn,DT NN,<DT><NN>
an overcurrent,an dt overcurrent nn,DT NN,<DT><NN>
an unplanned,an dt unplanned jj,DT JJ,<DT><JJ>
analysis on board,analysis nn on in_pos board nn,NN IN NN,<NN><IN><NN>
analysis performed,analysis nn performed vbd,NN VBD,<NN><VBD>
analysis was,analysis nn was vbd,NN VBD,<NN><VBD>
analyze on ac,analyze nn on in_pos ac nn,NN IN NN,<NN><IN><NN>
analyzed,analyzed vbn,VBN,<VBN>
anf have,anf nns have vbp,NNS VBP,<NNS><VBP>
annual,annual jj,JJ,<JJ>
another function,another dt function nn,DT NN,<DT><NN>
another job,another dt job nn,DT NN,<DT><NN>
another pi,another dt pi nn,DT NN,<DT><NN>
another rig,another dt rig nn,DT NN,<DT><NN>
another survey,another dt survey nn,DT NN,<DT><NN>
ans inertia,ans nns inertia vbp,NNS VBP,<NNS><VBP>
any abnormal,any dt abnormal jj,DT JJ,<DT><JJ>
any abnormalities,any dt abnormalities nns,DT NNS,<DT><NNS>
any action,any dt action nn,DT NN,<DT><NN>
any alarm,any dt alarm nn,DT NN,<DT><NN>
any alarms,any dt alarms nns,DT NNS,<DT><NNS>
any bearing,any dt bearing nn,DT NN,<DT><NN>
any cable,any dt cable nn,DT NN,<DT><NN>
any components,any dt components nns,DT NNS,<DT><NNS>
any contactors,any dt contactors nns,DT NNS,<DT><NNS>
any cracks,any dt cracks nns,DT NNS,<DT><NNS>
any dam,any dt dam nn,DT NN,<DT><NN>
any damage,any dt damage nn,DT NN,<DT><NN>
any debris,any dt debris nn,DT NN,<DT><NN>
any defects,any dt defects nns,DT NNS,<DT><NNS>
any dirt,any dt dirt nn,DT NN,<DT><NN>
any element,any dt element nn,DT NN,<DT><NN>
any fault,any dt fault nn,DT NN,<DT><NN>
any grounds,any dt grounds nns,DT NNS,<DT><NNS>
any heaters,any dt heaters nns,DT NNS,<DT><NNS>
any internal,any dt internal jj,DT JJ,<DT><JJ>
any issue,any dt issue nn,DT NN,<DT><NN>
any issues,any dt issues nns,DT NNS,<DT><NNS>
any load,any dt load nn,DT NN,<DT><NN>
any loose,any dt loose jj,DT JJ,<DT><JJ>
