phrases,tagged_phrases,Tags,indicator_valid_eng_phrase
a blak,a dt blak nn,DT NN,0
a blank,a dt blank nn,DT NN,1
a blind,a dt blind nn,DT NN,1
a blister,a dt blister nn,DT NN,1
a block,a dt block nn,DT NN,1
a blockage,a dt blockage nn,DT NN,1
a blower,a dt blower nn,DT NN,1
a blown,a dt blown nn,DT NN,1
a blue,a dt blue nn,DT NN,1
a bolt,a dt bolt nn,DT NN,1
a bolts,a dt bolts nn,DT NN,1
a boom,a dt boom nn,DT NN,1
a boot,a dt boot nn,DT NN,1
a bore,a dt bore nn,DT NN,1
a borescope,a dt borescope nn,DT NN,0
a box,a dt box nn,DT NN,1
a bracket,a dt bracket nn,DT NN,1
a brake,a dt brake nn,DT NN,1
a brazil,a dt brazil nn,DT NN,1
a break,a dt break nn,DT NN,1
a breakdown,a dt breakdown nn,DT NN,1
a breaker,a dt breaker nn,DT NN,1
a breather,a dt breather nn,DT NN,1
a brief,a dt brief nn,DT NN,1
a broke,a dt broke nn,DT NN,1
a broken,a dt broken nn,DT NN,1
a bru,a dt bru nn,DT NN,0
a bspp,a dt bspp nn,DT NN,0
a bucket,a dt bucket nn,DT NN,1
a budgetary,a dt budgetary jj,DT JJ,1
a buffer,a dt buffer nn,DT NN,1
a bug,a dt bug nn,DT NN,1
a build,a dt build nn,DT NN,1
a buildup,a dt buildup nn,DT NN,1
a bulletin,a dt bulletin nn,DT NN,1
a burst,a dt burst nn,DT NN,1
a bus,a dt bus nn,DT NN,1
a buss,a dt buss nn,DT NN,1
a bx,a dt bx nn,DT NN,1
a c,a dt c nn,DT NN,1
a cabinet,a dt cabinet nn,DT NN,1
a cabinets,a dt cabinets nns,DT NNS,1
a cable,a dt cable nn,DT NN,1
a cableok,a dt cableok nn,DT NN,0
a cables,a dt cables nns,DT NNS,1
a cabling,a dt cabling nn,DT NN,1
a calculated,a dt calculated jj,DT JJ,1
a calender,a dt calender nn,DT NN,1
a calibrated,a dt calibrated jj,DT JJ,1
a calibration,a dt calibration nn,DT NN,1
a calipers,a dt calipers nns,DT NNS,1
a call,a dt call nn,DT NN,1
a cant,a dt cant nn,DT NN,1
a capacity,a dt capacity nn,DT NN,1
a cartridge,a dt cartridge nn,DT NN,1
a castle,a dt castle nn,DT NN,1
a cc,a dt cc nn,DT NN,1
a cd,a dt cd nn,DT NN,1
a cement,a dt cement nn,DT NN,1
a center,a dt center nn,DT NN,1
a central,a dt central jj,DT JJ,1
a centralizer,a dt centralizer nn,DT NN,1
a certain,a dt certain jj,DT JJ,1
a certified,a dt certified jj,DT JJ,1
a chain,a dt chain nn,DT NN,1
a chair,a dt chair nn,DT NN,1
a chair rotary,a dt chair nn rotary nn,DT NN NN,1
a chance,a dt chance nn,DT NN,1
a change,a dt change nn,DT NN,1
a channel,a dt channel nn,DT NN,1
a charge,a dt charge nn,DT NN,1
a check,a dt check nn,DT NN,1
a checked,a dt checked nn,DT NN,1
a checklist,a dt checklist nn,DT NN,1
a chunk,a dt chunk nn,DT NN,1
a circuit,a dt circuit nn,DT NN,1
a clamp,a dt clamp nn,DT NN,1
a class,a dt class nn,DT NN,1
a clean,a dt clean jj,DT JJ,1
a cleaned,a dt cleaned jj,DT JJ,1
a cleanness,a dt cleanness nn,DT NN,1
a clear,a dt clear jj,DT JJ,1
a clevis,a dt clevis nn,DT NN,1
a climate,a dt climate nn,DT NN,1
a clog,a dt clog nn,DT NN,1
a clogged,a dt clogged jj,DT JJ,1
a close,a dt close nn,DT NN,1
a closed,a dt closed vbd,DT VBD,1
a cm,a dt cm nn,DT NN,1
a cm related,a dt cm nn related vbn,DT NN VBN,1
a cmc,a dt cmc nn,DT NN,0
a coat,a dt coat nn,DT NN,1
a coating,a dt coating nn,DT NN,1
a coatings,a dt coatings nns,DT NNS,1
a coc,a dt coc nn,DT NN,0
a coded,a dt coded jj,DT JJ,1
a coil,a dt coil nn,DT NN,1
a collision,a dt collision nn,DT NN,1
a combination,a dt combination nn,DT NN,1
a comealong,a dt comealong nn,DT NN,0
a command,a dt command nn,DT NN,1
a common,a dt common jj,DT JJ,1
a communication,a dt communication nn,DT NN,1
a communications,a dt communications nn,DT NN,1
a compare,a dt compare nn,DT NN,1
a comparison,a dt comparison nn,DT NN,1
a compensator,a dt compensator nn,DT NN,1
a compensators,a dt compensators nns,DT NNS,0
a complete,a dt complete jj,DT JJ,1
a component other,a dt component nn other jj,DT NN JJ,1
a compression,a dt compression nn,DT NN,1
a condition,a dt condition nn,DT NN,1
a conditional,a dt conditional jj,DT JJ,1
a conditions,a dt conditions nns,DT NNS,1
a conditon,a dt conditon nn,DT NN,0
a confirm,a dt confirm nn,DT NN,1
a confirmed,a dt confirmed nn,DT NN,1
a confusion,a dt confusion nn,DT NN,1
a connection,a dt connection nn,DT NN,1
a connector,a dt connector nn,DT NN,1
a connectors,a dt connectors nns,DT NNS,1
a considerable,a dt considerable jj,DT JJ,1
a consistently,a dt consistently rb,DT RB,1
a consoles,a dt consoles nns,DT NNS,1
a constance,a dt constance nn,DT NN,0
a constant,a dt constant jj,DT JJ,1
a contact,a dt contact nn,DT NN,1
a container,a dt container nn,DT NN,1
a containment,a dt containment nn,DT NN,1
a continuation,a dt continuation nn,DT NN,1
a continuous,a dt continuous jj,DT JJ,1
a contributing,a dt contributing nn,DT NN,1
a control,a dt control nn,DT NN,1
a controlled,a dt controlled vbn,DT VBN,1
a conventional,a dt conventional jj,DT JJ,1
a conversation,a dt conversation nn,DT NN,1
a cooled,a dt cooled jj,DT JJ,1
a cooling,a dt cooling nn,DT NN,1
a copy,a dt copy nn,DT NN,1
a coreective,a dt coreective nn,DT NN,0
a corner,a dt corner nn,DT NN,1
a corporate,a dt corporate jj,DT JJ,1
a correct,a dt correct nn,DT NN,1
a correction,a dt correction nn,DT NN,1
a corrective,a dt corrective nn,DT NN,1
a correctly,a dt correctly nn,DT NN,1
a correctve,a dt correctve nn,DT NN,0
a corrosion,a dt corrosion nn,DT NN,1
a cotter,a dt cotter nn,DT NN,1
a couldnt,a dt couldnt nn,DT NN,0
a count,a dt count nn,DT NN,1
a couple,a dt couple nn,DT NN,1
a couple loose,a dt couple nn loose nn,DT NN NN,1
a coupling,a dt coupling nn,DT NN,1
a course,a dt course nn,DT NN,1
a cover,a dt cover nn,DT NN,1
a cpu,a dt cpu nn,DT NN,0
a cr,a dt cr nn,DT NN,1
a crack,a dt crack nn,DT NN,1
a cracked,a dt cracked nn,DT NN,1
a cracks,a dt cracks nns,DT NNS,1
a creaking,a dt creaking nn,DT NN,1
a crew,a dt crew nn,DT NN,1
a criteria,a dt criteria nn,DT NN,1
a criterious,a dt criterious jj,DT JJ,0
a critical,a dt critical jj,DT JJ,1
a crorrective,a dt crorrective nn,DT NN,0
a cross,a dt cross nn,DT NN,1
a crossover,a dt crossover nn,DT NN,1
a crown,a dt crown nn,DT NN,1
a crows,a dt crows nns,DT NNS,1
a crush,a dt crush nn,DT NN,1
a cup,a dt cup nn,DT NN,1
a cuple,a dt cuple nn,DT NN,0
a current,a dt current jj,DT JJ,1
a cut,a dt cut nn,DT NN,1
a cyber,a dt cyber nn,DT NN,0
a cyberbase,a dt cyberbase nn,DT NN,0
a cyberbase clean,a dt cyberbase nn clean nn,DT NN NN,0
a cylinder,a dt cylinder nn,DT NN,1
a d,a dt d nn,DT NN,1
a d main,a dt d nn main jj,DT NN JJ,1
a daily,a dt daily jj,DT JJ,1
a damage,a dt damage nn,DT NN,1
a dark,a dt dark nn,DT NN,1
a database,a dt database nn,DT NN,1
a day,a dt day nn,DT NN,1
a day mechanical,a dt day nn mechanical jj,DT NN JJ,1
a day pm,a dt day nn pm nn,DT NN NN,1
a days,a dt days nns,DT NNS,1
a dead,a dt dead jj,DT JJ,1
a deal,a dt deal nn,DT NN,1
a debris,a dt debris nn,DT NN,1
a decent,a dt decent nn,DT NN,1
a decision,a dt decision nn,DT NN,1
a decoupled,a dt decoupled jj,DT JJ,1
a deep,a dt deep jj,DT JJ,1
a defective,a dt defective jj,DT JJ,1
a deferal,a dt deferal jj,DT JJ,0
a deferral,a dt deferral jj,DT JJ,1
a defferal,a dt defferal jj,DT JJ,0
a deformed,a dt deformed nn,DT NN,1
a defrag,a dt defrag nn,DT NN,0
a degraded,a dt degraded jj,DT JJ,1
a degrading,a dt degrading nn,DT NN,1
a degree,a dt degree nn,DT NN,1
a degrees,a dt degrees nns,DT NNS,1
a demister,a dt demister nn,DT NN,1
a denso,a dt denso nn,DT NN,0
a derrick,a dt derrick nn,DT NN,1
a desicant,a dt desicant nn,DT NN,0
a desiccant,a dt desiccant nn,DT NN,1
a desiccate,a dt desiccate nn,DT NN,1
a designated,a dt designated jj,DT JJ,1
a dessicant,a dt dessicant nn,DT NN,0
a detailed,a dt detailed jj,DT JJ,1
a determination,a dt determination nn,DT NN,1
a deviation,a dt deviation nn,DT NN,1
a di,a dt di nn,DT NN,1
a diagram,a dt diagram nn,DT NN,1
a dial,a dt dial nn,DT NN,1
a diameter,a dt diameter nn,DT NN,1
a differant,a dt differant nn,DT NN,0
a difference,a dt difference nn,DT NN,1
a different,a dt different jj,DT JJ,1
a differential,a dt differential nn,DT NN,1
a diffrent,a dt diffrent nn,DT NN,0
a direct,a dt direct jj,DT JJ,1
a directly,a dt directly rb,DT RB,1
a dirt,a dt dirt nn,DT NN,1
a dirty,a dt dirty nn,DT NN,1
a disassembly,a dt disassembly nn,DT NN,1
a disc,a dt disc nn,DT NN,1
a discharge,a dt discharge nn,DT NN,1
a disconnected,a dt disconnected jj,DT JJ,1
a discounted,a dt discounted vbn,DT VBN,1
a discrepancy,a dt discrepancy nn,DT NN,1
a discussion,a dt discussion nn,DT NN,1
a disk,a dt disk nn,DT NN,1
a disparity,a dt disparity nn,DT NN,1
a distance,a dt distance nn,DT NN,1
a distance open,a dt distance nn open jj,DT NN JJ,1
a dma,a dt dma nn,DT NN,0
a doccument,a dt doccument nn,DT NN,0
a document,a dt document nn,DT NN,1
a dol,a dt dol nn,DT NN,1
a door,a dt door nn,DT NN,1
a dops,a dt dops nn,DT NN,0
a doubt,a dt doubt nn,DT NN,1
a down,a dt down rp,DT RP,1
a downloadable,a dt downloadable jj,DT JJ,1
a downtime,a dt downtime nn,DT NN,1
a downward,a dt downward jj,DT JJ,1
a dowty,a dt dowty nn,DT NN,0
a drain,a dt drain nn,DT NN,1
a drained,a dt drained jj,DT JJ,1
a drawawworks,a dt drawawworks nn,DT NN,0
a drawer,a dt drawer nn,DT NN,1
a drawing,a dt drawing nn,DT NN,1
a drawworks,a dt drawworks nn,DT NN,0
a drill,a dt drill nn,DT NN,1
a driller,a dt driller nn,DT NN,1
a drillers,a dt drillers nns,DT NNS,1
a drilling,a dt drilling nn,DT NN,1
a drip,a dt drip nn,DT NN,1
a drive,a dt drive nn,DT NN,1
a drop,a dt drop nn,DT NN,1
a droped,a dt droped nn,DT NN,0
a dropped,a dt dropped vbd,DT VBD,1
a drops,a dt drops nn,DT NN,1
a drum,a dt drum nn,DT NN,1
a dry,a dt dry jj,DT JJ,1
a drying,a dt drying nn,DT NN,1
a dth,a dt dth nn,DT NN,0
a dual,a dt dual jj,DT JJ,1
a duct,a dt duct nn,DT NN,1
a ducting,a dt ducting nn,DT NN,1
a due,a dt due jj,DT JJ,1
a dueblin,a dt dueblin nn,DT NN,0
a dulipcate,a dt dulipcate nn,DT NN,0
a duplex,a dt duplex nn,DT NN,1
a duplicate,a dt duplicate nn,DT NN,1
a duplicated,a dt duplicated jj,DT JJ,1
a dw,a dt dw nn,DT NN,0
a dwaft,a dt dwaft nn,DT NN,0
a earth,a dt earth nn,DT NN,1
a eic,a dt eic nn,DT NN,0
a electrical,a dt electrical jj,DT JJ,1
a electrician,a dt electrician jj,DT JJ,1
a elemite,a dt elemite nn,DT NN,0
a elevator,a dt elevator nn,DT NN,1
a email,a dt email nn,DT NN,1
a encoder,a dt encoder nn,DT NN,1
a end,a dt end nn,DT NN,1
a enerpack,a dt enerpack nn,DT NN,0
a ensured,a dt ensured jj,DT JJ,1
a entire,a dt entire jj,DT JJ,1
a eo,a dt eo nn,DT NN,0
a evident,a dt evident nn,DT NN,1
a ex,a dt ex nn,DT NN,1
a examined,a dt examined jj,DT JJ,1
a except,a dt except nn,DT NN,1
a f,a dt f nn,DT NN,1
a f inspect,a dt f nn inspect nn,DT NN NN,1
a fail,a dt fail nn,DT NN,1
a failed,a dt failed vbd,DT VBD,1
a failing,a dt failing nn,DT NN,1
a failure,a dt failure nn,DT NN,1
a falk,a dt falk nn,DT NN,0
a false,a dt false jj,DT JJ,1
a fans,a dt fans nns,DT NNS,1
a fasteners,a dt fasteners nns,DT NNS,1
a fault,a dt fault nn,DT NN,1
a faulty,a dt faulty nn,DT NN,1
a feedback,a dt feedback nn,DT NN,1
a few,a dt few jj,DT JJ,1
a field upgrade,a dt field nn upgrade nn,DT NN NN,1
a file,a dt file nn,DT NN,1
a filter,a dt filter nn,DT NN,1
a finding last,a dt finding nn last jj,DT NN JJ,1
a fine,a dt fine jj,DT JJ,1
a finger,a dt finger nn,DT NN,1
a fingerboard,a dt fingerboard nn,DT NN,1
a fitting,a dt fitting nn,DT NN,1
a fitting hose,a dt fitting nn hose nn,DT NN NN,1
a fix,a dt fix nn,DT NN,1
a flammable,a dt flammable jj,DT JJ,1
a flash,a dt flash nn,DT NN,1
a flat,a dt flat jj,DT JJ,1
a flaw,a dt flaw nn,DT NN,1
a flexible,a dt flexible jj,DT JJ,1
a flipper,a dt flipper nn,DT NN,1
a floorhand,a dt floorhand nn,DT NN,0
a fluid,a dt fluid nn,DT NN,1
a folder,a dt folder nn,DT NN,1
a follow,a dt follow nn,DT NN,1
a foot,a dt foot nn,DT NN,1
a force,a dt force nn,DT NN,1
a forensic,a dt forensic jj,DT JJ,1
a forward,a dt forward nn,DT NN,1
a found,a dt found nn,DT NN,1
a fourway,a dt fourway nn,DT NN,0
a fow,a dt fow nn,DT NN,0
a frame,a dt frame nn,DT NN,1
a free,a dt free jj,DT JJ,1
a freezing,a dt freezing nn,DT NN,1
a fresh,a dt fresh jj,DT JJ,1
a from top drive,a dt from in_pos top jj drive nn,DT IN JJ NN,1
a frontal,a dt frontal nn,DT NN,1
a fst,a dt fst nn,DT NN,0
a ft,a dt ft nn,DT NN,1
a ftlbs,a dt ftlbs nn,DT NN,0
a full,a dt full jj,DT JJ,1
a function,a dt function nn,DT NN,1
a further,a dt further jj,DT JJ,1
a fuse,a dt fuse nn,DT NN,1
a future,a dt future nn,DT NN,1
a fv,a dt fv nn,DT NN,0
a fwd,a dt fwd nn,DT NN,1
a g,a dt g nn,DT NN,1
a gallon,a dt gallon nn,DT NN,1
a gap,a dt gap nn,DT NN,1
a gauge,a dt gauge nn,DT NN,1
a gauges,a dt gauges nns,DT NNS,1
a gear,a dt gear nn,DT NN,1
a gearbox,a dt gearbox nn,DT NN,1
a general,a dt general jj,DT JJ,1
a generally,a dt generally rb,DT RB,1
a generous,a dt generous jj,DT JJ,1
a gesr,a dt gesr nn,DT NN,0
a gland,a dt gland nn,DT NN,1
a glide,a dt glide nn,DT NN,1
a global,a dt global jj,DT JJ,1
a globaltech,a dt globaltech nn,DT NN,0
a glycol,a dt glycol nn,DT NN,1
a go,a dt go nn,DT NN,1
a good,a dt good jj,DT JJ,1
a grade,a dt grade nn,DT NN,1
a graphic,a dt graphic jj,DT JJ,1
a graphite,a dt graphite nn,DT NN,1
a grease,a dt grease nn,DT NN,1
a grease short,a dt grease nn short jj,DT NN JJ,1
a greasing,a dt greasing nn,DT NN,1
a great,a dt great jj,DT JJ,1
a green,a dt green jj,DT JJ,1
a grinder,a dt grinder nn,DT NN,1
a grip,a dt grip nn,DT NN,1
a gripper,a dt gripper nn,DT NN,1
a ground,a dt ground nn,DT NN,1
a grounded,a dt grounded jj,DT JJ,1
a grounding,a dt grounding nn,DT NN,1
a guard,a dt guard nn,DT NN,1
a guide,a dt guide nn,DT NN,1
a guided,a dt guided jj,DT JJ,1
a guy,a dt guy nn,DT NN,1
a hair,a dt hair nn,DT NN,1
a half,a dt half nn,DT NN,1
a half open,a dt half nn open jj,DT NN JJ,1
a hammer,a dt hammer nn,DT NN,1
a hand,a dt hand nn,DT NN,1
a handle,a dt handle nn,DT NN,1
a hard,a dt hard jj,DT JJ,1
a have,a dt have vbp,DT VBP,1
a hazardous,a dt hazardous jj,DT JJ,1
a head,a dt head nn,DT NN,1
a health,a dt health nn,DT NN,1
a heat,a dt heat nn,DT NN,1
a heater,a dt heater nn,DT NN,1
a heaters,a dt heaters nns,DT NNS,1
a heavily,a dt heavily rb,DT RB,1
a heavy,a dt heavy jj,DT JJ,1
a height,a dt height nn,DT NN,1
a hex,a dt hex nn,DT NN,1
a hi,a dt hi nn,DT NN,1
a high,a dt high jj,DT JJ,1
a highhigh,a dt highhigh nn,DT NN,0
a historical,a dt historical jj,DT JJ,1
a history,a dt history nn,DT NN,1
a hold,a dt hold nn,DT NN,1
a hole,a dt hole nn,DT NN,1
a homemade,a dt homemade nn,DT NN,1
a hook,a dt hook nn,DT NN,1
a hookload,a dt hookload nn,DT NN,0
a horn,a dt horn nn,DT NN,1
a hose,a dt hose nn,DT NN,1
a hot,a dt hot jj,DT JJ,1
a hour,a dt hour nn,DT NN,1
a houston,a dt houston nn,DT NN,0
a hpu,a dt hpu nn,DT NN,0
a hr,a dt hr nn,DT NN,1
a hriv,a dt hriv nn,DT NN,0
a hub,a dt hub nn,DT NN,1
a hull,a dt hull nn,DT NN,1
a human,a dt human jj,DT JJ,1
a humid,a dt humid nn,DT NN,1
a hung,a dt hung nn,DT NN,1
a hyd,a dt hyd nn,DT NN,0
a hydra,a dt hydra nn,DT NN,1
a hydraracker,a dt hydraracker nn,DT NN,0
a hydraulic,a dt hydraulic nn,DT NN,1
a hydraulically,a dt hydraulically rb,DT RB,1
a hyrauilc,a dt hyrauilc nn,DT NN,0
a i,a dt i nn,DT NN,1
a ib,a dt ib nn,DT NN,1
a ibwm,a dt ibwm nn,DT NN,0
a icn,a dt icn nn,DT NN,0
a ijb,a dt ijb nn,DT NN,0
a illustration,a dt illustration nn,DT NN,1
a imin,a dt imin nn,DT NN,0
a impeller,a dt impeller nn,DT NN,1
a inboard,a dt inboard nn,DT NN,1
a inch,a dt inch nn,DT NN,1
a incorrect,a dt incorrect nn,DT NN,1
a indicator,a dt indicator nn,DT NN,1
a inlet,a dt inlet nn,DT NN,1
a inspection,a dt inspection nn,DT NN,1
a installed,a dt installed jj,DT JJ,1
a insulation,a dt insulation nn,DT NN,1
a insulationtester,a dt insulationtester nn,DT NN,0
a insure proper,a dt insure nn proper nn,DT NN NN,1
a interface,a dt interface nn,DT NN,1
a intermitten,a dt intermitten nn,DT NN,0
a internal,a dt internal jj,DT JJ,1
a ir,a dt ir nn,DT NN,0
a isolated,a dt isolated jj,DT JJ,1
a isolation,a dt isolation nn,DT NN,1
a isolator,a dt isolator nn,DT NN,1
a issue,a dt issue nn,DT NN,1
a item,a dt item nn,DT NN,1
a j,a dt j nn,DT NN,1
a jaw,a dt jaw nn,DT NN,1
a jb,a dt jb nn,DT NN,0
a jerking,a dt jerking nn,DT NN,1
a jic,a dt jic nn,DT NN,0
a jicf,a dt jicf nn,DT NN,0
a jicm,a dt jicm nn,DT NN,0
a job,a dt job nn,DT NN,1
a job open,a dt job nn open jj,DT NN JJ,1
a jog,a dt jog nn,DT NN,1
a joint,a dt joint jj,DT JJ,1
a joystick,a dt joystick nn,DT NN,1
a jumper,a dt jumper nn,DT NN,1
a junction,a dt junction nn,DT NN,1
a just,a dt just rb,DT RB,1
a k,a dt k nn,DT NN,1
a kink,a dt kink nn,DT NN,1
a kit,a dt kit nn,DT NN,1
a klaxon,a dt klaxon nn,DT NN,1
a knocking,a dt knocking nn,DT NN,1
a know,a dt know nn,DT NN,1
a known,a dt known nn,DT NN,1
a l,a dt l nn,DT NN,1
a lack,a dt lack nn,DT NN,1
a lamp,a dt lamp nn,DT NN,1
a laptop,a dt laptop nn,DT NN,1
a large,a dt large jj,DT JJ,1
a laser,a dt laser nn,DT NN,1
a latch,a dt latch nn,DT NN,1
a later,a dt later nn,DT NN,1
a layer,a dt layer nn,DT NN,1
a leak,a dt leak nn,DT NN,1
a leakage,a dt leakage nn,DT NN,1
a leaking,a dt leaking nn,DT NN,1
a leaking quick,a dt leaking nn quick nn,DT NN NN,1
a leaks,a dt leaks nn,DT NN,1
a left,a dt left nn,DT NN,1
a length,a dt length nn,DT NN,1
a lenz,a dt lenz nn,DT NN,0
a level,a dt level nn,DT NN,1
a lh,a dt lh nn,DT NN,0
a light,a dt light nn,DT NN,1
a lightning,a dt lightning nn,DT NN,1
a lights,a dt lights nns,DT NNS,1
a like,a dt like jj,DT JJ,1
a lil,a dt lil nn,DT NN,0
a limit,a dt limit nn,DT NN,1
a linearisationa,a dt linearisationa nn,DT NN,0
a liner,a dt liner nn,DT NN,1
a link,a dt link nn,DT NN,1
a lip,a dt lip nn,DT NN,1
a lir,a dt lir nn,DT NN,0
a list,a dt list nn,DT NN,1
a liters,a dt liters nns,DT NNS,1
a little,a dt little jj,DT JJ,1
a lo,a dt lo nn,DT NN,1
a load,a dt load nn,DT NN,1
a local,a dt local jj,DT JJ,1
a locating,a dt locating nn,DT NN,1
a location,a dt location nn,DT NN,1
a lock,a dt lock nn,DT NN,1
a locker,a dt locker nn,DT NN,1
a locknut,a dt locknut nn,DT NN,1
a lockups,a dt lockups nn,DT NN,1
a log,a dt log nn,DT NN,1
a logic,a dt logic nn,DT NN,1
a long,a dt long jj,DT JJ,1
a look,a dt look nn,DT NN,1
a loop,a dt loop nn,DT NN,1
a loose,a dt loose jj,DT JJ,1
a looseness,a dt looseness nn,DT NN,1
a looseness excessive,a dt looseness nn excessive nn,DT NN NN,1
a looseness leaks,a dt looseness nn leaks nn,DT NN NN,1
a lose,a dt lose nn,DT NN,1
a loss,a dt loss nn,DT NN,1
a lost,a dt lost nn,DT NN,1
a lot,a dt lot nn,DT NN,1
a loud,a dt loud nn,DT NN,1
a louver,a dt louver nn,DT NN,1
a louvers,a dt louvers nns,DT NNS,1
a low,a dt low jj,DT JJ,1
a lp,a dt lp nn,DT NN,0
a lube,a dt lube nn,DT NN,1
a lubercate,a dt lubercate nn,DT NN,0
a lubricant,a dt lubricant nn,DT NN,1
a lubricated,a dt lubricated jj,DT JJ,1
a lubricator,a dt lubricator nn,DT NN,1
a m,a dt m nn,DT NN,1
a ma,a dt ma nn,DT NN,1
a machined,a dt machined jj,DT JJ,1
a mag,a dt mag nn,DT NN,1
a magnet,a dt magnet nn,DT NN,1
a main,a dt main jj,DT JJ,1
a maintenace,a dt maintenace nn,DT NN,0
a maintenance,a dt maintenance nn,DT NN,1
a major,a dt major jj,DT JJ,1
a majority,a dt majority nn,DT NN,1
a make,a dt make nn,DT NN,1
a male,a dt male nn,DT NN,1
a man,a dt man nn,DT NN,1
a manifold,a dt manifold nn,DT NN,1
a manner,a dt manner nn,DT NN,1
a manual,a dt manual jj,DT JJ,1
a manually,a dt manually rb,DT RB,1
a march,a dt march nn,DT NN,1
a mark,a dt mark nn,DT NN,1
a master,a dt master nn,DT NN,1
a materials,a dt materials nns,DT NNS,1
a mating,a dt mating nn,DT NN,1
a matter,a dt matter nn,DT NN,1
a max,a dt max nn,DT NN,1
a maximum,a dt maximum nn,DT NN,1
a maxium,a dt maxium nn,DT NN,0
a may,a dt may md,DT MD,1
a measurement,a dt measurement nn,DT NN,1
a mechanic,a dt mechanic nn,DT NN,1
a mechanical,a dt mechanical jj,DT JJ,1
a mechanics,a dt mechanics nns,DT NNS,1
a medium,a dt medium nn,DT NN,1
a meg,a dt meg nn,DT NN,1
a megged,a dt megged nn,DT NN,0
a megger,a dt megger nn,DT NN,0
a megohmeter,a dt megohmeter nn,DT NN,0
a memory,a dt memory nn,DT NN,1
a message,a dt message nn,DT NN,1
a meter,a dt meter nn,DT NN,1
a method,a dt method nn,DT NN,1
a micron,a dt micron nn,DT NN,1
a min,a dt min nn,DT NN,1
a minimess,a dt minimess nn,DT NN,0
a minimum,a dt minimum nn,DT NN,1
a minimums,a dt minimums nn,DT NN,1
a minor,a dt minor jj,DT JJ,1
a minute,a dt minute nn,DT NN,1
a minutiae,a dt minutiae nn,DT NN,1
a mis,a dt mis nn,DT NN,0
a mistake,a dt mistake nn,DT NN,1
a mix,a dt mix nn,DT NN,1
a mm,a dt mm nn,DT NN,1
a modified,a dt modified jj,DT JJ,1
a module,a dt module nn,DT NN,1
a mohm,a dt mohm nn,DT NN,0
a mohms,a dt mohms nn,DT NN,0
a moister,a dt moister nn,DT NN,1
a moisture,a dt moisture nn,DT NN,1
a moment,a dt moment nn,DT NN,1
