phrases,tagged_phrases,phrases_for_model,phrases_for_model_index,predicted_class,predicted_class_probabilities,indicator_of_score
a center,a dt center nn,"['a', 'dt', 'center', 'nn']","[27, 4375, 303, 4373]",0,"[0.9463112, 0.02111274, 0.005661607]",0
a chance,a dt chance nn,"['a', 'dt', 'chance', 'nn']","[27, 4375, 2471, 4373]",0,"[0.8980905, 0.017960668, 0.011812091]",0
a change,a dt change nn,"['a', 'dt', 'change', 'nn']","[27, 4375, 116, 4373]",0,"[0.85154474, 0.1757231, 0.0013200343]",0
a changed,a dt changed nn,"['a', 'dt', 'changed', 'nn']","[27, 4375, 55, 4373]",0,"[0.822744, 0.27255976, 0.00064727664]",0
a check,a dt check nn,"['a', 'dt', 'check', 'nn']","[27, 4375, 174, 4373]",0,"[0.9154253, 0.077429116, 0.002342403]",0
a checked,a dt checked nn,"['a', 'dt', 'checked', 'nn']","[27, 4375, 26, 4373]",0,"[0.9760916, 0.021621287, 0.0011642575]",0
a cleaned,a dt cleaned jj,"['a', 'dt', 'cleaned', 'jj']","[27, 4375, 75, 4378]",0,"[0.99777615, 0.00307706, 0.000109549306]",1
a clogged,a dt clogged jj,"['a', 'dt', 'clogged', 'jj']","[27, 4375, 526, 4378]",0,"[0.9909828, 0.0031879246, 0.0026429296]",1
a cm,a dt cm nn,"['a', 'dt', 'cm', 'nn']","[27, 4375, 669, 4373]",0,"[0.87211084, 0.032266498, 0.018784165]",0
a coded,a dt coded jj,"['a', 'dt', 'coded', 'jj']","[27, 4375, 885, 4378]",0,"[0.9847442, 0.004243195, 0.0046234727]",0
a command,a dt command nn,"['a', 'dt', 'command', 'nn']","[27, 4375, 1192, 4373]",0,"[0.8382026, 0.030235201, 0.028073967]",0
a complete,a dt complete jj,"['a', 'dt', 'complete', 'jj']","[27, 4375, 241, 4378]",0,"[0.99373, 0.0046651065, 0.00082555413]",1
a compression,a dt compression nn,"['a', 'dt', 'compression', 'nn']","[27, 4375, 4050, 4373]",0,"[0.98180157, 0.0044617057, 0.0013932288]",0
a conference,a dt conference nn,"['a', 'dt', 'conference', 'nn']","[27, 4375, 3159, 4373]",0,"[0.9715966, 0.00645718, 0.002340883]",0
a confirmed,a dt confirmed nn,"['a', 'dt', 'confirmed', 'nn']","[27, 4375, 316, 4373]",0,"[0.9065251, 0.053047627, 0.0072209835]",0
a connection,a dt connection nn,"['a', 'dt', 'connection', 'nn']","[27, 4375, 1518, 4373]",0,"[0.7826638, 0.040660083, 0.03231412]",0
a controlled,a dt controlled vbn,"['a', 'dt', 'controlled', 'vbn']","[27, 4375, 2347, 4372]",0,"[0.48919055, 0.116344064, 0.051459253]",0
a copy,a dt copy nn,"['a', 'dt', 'copy', 'nn']","[27, 4375, 1557, 4373]",0,"[0.82089746, 0.033050388, 0.023284048]",0
a correct,a dt correct nn,"['a', 'dt', 'correct', 'nn']","[27, 4375, 132, 4373]",0,"[0.9181594, 0.08185309, 0.0018942058]",0
a corrective,a dt corrective nn,"['a', 'dt', 'corrective', 'nn']","[27, 4375, 1362, 4373]",0,"[0.791317, 0.03771934, 0.033091336]",0
a couple,a dt couple nn,"['a', 'dt', 'couple', 'nn']","[27, 4375, 1596, 4373]",0,"[0.82119, 0.034541756, 0.023409992]",0
a crack,a dt crack nn,"['a', 'dt', 'crack', 'nn']","[27, 4375, 1049, 4373]",0,"[0.8728775, 0.026464611, 0.022342592]",0
a cross,a dt cross nn,"['a', 'dt', 'cross', 'nn']","[27, 4375, 203, 4373]",0,"[0.94318426, 0.04172069, 0.0023383796]",0
a daily,a dt daily jj,"['a', 'dt', 'daily', 'jj']","[27, 4375, 824, 4378]",0,"[0.9871523, 0.0033732653, 0.004240334]",0
a day,a dt day nn,"['a', 'dt', 'day', 'nn']","[27, 4375, 154, 4373]",0,"[0.870878, 0.1733548, 0.0012300313]",0
a decision,a dt decision nn,"['a', 'dt', 'decision', 'nn']","[27, 4375, 788, 4373]",0,"[0.8933811, 0.024823636, 0.019628555]",0
a deferral,a dt deferral jj,"['a', 'dt', 'deferral', 'jj']","[27, 4375, 3854, 4378]",0,"[0.99727356, 0.00073856115, 0.0004220605]",1
a desiccant,a dt desiccant nn,"['a', 'dt', 'desiccant', 'nn']","[27, 4375, 505, 4373]",0,"[0.88962394, 0.029426098, 0.016872793]",0
a diagram,a dt diagram nn,"['a', 'dt', 'diagram', 'nn']","[27, 4375, 2668, 4373]",0,"[0.9772084, 0.005413294, 0.0016950071]",0
a differant,a dt differant nn,"['a', 'dt', 'differant', 'nn']","[27, 4375, 3319, 4373]",0,"[0.96242785, 0.008463681, 0.003128469]",0
a different,a dt different jj,"['a', 'dt', 'different', 'jj']","[27, 4375, 1784, 4378]",0,"[0.9929183, 0.0019578934, 0.0014186203]",1
a distance,a dt distance nn,"['a', 'dt', 'distance', 'nn']","[27, 4375, 2364, 4373]",0,"[0.9551722, 0.0092353225, 0.004008919]",0
a drip,a dt drip nn,"['a', 'dt', 'drip', 'nn']","[27, 4375, 4308, 4373]",0,"[0.9885675, 0.002911657, 0.0008175671]",0
a drop,a dt drop nn,"['a', 'dt', 'drop', 'nn']","[27, 4375, 3650, 4373]",0,"[0.97388816, 0.005550176, 0.0021016896]",0
a duplicate,a dt duplicate nn,"['a', 'dt', 'duplicate', 'nn']","[27, 4375, 2065, 4373]",0,"[0.96465003, 0.007830262, 0.002837181]",0
a electronic,a dt electronic jj,"['a', 'dt', 'electronic', 'jj']","[27, 4375, 1927, 4378]",0,"[0.99357104, 0.0017988086, 0.0012363195]",1
a failed,a dt failed vbd,"['a', 'dt', 'failed', 'vbd']","[27, 4375, 645, 4380]",2,"[0.005986631, 0.041859448, 0.8813235]",0
a failure,a dt failure nn,"['a', 'dt', 'failure', 'nn']","[27, 4375, 548, 4373]",0,"[0.9000056, 0.02938345, 0.015711337]",0
a falk,a dt falk nn,"['a', 'dt', 'falk', 'nn']","[27, 4375, 2448, 4373]",0,"[0.8976642, 0.017784476, 0.012351245]",0
a few,a dt few jj,"['a', 'dt', 'few', 'jj']","[27, 4375, 774, 4378]",0,"[0.98579735, 0.0037608445, 0.0045314133]",0
a file,a dt file nn,"['a', 'dt', 'file', 'nn']","[27, 4375, 1815, 4373]",0,"[0.9088717, 0.015990078, 0.010614634]",0
a filter,a dt filter nn,"['a', 'dt', 'filter', 'nn']","[27, 4375, 56, 4373]",0,"[0.8824544, 0.10758504, 0.0013294816]",0
a fine,a dt fine jj,"['a', 'dt', 'fine', 'jj']","[27, 4375, 685, 4378]",0,"[0.9866675, 0.0038847327, 0.0040208697]",0
a flexible,a dt flexible jj,"['a', 'dt', 'flexible', 'jj']","[27, 4375, 1174, 4378]",0,"[0.97708887, 0.005385667, 0.0069007576]",0
a fluid,a dt fluid nn,"['a', 'dt', 'fluid', 'nn']","[27, 4375, 58, 4373]",0,"[0.91732806, 0.017107636, 0.006606996]",0
a forensic,a dt forensic jj,"['a', 'dt', 'forensic', 'jj']","[27, 4375, 4006, 4378]",0,"[0.99808633, 0.0004966557, 0.00030767918]",1
a free,a dt free jj,"['a', 'dt', 'free', 'jj']","[27, 4375, 187, 4378]",0,"[0.997602, 0.0019953847, 0.00026887655]",1
a full,a dt full jj,"['a', 'dt', 'full', 'jj']","[27, 4375, 288, 4378]",0,"[0.99017894, 0.0041866302, 0.0014170706]",1
a function,a dt function nn,"['a', 'dt', 'function', 'nn']","[27, 4375, 343, 4373]",0,"[0.90586555, 0.051775485, 0.007749617]",0
a gasket,a dt gasket nn,"['a', 'dt', 'gasket', 'nn']","[27, 4375, 83, 4373]",1,"[0.16466227, 0.24140862, 0.007198453]",0
a gland,a dt gland nn,"['a', 'dt', 'gland', 'nn']","[27, 4375, 627, 4373]",0,"[0.91365635, 0.024186373, 0.01454106]",0
a glass,a dt glass nn,"['a', 'dt', 'glass', 'nn']","[27, 4375, 1058, 4373]",0,"[0.84168375, 0.03238383, 0.025338173]",0
a good,a dt good jj,"['a', 'dt', 'good', 'jj']","[27, 4375, 25, 4378]",0,"[0.9985778, 0.003562957, 2.2900957e-05]",1
a grade,a dt grade nn,"['a', 'dt', 'grade', 'nn']","[27, 4375, 1568, 4373]",0,"[0.7871737, 0.037331045, 0.030693114]",0
a head,a dt head nn,"['a', 'dt', 'head', 'nn']","[27, 4375, 189, 4373]",0,"[0.92809784, 0.052643716, 0.002469331]",0
a heat,a dt heat nn,"['a', 'dt', 'heat', 'nn']","[27, 4375, 387, 4373]",0,"[0.92322755, 0.027950615, 0.011676908]",0
a hh,a dt hh nn,"['a', 'dt', 'hh', 'nn']","[27, 4375, 3935, 4373]",0,"[0.9815061, 0.004508376, 0.0014409125]",0
a high,a dt high jj,"['a', 'dt', 'high', 'jj']","[27, 4375, 219, 4378]",0,"[0.9919468, 0.0049830973, 0.0011193156]",1
a hose,a dt hose nn,"['a', 'dt', 'hose', 'nn']","[27, 4375, 287, 4373]",0,"[0.90964335, 0.057926297, 0.0049232244]",0
a hot,a dt hot jj,"['a', 'dt', 'hot', 'jj']","[27, 4375, 1287, 4378]",0,"[0.9729521, 0.0060643554, 0.008120269]",0
a inspected,a dt inspected jj,"['a', 'dt', 'inspected', 'jj']","[27, 4375, 36, 4378]",0,"[0.9976332, 0.0007227361, 0.00045999885]",1
a inspection,a dt inspection nn,"['a', 'dt', 'inspection', 'nn']","[27, 4375, 35, 4373]",0,"[0.9528316, 0.047828227, 0.0013777912]",0
a ir,a dt ir nn,"['a', 'dt', 'ir', 'nn']","[27, 4375, 829, 4373]",0,"[0.85538805, 0.028524518, 0.025120378]",0
a isolated,a dt isolated jj,"['a', 'dt', 'isolated', 'jj']","[27, 4375, 229, 4378]",0,"[0.9962722, 0.0031470656, 0.00042778254]",1
a isolation,a dt isolation nn,"['a', 'dt', 'isolation', 'nn']","[27, 4375, 378, 4373]",0,"[0.9113773, 0.03929636, 0.009806305]",0
a jicf,a dt jicf nn,"['a', 'dt', 'jicf', 'nn']","[27, 4375, 4049, 4373]",0,"[0.96849346, 0.006919086, 0.00262326]",0
a jicm,a dt jicm nn,"['a', 'dt', 'jicm', 'nn']","[27, 4375, 1661, 4373]",0,"[0.8484844, 0.024490029, 0.020534217]",0
a job,a dt job nn,"['a', 'dt', 'job', 'nn']","[27, 4375, 31, 4373]",1,"[0.37878534, 0.8702265, 0.0003155768]",0
a large,a dt large jj,"['a', 'dt', 'large', 'jj']","[27, 4375, 1289, 4378]",0,"[0.97362196, 0.006079972, 0.0076357424]",0
a later,a dt later nn,"['a', 'dt', 'later', 'nn']","[27, 4375, 825, 4373]",0,"[0.8870133, 0.026960075, 0.020197868]",0
a leak,a dt leak nn,"['a', 'dt', 'leak', 'nn']","[27, 4375, 376, 4373]",0,"[0.9113915, 0.03596106, 0.01133585]",0
a leake,a dt leake nn,"['a', 'dt', 'leake', 'nn']","[27, 4375, 2056, 4373]",0,"[0.9560621, 0.0096055865, 0.003996074]",0
a leaking,a dt leaking nn,"['a', 'dt', 'leaking', 'nn']","[27, 4375, 232, 4373]",0,"[0.89987385, 0.079508245, 0.003025502]",0
a liner,a dt liner nn,"['a', 'dt', 'liner', 'nn']","[27, 4375, 20, 4373]",0,"[0.9549468, 0.03192711, 0.0011040568]",0
a lot,a dt lot nn,"['a', 'dt', 'lot', 'nn']","[27, 4375, 1932, 4373]",0,"[0.76687634, 0.039571047, 0.032467306]",0
a low,a dt low jj,"['a', 'dt', 'low', 'jj']","[27, 4375, 476, 4378]",0,"[0.99113005, 0.0033170283, 0.0026343763]",1
a lube,a dt lube nn,"['a', 'dt', 'lube', 'nn']","[27, 4375, 29, 4373]",0,"[0.94155157, 0.13254452, 9.507448e-05]",0
a ma,a dt ma nn,"['a', 'dt', 'ma', 'nn']","[27, 4375, 1183, 4373]",0,"[0.82081205, 0.033139378, 0.029295325]",0
a major,a dt major jj,"['a', 'dt', 'major', 'jj']","[27, 4375, 889, 4378]",0,"[0.9821181, 0.0045678318, 0.0051813424]",0
a make,a dt make nn,"['a', 'dt', 'make', 'nn']","[27, 4375, 193, 4373]",0,"[0.90364426, 0.11808398, 0.0014000833]",0
a maximum,a dt maximum nn,"['a', 'dt', 'maximum', 'nn']","[27, 4375, 491, 4373]",0,"[0.9167938, 0.03503725, 0.009947628]",0
a maxium,a dt maxium nn,"['a', 'dt', 'maxium', 'nn']","[27, 4375, 4206, 4373]",0,"[0.9711429, 0.006709993, 0.002228409]",0
a mech,a dt mech nn,"['a', 'dt', 'mech', 'nn']","[27, 4375, 819, 4373]",0,"[0.86043566, 0.027800262, 0.025187552]",0
a mechanical,a dt mechanical jj,"['a', 'dt', 'mechanical', 'jj']","[27, 4375, 361, 4378]",0,"[0.99410546, 0.0032111406, 0.0012989044]",1
a megg,a dt megg nn,"['a', 'dt', 'megg', 'nn']","[27, 4375, 2223, 4373]",0,"[0.92418945, 0.014249086, 0.007885754]",0
a micron,a dt micron nn,"['a', 'dt', 'micron', 'nn']","[27, 4375, 1237, 4373]",0,"[0.8368927, 0.031171858, 0.027367294]",0
a middle,a dt middle nn,"['a', 'dt', 'middle', 'nn']","[27, 4375, 514, 4373]",0,"[0.931566, 0.023031652, 0.011828214]",0
a minimal,a dt minimal jj,"['a', 'dt', 'minimal', 'jj']","[27, 4375, 1267, 4378]",0,"[0.9734685, 0.0060951114, 0.0077361465]",0
a mistake,a dt mistake nn,"['a', 'dt', 'mistake', 'nn']","[27, 4375, 1746, 4373]",0,"[0.83555096, 0.027031451, 0.023693979]",0
a mm,a dt mm nn,"['a', 'dt', 'mm', 'nn']","[27, 4375, 428, 4373]",0,"[0.9014745, 0.033687234, 0.011631519]",0
a month,a dt month nn,"['a', 'dt', 'month', 'nn']","[27, 4375, 1223, 4373]",0,"[0.8284681, 0.035212815, 0.026462078]",0
a motor,a dt motor nn,"['a', 'dt', 'motor', 'nn']","[27, 4375, 104, 4373]",0,"[0.92741895, 0.042545587, 0.0064287186]",0
a mov,a dt mov nn,"['a', 'dt', 'mov', 'nn']","[27, 4375, 2679, 4373]",0,"[0.9830915, 0.0039889514, 0.0012655854]",0
a mp,a dt mp nn,"['a', 'dt', 'mp', 'nn']","[27, 4375, 103, 4373]",0,"[0.88820255, 0.08026418, 0.0040386617]",0
a mud,a dt mud nn,"['a', 'dt', 'mud', 'nn']","[27, 4375, 13, 4373]",0,"[0.6115253, 0.42054927, 0.0019461513]",0
a n,a dt n nn,"['a', 'dt', 'n', 'nn']","[27, 4375, 134, 4373]",0,"[0.9094187, 0.09633589, 0.0015073419]",0
a nd,a dt nd nn,"['a', 'dt', 'nd', 'nn']","[27, 4375, 1772, 4373]",0,"[0.83114237, 0.03066346, 0.02171281]",0
a new,a dt new jj,"['a', 'dt', 'new', 'jj']","[27, 4375, 61, 4378]",0,"[0.993, 0.013284415, 0.00015705824]",1
a nightmare,a dt nightmare nn,"['a', 'dt', 'nightmare', 'nn']","[27, 4375, 3548, 4373]",0,"[0.9832952, 0.0039301217, 0.0012902915]",0
a nitrogen,a dt nitrogen nn,"['a', 'dt', 'nitrogen', 'nn']","[27, 4375, 348, 4373]",0,"[0.907238, 0.045660943, 0.009047538]",0
a noise,a dt noise nn,"['a', 'dt', 'noise', 'nn']","[27, 4375, 262, 4373]",0,"[0.9126562, 0.051317275, 0.00481385]",0
a note,a dt note nn,"['a', 'dt', 'note', 'nn']","[27, 4375, 190, 4373]",0,"[0.9082761, 0.07957354, 0.00260818]",0
a nov,a dt nov nn,"['a', 'dt', 'nov', 'nn']","[27, 4375, 141, 4373]",0,"[0.87710035, 0.071171135, 0.0073940754]",0
a nptmx,a dt nptmx nn,"['a', 'dt', 'nptmx', 'nn']","[27, 4375, 1965, 4373]",0,"[0.9183693, 0.015277863, 0.008456677]",0
a overload,a dt overload nn,"['a', 'dt', 'overload', 'nn']","[27, 4375, 1685, 4373]",0,"[0.9090867, 0.015674472, 0.010783315]",0
a paint,a dt paint nn,"['a', 'dt', 'paint', 'nn']","[27, 4375, 1141, 4373]",0,"[0.8249011, 0.032785147, 0.030004263]",0
a pair,a dt pair nn,"['a', 'dt', 'pair', 'nn']","[27, 4375, 3523, 4373]",0,"[0.9802207, 0.0046812, 0.0015731156]",0
a part,a dt part nn,"['a', 'dt', 'part', 'nn']","[27, 4375, 142, 4373]",0,"[0.8513399, 0.05373308, 0.0059764087]",0
a parts,a dt parts nns,"['a', 'dt', 'parts', 'nns']","[27, 4375, 41, 4376]",0,"[0.7132199, 0.009257376, 0.0020347834]",0
a pass,a dt pass nn,"['a', 'dt', 'pass', 'nn']","[27, 4375, 1082, 4373]",0,"[0.82444304, 0.034593582, 0.027176738]",0
a performed,a dt performed nn,"['a', 'dt', 'performed', 'nn']","[27, 4375, 115, 4373]",0,"[0.87984407, 0.19892386, 0.00068977475]",0
a period,a dt period nn,"['a', 'dt', 'period', 'nn']","[27, 4375, 1104, 4373]",0,"[0.85928047, 0.028603137, 0.024912208]",0
a pi,a dt pi nn,"['a', 'dt', 'pi', 'nn']","[27, 4375, 749, 4373]",0,"[0.88934743, 0.026296645, 0.020430952]",0
a piece,a dt piece nn,"['a', 'dt', 'piece', 'nn']","[27, 4375, 551, 4373]",0,"[0.90501666, 0.032796055, 0.013033211]",0
a pin,a dt pin nn,"['a', 'dt', 'pin', 'nn']","[27, 4375, 252, 4373]",0,"[0.93522453, 0.042642713, 0.0029958785]",0
a pinch,a dt pinch nn,"['a', 'dt', 'pinch', 'nn']","[27, 4375, 4030, 4373]",0,"[0.9715769, 0.006271839, 0.0023343265]",0
a pipe,a dt pipe nn,"['a', 'dt', 'pipe', 'nn']","[27, 4375, 460, 4373]",0,"[0.90629745, 0.028027534, 0.0147434175]",0
a piston,a dt piston nn,"['a', 'dt', 'piston', 'nn']","[27, 4375, 62, 4373]",0,"[0.89486027, 0.056608915, 0.0008780658]",0
a pitted,a dt pitted jj,"['a', 'dt', 'pitted', 'jj']","[27, 4375, 1811, 4378]",0,"[0.98172796, 0.004242152, 0.005001843]",0
a pm,a dt pm nn,"['a', 'dt', 'pm', 'nn']","[27, 4375, 65, 4373]",0,"[0.7035411, 0.628551, 0.00027284026]",0
a pneumatic,a dt pneumatic jj,"['a', 'dt', 'pneumatic', 'jj']","[27, 4375, 1760, 4378]",0,"[0.9933542, 0.001811862, 0.0013408363]",1
a po,a dt po nn,"['a', 'dt', 'po', 'nn']","[27, 4375, 926, 4373]",0,"[0.8355925, 0.030796736, 0.028216094]",0
a polished,a dt polished jj,"['a', 'dt', 'polished', 'jj']","[27, 4375, 3240, 4378]",0,"[0.9984076, 0.00039491057, 0.00026139617]",1
a power,a dt power nn,"['a', 'dt', 'power', 'nn']","[27, 4375, 163, 4373]",0,"[0.95413077, 0.033124655, 0.0021287203]",0
a pquip,a dt pquip nn,"['a', 'dt', 'pquip', 'nn']","[27, 4375, 561, 4373]",0,"[0.9119061, 0.029092193, 0.013166904]",0
a precaution,a dt precaution nn,"['a', 'dt', 'precaution', 'nn']","[27, 4375, 3826, 4373]",0,"[0.98007315, 0.004731208, 0.0015851557]",0
a pressure,a dt pressure nn,"['a', 'dt', 'pressure', 'nn']","[27, 4375, 21, 4373]",0,"[0.87917626, 0.32175732, 7.2425486e-05]",0
a preventative,a dt preventative nn,"['a', 'dt', 'preventative', 'nn']","[27, 4375, 3410, 4373]",0,"[0.9825388, 0.0040572286, 0.0013337433]",0
a problem,a dt problem nn,"['a', 'dt', 'problem', 'nn']","[27, 4375, 780, 4373]",0,"[0.8856685, 0.025875747, 0.02143547]",0
a prv,a dt prv nn,"['a', 'dt', 'prv', 'nn']","[27, 4375, 725, 4373]",0,"[0.8882074, 0.028906912, 0.018601239]",0
a psi,a dt psi nn,"['a', 'dt', 'psi', 'nn']","[27, 4375, 15, 4373]",0,"[0.9537259, 0.11520091, 5.5281253e-05]",0
a pulsation,a dt pulsation nn,"['a', 'dt', 'pulsation', 'nn']","[27, 4375, 130, 4373]",0,"[0.905573, 0.13623911, 0.0007876456]",0
a pump,a dt pump nn,"['a', 'dt', 'pump', 'nn']","[27, 4375, 3, 4373]",0,"[0.647497, 0.47276682, 0.00050985813]",0
a pumps,a dt pumps nns,"['a', 'dt', 'pumps', 'nns']","[27, 4375, 28, 4376]",0,"[0.99784505, 0.0025523603, 9.41079e-05]",1
a quote,a dt quote nn,"['a', 'dt', 'quote', 'nn']","[27, 4375, 767, 4373]",0,"[0.879737, 0.026892036, 0.022146016]",0
a rad,a dt rad nn,"['a', 'dt', 'rad', 'nn']","[27, 4375, 4214, 4373]",0,"[0.9890187, 0.0030225515, 0.0007483661]",0
a rebuilt,a dt rebuilt nn,"['a', 'dt', 'rebuilt', 'nn']","[27, 4375, 507, 4373]",0,"[0.9001614, 0.030234814, 0.015666127]",0
a recent,a dt recent jj,"['a', 'dt', 'recent', 'jj']","[27, 4375, 1130, 4378]",0,"[0.98028004, 0.004800737, 0.005985588]",0
a record,a dt record nn,"['a', 'dt', 'record', 'nn']","[27, 4375, 442, 4373]",0,"[0.9216313, 0.024282336, 0.013808817]",0
a redo,a dt redo nn,"['a', 'dt', 'redo', 'nn']","[27, 4375, 2405, 4373]",0,"[0.8995767, 0.017707705, 0.011348754]",0
a reduced,a dt reduced jj,"['a', 'dt', 'reduced', 'jj']","[27, 4375, 2373, 4378]",0,"[0.99552137, 0.001295507, 0.0007380545]",1
a remote,a dt remote jj,"['a', 'dt', 'remote', 'jj']","[27, 4375, 895, 4378]",0,"[0.9828217, 0.0043614805, 0.0052253604]",0
a remove,a dt remove nn,"['a', 'dt', 'remove', 'nn']","[27, 4375, 345, 4373]",0,"[0.91816205, 0.03565812, 0.009415239]",0
a removed,a dt removed vbd,"['a', 'dt', 'removed', 'vbd']","[27, 4375, 71, 4380]",1,"[0.03079471, 0.790779, 0.04367888]",0
a report,a dt report nn,"['a', 'dt', 'report', 'nn']","[27, 4375, 159, 4373]",0,"[0.9074278, 0.0890407, 0.0020354688]",0
a requisition,a dt requisition nn,"['a', 'dt', 'requisition', 'nn']","[27, 4375, 1726, 4373]",0,"[0.96789, 0.007399559, 0.00248909]",0
a reset,a dt reset nn,"['a', 'dt', 'reset', 'nn']","[27, 4375, 896, 4373]",0,"[0.8741388, 0.02639532, 0.022451162]",0
a rhythmic,a dt rhythmic jj,"['a', 'dt', 'rhythmic', 'jj']","[27, 4375, 3879, 4378]",0,"[0.99785733, 0.0005964935, 0.0003120005]",1
a rpm,a dt rpm nn,"['a', 'dt', 'rpm', 'nn']","[27, 4375, 569, 4373]",0,"[0.90493983, 0.027669698, 0.015750289]",0
a safe,a dt safe jj,"['a', 'dt', 'safe', 'jj']","[27, 4375, 3072, 4378]",0,"[0.99732125, 0.00073617697, 0.00039690733]",1
a sample,a dt sample nn,"['a', 'dt', 'sample', 'nn']","[27, 4375, 445, 4373]",0,"[0.9116764, 0.026766181, 0.014391005]",0
a seat,a dt seat nn,"['a', 'dt', 'seat', 'nn']","[27, 4375, 133, 4373]",0,"[0.8242146, 0.081970274, 0.002295047]",0
a separate,a dt separate jj,"['a', 'dt', 'separate', 'jj']","[27, 4375, 3808, 4378]",0,"[0.9975412, 0.0006633401, 0.00037690997]",1
a sepertate,a dt sepertate nn,"['a', 'dt', 'sepertate', 'nn']","[27, 4375, 3174, 4373]",0,"[0.97476673, 0.005867213, 0.002073139]",0
a service,a dt service nn,"['a', 'dt', 'service', 'nn']","[27, 4375, 66, 4373]",0,"[0.79925585, 0.37903064, 0.00030466914]",0
a set,a dt set nn,"['a', 'dt', 'set', 'nn']","[27, 4375, 278, 4373]",0,"[0.91433287, 0.06965163, 0.003168255]",0
a shaft,a dt shaft nn,"['a', 'dt', 'shaft', 'nn']","[27, 4375, 256, 4373]",0,"[0.9375113, 0.02416268, 0.006714046]",0
a show,a dt show nn,"['a', 'dt', 'show', 'nn']","[27, 4375, 430, 4373]",0,"[0.9222013, 0.029819876, 0.011629552]",0
a side,a dt side nn,"['a', 'dt', 'side', 'nn']","[27, 4375, 74, 4373]",0,"[0.95610887, 0.010192245, 0.0059969127]",0
a significant,a dt significant jj,"['a', 'dt', 'significant', 'jj']","[27, 4375, 1378, 4378]",0,"[0.9796555, 0.004730612, 0.005766034]",0
a slight,a dt slight nn,"['a', 'dt', 'slight', 'nn']","[27, 4375, 1112, 4373]",0,"[0.8380372, 0.033088356, 0.026516885]",0
a small,a dt small jj,"['a', 'dt', 'small', 'jj']","[27, 4375, 699, 4378]",0,"[0.98423547, 0.0038149357, 0.0048936903]",0
a spacer,a dt spacer nn,"['a', 'dt', 'spacer', 'nn']","[27, 4375, 1149, 4373]",0,"[0.8221458, 0.03136605, 0.029408962]",0
a spare,a dt spare nn,"['a', 'dt', 'spare', 'nn']","[27, 4375, 406, 4373]",0,"[0.91487795, 0.036195755, 0.00945434]",0
a square,a dt square nn,"['a', 'dt', 'square', 'nn']","[27, 4375, 1917, 4373]",0,"[0.8386438, 0.028108, 0.021337211]",0
a standstill,a dt standstill nn,"['a', 'dt', 'standstill', 'nn']","[27, 4375, 3251, 4373]",0,"[0.97956145, 0.004688859, 0.0016546249]",0
a start,a dt start nn,"['a', 'dt', 'start', 'nn']","[27, 4375, 413, 4373]",0,"[0.90841067, 0.0382151, 0.011316627]",0
a stbd,a dt stbd nn,"['a', 'dt', 'stbd', 'nn']","[27, 4375, 227, 4373]",0,"[0.9592315, 0.017371327, 0.003834188]",0
