,extracted_date,JOBNUM,JOB_DEC_INST_TEXT_COMB_x,AVA_score_pred_khat,AVA_score_pred_khat_bayes,AVA_score_pred_pmi,AVA_class_pred_khat,AVA_class_pred_khat_bayes,AVA_class_pred_pmi,AVA_score_pred_khat_with_negation,AVA_score_pred_khat_bayes_with_negation,AVA_score_pred_pmi_with_negation,AVA_class_pred_khat_with_negation,AVA_class_pred_khat_bayes_with_negation,AVA_class_pred_pmi_with_negation,pred_khat_ava_array_with_neg,pred_khat_bayes_ava_array_with_neg,pred_pmi_ava_array_with_neg,pred_khat_ava_array,pred_khat_bayes_ava_array,pred_pmi_ava_array,JobType,NOV Random Rig Code,SYSTEM,COMPONENT,JOB_DEC_INST_TEXT_COMB_y,Negation_Scope_Processed,Need Repair 3,Repaired as good as new 1,Working fine 2,Combined Labels,JobSchedDate,JobStartDate,JobClosedDate,DatePurchased,DeactivationDate,date_diff_extract_minus_start,number_of_positive,number_of_negative,number_of_neutral,combined_neu_pos_neg,sentence_lenght,AVA_class_pred_pmi_with_negation_numeric,AVA_class_pred_khat_bayes_with_negation_numeric,AVA_class_pred_khat_with_negation_numeric,AVA_class_pred_pmi_numeric,AVA_class_pred_khat_bayes_numeric,AVA_class_pred_khat_numeric
91,2017-04-05 13:44:00,2220014161348, #1 #2 #4 were replaced with WOM valves which has rupture disc. No leaks noted on any of the WOM valves. #3: Checked and no leaks were found. verified the air supply pressure was set at 110psi. No issues noted. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.4637, 1.4406, 1.5957]","[1.4604, 1.455, 1.5846]","[279.6183, -234.3679, -40.7504]",negative,negative,negative,"[1.4535, 1.4679, 1.5786]","[1.4513, 1.4782, 1.5705]","[279.6183, -234.3679, -40.7504]",positive,positive,negative,"[0.03822377278001035, -0.05471778110056017, 0.10238647526369755]","[0.042730588645500736, -0.05471778110049371, 0.08624716175274685]","[-361.8281479205012, 194.4083523538631, 109.90756708864846]","[0.01905313904962905, -0.05351473080041195, 0.13792266258698205]","[0.02561523395445885, -0.053514732291196195, 0.11564790569504654]","[-361.8281479205012, 194.4083523538631, 109.90756708864846]",Prevent Maint,8060,HPMS,PRV, #1 #2 #4 were replaced with WOM valves which has rupture disc. No leaks noted on any of the WOM valves. #3: Checked and no leaks were found. verified the air supply pressure was set at 110psi. No issues noted. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,no issues noted. no leaks noted on any of the wom valves    no leaks were found. ,,1.0,,1,4/1/2017 0:00,4/3/2017 18:39,4/5/2017 13:44,3/25/2013 0:00,,1 days 19:05:58,3,12,4,"[4, 3, 12]",131,3,1,1,3,3,3
93,2017-04-08 07:23:00,2220014161506," Parts Requested from ICS:----------. CHANGE DISC, RUPTURE SPECIFIED 6712 PSI AT 72 F. CHANGE DISC RUPTURE AT MUD PUMP #4.","[1.5409, 1.2956, 1.6635]","[1.5409, 1.3034, 1.6557]","[21.4909, -30.2362, 13.2452]",negative,negative,negative,"[1.5265, 1.1699, 1.8037]","[1.5265, 1.2548, 1.7187]","[21.4909, -30.2362, 13.2452]",negative,negative,negative,"[-0.05298400065491697, 0.0, 0.6073116157077755]","[-0.05298400065491695, 0.0, 0.43745860453897384]","[-39.01625692354083, 0.9655758468794939, 24.456043798302183]","[-0.08183170163581326, 0.0, 0.3269098389307064]","[-0.0818317016358132, 0.0, 0.31133695533606]","[-39.01625692354083, 0.9655758468794939, 24.456043798302183]",Corrective,8060,HPMS,PRV," Parts Requested from ICS:----------. CHANGE DISC, RUPTURE SPECIFIED 6712 PSI AT 72 F. CHANGE DISC RUPTURE AT MUD PUMP #4.",,1.0,,,3,4/8/2017 0:00,4/8/2017 7:22,4/10/2017 7:29,3/25/2013 0:00,,0 days 00:01:21,0,4,0,"[0, 0, 4]",17,3,3,3,3,3,3
95,2017-04-12 04:25:00,2220014161701, Equipment is out of Service Change out----------. Change out expansion joint on MP#1. Breakdown Job,"[1.5, 1.2912, 1.7088]","[1.5, 1.2912, 1.7088]","[-9.6966, -3.238, 17.4346]",negative,negative,positive,"[1.5, 1.2912, 1.7088]","[1.5, 1.2912, 1.7088]","[-9.6966, -3.238, 17.4346]",negative,negative,positive,"[0.0, 0.0, 0.41764030044029]","[0.0, 0.0, 0.4176403004400869]","[2.9335969464761815, -19.4595485316603, 12.409620691391494]","[0.0, 0.0, 0.41765091891604494]","[0.0, 0.0, 0.41765091892292655]","[2.9335969464761815, -19.4595485316603, 12.409620691391494]",Corrective,8060,HPMS,MP, Equipment is out of Service Change out----------. Change out expansion joint on MP#1. Breakdown Job,,1.0,,,3,4/12/2017 0:00,4/12/2017 0:00,4/12/2017 10:34,2/12/2009 0:00,,0 days 04:25:51,0,2,0,"[0, 0, 2]",14,1,3,3,1,3,3
96,2017-04-12 10:08:00,2220014161709," All modules checked for corrosion damage and cracks. Observed no movement or leaks while in use. All retainer and module bolts tight.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.6026, 1.5109, 1.3865]","[1.5716, 1.5152, 1.4132]","[201.9734, -94.9995, -102.4739]",neutral,neutral,neutral,"[1.6022, 1.4971, 1.4007]","[1.5727, 1.4972, 1.4301]","[201.9734, -94.9995, -102.4739]",neutral,neutral,neutral,"[-0.08694669673394992, 0.11741553274280225, -0.08112902362857165]","[-0.06388119662489268, 0.08156045046293615, -0.05825853949885806]","[-212.62534409364875, 188.32148572637007, -19.62636279041549]","[-0.09122178867711819, 0.11395984959101019, -0.11303689368867542]","[-0.060656582870389004, 0.08246674514819931, -0.09103397895859772]","[-212.62534409364875, 188.32148572637007, -19.62636279041549]",Prevent Maint,8060,HPMS,FEND," All modules checked for corrosion damage and cracks. Observed no movement or leaks while in use. All retainer and module bolts tight.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",observed no movement or leaks while in use. ,,,1.0,2,4/4/2017 0:00,4/12/2017 10:04,4/12/2017 10:08,7/4/2009 0:00,,0 days 00:04:55,0,8,5,"[5, 0, 8]",61,2,2,2,2,2,2
101,2017-04-26 09:27:00,2220014162154, To replace Rupture especified disc to popoff valves from 6510psi to 6913psi.----------. To replace Rupture especified disc to pop-off valves.. Breakdown Job,"[1.5, 1.3695, 1.6305]","[1.5, 1.3981, 1.6019]","[17.7388, -28.0923, 14.8535]",negative,negative,negative,"[1.5, 1.1008, 1.8992]","[1.5, 1.2368, 1.7632]","[17.7388, -28.0923, 14.8535]",negative,negative,negative,"[0.0, 0.0, 0.7984737282755984]","[0.0, 0.0, 0.5264550540800721]","[-36.98222961768898, -4.504580272842481, 22.202453920999208]","[0.0, 0.0, 0.2610318857853265]","[0.0, 0.0, 0.2037318560872361]","[-36.98222961768898, -4.504580272842481, 22.202453920999208]",Corrective,8060,HPMS,MP, To replace Rupture especified disc to popoff valves from 6510psi to 6913psi.----------. To replace Rupture especified disc to pop-off valves.. Breakdown Job,,1.0,,,3,4/26/2017 0:00,4/26/2017 0:00,5/8/2017 23:00,2/12/2009 0:00,,0 days 09:27:22,0,6,0,"[0, 0, 6]",21,3,3,3,3,3,3
103,2017-04-28 03:03:00,2220014162217, Mud pump 1 & 2 & 4 are fitted with the WOM valves Mud pump # 3 is fitted with the BX titan valve vislau checked carried out on the unit no leaks or damage found on the unit air presure found to be 110PSi on the system no air leaks on the system unit is working fine. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.4606, 1.4405, 1.5988]","[1.4548, 1.4648, 1.5804]","[279.0556, -216.2076, -58.348]",negative,positive,negative,"[1.4558, 1.4672, 1.577]","[1.4514, 1.4847, 1.564]","[279.0556, -216.2076, -58.348]",positive,positive,negative,"[0.03676069003972862, -0.05157082028970656, 0.10240622142009573]","[0.04571006979039253, -0.05157082028964377, 0.07638689285709951]","[-339.96322163101917, 215.1479968515869, 95.45191547149692]","[0.023865414278548033, -0.05484689885837021, 0.1427720113107968]","[0.03559950915538241, -0.05484692403357884, 0.10594260519920531]","[-339.96322163101917, 215.1479968515869, 95.45191547149692]",Prevent Maint,8060,HPMS,PRV, Mud pump 1 & 2 & 4 are fitted with the WOM valves Mud pump # 3 is fitted with the BX titan valve vislau checked carried out on the unit no leaks or damage found on the unit air presure found to be 110PSi on the system no air leaks on the system unit is working fine. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,the unit no leaks or damage found on the unit air presure found to_be psi on the system. ,,1.0,,1,4/29/2017 0:00,4/28/2017 3:01,4/28/2017 3:03,3/25/2013 0:00,,0 days 00:02:33,4,13,4,"[4, 4, 13]",139,3,1,1,3,1,3
104,2017-04-28 13:48:00,2220014162231," Task performed during liners change out checked condition of rods and PQuip clamps Inspected wear plate and checked bolts. Replaced liners and reinstalled. Placed MP in service.. SPM-S_MP_NOV(NATIONAL-OILWELL)-P-SERIES_360-DRILLING. 1. Make sure that all weep holes in the fluid cylinder and valve pots are open and not plugged. NOTE: If equipped with pony rod end clamps, the clamps MUST remain as a pair as both halves are machined as a set. 2. Visually examine pony rod ends and clamps for conditions listed below: - wear - damage - cracks 3. Make sure that the pony rod ends and clamps meet conditions listed below: - good surface contact - free from dirt - free from debris NOTE: Torque value for 14-P Mud Pump","[1.4696, 1.5237, 1.5067]","[1.4679, 1.5221, 1.5101]","[301.2696, -102.5994, -194.1701]",positive,positive,neutral,"[1.4662, 1.5289, 1.5048]","[1.465, 1.5272, 1.5078]","[301.2696, -102.5994, -194.1701]",positive,positive,neutral,"[0.034666237452587616, -0.03286909553436348, -0.023219125417081543]","[0.034666237452587775, -0.03531827715253605, -0.01970874355262215]","[-320.27614877484314, 279.2629640816337, -112.07730826282223]","[0.03505277702658525, -0.025732173067797976, -0.01224864199598884]","[0.03505277702658539, -0.029214481089263326, -0.009051371199368139]","[-320.27614877484314, 279.2629640816337, -112.07730826282223]",Prevent Maint,8060,HPMS,MP," Task performed during liners change out checked condition of rods and PQuip clamps Inspected wear plate and checked bolts. Replaced liners and reinstalled. Placed MP in service.. SPM-S_MP_NOV(NATIONAL-OILWELL)-P-SERIES_360-DRILLING. 1. Make sure that all weep holes in the fluid cylinder and valve pots are open and not plugged. NOTE: If equipped with pony rod end clamps, the clamps MUST remain as a pair as both halves are machined as a set. 2. Visually examine pony rod ends and clamps for conditions listed below: - wear - damage - cracks 3. Make sure that the pony rod ends and clamps meet conditions listed below: - good surface contact - free from dirt - free from debris NOTE: Torque value for 14-P Mud Pump",not plugged. ,,1.0,,1,4/18/2017 0:00,4/28/2017 13:41,4/29/2017 11:21,2/12/2009 0:00,,0 days 00:07:26,2,4,7,"[7, 2, 4]",126,2,1,1,2,1,1
106,2017-04-29 04:51:00,2220014162249, Arranged the PTW &EIC for the job got the tools & equipments prepared for the job as operations permitted got the pre charge carried out on the unit before starting the job pre charge pressure was 1100 psi we pre charged it 2000 psi completed the job installed the cap installed on the pulsation rig down all equipment & deisolated the unit ready for use. Mud pump # 1 To up Nitrogen in Discharge pulsation dampener. Mud pump # 1 To up Nitrogen in Discharge pulsation dampener as reported to be low,"[1.3356, 1.5457, 1.6187]","[1.3677, 1.5334, 1.5989]","[26.6993, 11.0803, -33.2795]",positive,positive,neutral,"[1.3346, 1.5404, 1.625]","[1.3669, 1.5268, 1.6063]","[26.6993, 11.0803, -33.2795]",positive,positive,neutral,"[0.1536733954742762, -0.17716239345112422, 0.07278074936571031]","[0.12221818693275523, -0.1440503390915945, 0.06863253129122818]","[-12.5683217149514, 37.83022120213894, -31.72886321200786]","[0.15161935635866938, -0.17716239345165108, 0.06022435041650896]","[0.12048207908712348, -0.14405033909203366, 0.053728702668364214]","[-12.5683217149514, 37.83022120213894, -31.72886321200786]",Corrective,8060,HPMS,MP, Arranged the PTW &EIC for the job got the tools & equipments prepared for the job as operations permitted got the pre charge carried out on the unit before starting the job pre charge pressure was 1100 psi we pre charged it 2000 psi completed the job installed the cap installed on the pulsation rig down all equipment & deisolated the unit ready for use. Mud pump # 1 To up Nitrogen in Discharge pulsation dampener. Mud pump # 1 To up Nitrogen in Discharge pulsation dampener as reported to be low,,,1.0,,1,4/29/2017 0:00,4/29/2017 4:45,4/29/2017 0:00,2/12/2009 0:00,,0 days 00:06:48,5,3,0,"[0, 5, 3]",83,2,1,1,2,1,1
107,2017-05-06 10:39:00,2220014162612," all the task steps been addressed and completed 1.checked all the AC drive motor .AC Motor meets conditions listed below: no dirt or debris around motor no cracks to motor housing 2. Listen to AC Motor for abnormal noises.no noise found during the operation 3. Felt AC Motor for abnormal vibrations.no abnormal vibration found 4. Recorded temperature readings of both Drive End (DE) and NonDrive End (NDE) bearings if accessible. 5. motor heater is operating correctly.pulling 0.5 amp 6. Visually examine motor blower vent and ducting for conditions listed below: NO damage NO dirt NO debris build up 7. Cleaned filters as required. 8. Made sure that all bolts are present on components listed below: Junction Box Covers Inspection Covers Motor Mounting 09. Visually examined all cables for conditions listed below: NO mechanical damage NO nicks NO cuts NO kinks cables are secured in gland 10. Visually examined glands for conditions listed below: NO mechanical damage NO corrosion NO thread damage 11. there is no damage to earth bonds. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo","[1.4942, 1.5485, 1.4573]","[1.4936, 1.5475, 1.4589]","[639.9891, -206.8447, -428.6443]",neutral,neutral,neutral,"[1.4915, 1.544, 1.4645]","[1.4915, 1.5367, 1.4718]","[639.9891, -206.8447, -428.6443]",neutral,neutral,neutral,"[0.011773046697986565, -0.0051364380010292, -0.07618162974133831]","[0.011773046697986489, -0.005136438000994373, -0.06152799032166336]","[-673.8453203086851, 603.1328237849609, -257.1558687748041]","[0.007041190750716516, -0.004505810674134843, -0.08992044757395401]","[0.008261049727785571, -0.004505811455589227, -0.08678682935160309]","[-673.8453203086851, 603.1328237849609, -257.1558687748041]",Prevent Maint,8060,HPMS,MTR," all the task steps been addressed and completed 1.checked all the AC drive motor .AC Motor meets conditions listed below: no dirt or debris around motor no cracks to motor housing 2. Listen to AC Motor for abnormal noises.no noise found during the operation 3. Felt AC Motor for abnormal vibrations.no abnormal vibration found 4. Recorded temperature readings of both Drive End (DE) and NonDrive End (NDE) bearings if accessible. 5. motor heater is operating correctly.pulling 0.5 amp 6. Visually examine motor blower vent and ducting for conditions listed below: NO damage NO dirt NO debris build up 7. Cleaned filters as required. 8. Made sure that all bolts are present on components listed below: Junction Box Covers Inspection Covers Motor Mounting 09. Visually examined all cables for conditions listed below: NO mechanical damage NO nicks NO cuts NO kinks cables are secured in gland 10. Visually examined glands for conditions listed below: NO mechanical damage NO corrosion NO thread damage 11. there is no damage to earth bonds. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo",around motor no cracks to motor housing nameplate is. no mechanical damage no nicks no_cuts no_kinks cables are_secured in gland         no mechanical damage no_corrosion. no abnormal vibration found. around motor no cracks to motor housing. ,,,1.0,2,4/22/2017 0:00,5/6/2017 10:29,5/6/2017 10:39,4/11/2018 0:00,,0 days 00:10:01,1,17,21,"[21, 1, 17]",250,2,2,2,2,2,2
108,2017-05-06 22:11:00,2220014162659, Parts Requested from ICS:. Change out broken drive coupling on Liner Wash Pump. Breakdown Job,"[1.5173, 1.2877, 1.695]","[1.5173, 1.2877, 1.695]","[4.3519, -6.0884, 6.2365]",negative,negative,negative,"[1.505, 1.2025, 1.7925]","[1.505, 1.2025, 1.7925]","[4.3519, -6.0884, 6.2365]",negative,negative,negative,"[-0.010061077833605825, 0.0, 0.5849624604881343]","[-0.010061077833605818, 0.0, 0.5849624604877741]","[-12.06339653374927, -6.359589374300728, 3.1134513751316604]","[-0.03453475839684348, 0.0, 0.38999191743046907]","[-0.03453475839684343, 0.0, 0.3899919174508297]","[-12.06339653374927, -6.359589374300728, 3.1134513751316604]",Corrective,8060,HPMS,MP, Parts Requested from ICS:. Change out broken drive coupling on Liner Wash Pump. Breakdown Job,,1.0,,,3,5/6/2017 0:00,5/6/2017 0:00,5/7/2017 16:40,2/12/2009 0:00,,0 days 22:11:15,0,3,0,"[0, 0, 3]",15,3,3,3,3,3,3
111,2017-05-07 11:29:00,2220014162682, Unit brought from the mud pump room to mechanic workshop started the disassembly of the unit working on cleaning the parts. Mud pump # 1 BX titan valve overahaul. Overhaul BX titan Valve which was removed from Mud pump # 3 install the overahuled valve on mud pump # 1 & carry out the test,"[1.4469, 1.47, 1.5831]","[1.439, 1.502, 1.559]","[48.4669, -43.6442, -0.3227]",positive,positive,negative,"[1.4419, 1.4961, 1.562]","[1.4353, 1.5187, 1.546]","[48.4669, -43.6442, -0.3227]",positive,positive,negative,"[0.057334559175376255, -0.05877123710904682, 0.0651393800327487]","[0.07071397675403485, -0.05877123710904666, 0.033243984464355135]","[-77.22694412201926, 16.706843392194806, 13.061518999658816]","[0.04745486973278639, -0.05877123714760584, 0.10738937014384453]","[0.06331281381845616, -0.058771237147607146, 0.0593011955751407]","[-77.22694412201926, 16.706843392194806, 13.061518999658816]",Corrective,8060,HPMS,MP, Unit brought from the mud pump room to mechanic workshop started the disassembly of the unit working on cleaning the parts. Mud pump # 1 BX titan valve overahaul. Overhaul BX titan Valve which was removed from Mud pump # 3 install the overahuled valve on mud pump # 1 & carry out the test,,1.0,,,3,6/30/2017 0:00,5/7/2017 11:26,6/13/2017 18:42,2/12/2009 0:00,,0 days 00:03:16,2,4,1,"[1, 2, 4]",50,3,1,1,3,1,1
115,2017-05-14 05:22:00,2220014162932," Equipment is out of Service Conducting change out of swabs.----------. Change out pistion cup on Mud pump # 4. Change out swab due to failure during drilling 12 1/4"" hole on mud pump # 4 center and Port coffer dam.","[1.5282, 1.3575, 1.6143]","[1.5256, 1.3688, 1.6056]","[11.3232, -25.7212, 18.898]",negative,negative,negative,"[1.5242, 1.3256, 1.6501]","[1.522, 1.3334, 1.6446]","[11.3232, -25.7212, 18.898]",negative,negative,negative,"[-0.04849544282389918, 0.0, 0.3002551139899402]","[-0.04406830817811567, 0.0, 0.28917096864422814]","[-29.332712351717582, -9.686312738258026, 25.109618222351585]","[-0.05645319911125854, 0.0, 0.22851325371512934]","[-0.051176543933805184, 0.0, 0.21112658486729324]","[-29.332712351717582, -9.686312738258026, 25.109618222351585]",Corrective,8060,HPMS,FEND," Equipment is out of Service Conducting change out of swabs.----------. Change out pistion cup on Mud pump # 4. Change out swab due to failure during drilling 12 1/4"" hole on mud pump # 4 center and Port coffer dam.",,1.0,,,3,5/14/2017 0:00,5/14/2017 4:53,5/14/2017 19:30,7/4/2009 0:00,,0 days 00:29:17,0,5,0,"[0, 0, 5]",31,3,3,3,3,3,3
131,2017-06-11 20:17:00,2220014164129," Checkde fluid end without corrosion or leaks. Checked suction and discharge manifolds without several corrosion cracks washouts or damage. Checked discharge and suction modules for any movement. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.5967, 1.5111, 1.3921]","[1.5719, 1.5048, 1.4233]","[221.8401, -98.5959, -118.7442]",neutral,neutral,neutral,"[1.5892, 1.4996, 1.4112]","[1.5679, 1.4899, 1.4422]","[221.8401, -98.5959, -118.7442]",neutral,neutral,neutral,"[-0.05400617653408112, 0.12430128193135319, -0.05329152258194449]","[-0.04764314682847754, 0.08812780393776293, -0.02749099902626608]","[-221.72205539904542, 218.95809759302472, -21.530253033619815]","[-0.06441930669999561, 0.12901252933402926, -0.08669818425647792]","[-0.04892024502252469, 0.09481068200011569, -0.05861797880099817]","[-221.72205539904542, 218.95809759302472, -21.530253033619815]",Prevent Maint,8060,HPMS,FEND," Checkde fluid end without corrosion or leaks. Checked suction and discharge manifolds without several corrosion cracks washouts or damage. Checked discharge and suction modules for any movement. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",without corrosion or leaks       without several corrosion cracks washouts or damage. ,,,1.0,2,6/13/2017 0:00,6/11/2017 20:08,6/11/2017 20:17,7/4/2009 0:00,,0 days 00:09:49,0,7,6,"[6, 0, 7]",69,2,2,2,2,2,2
134,2017-06-16 15:27:00,2220014164416," Derrickman heard noise on mud pump #3. Isolated mud pump 3 removed fluid end caps and checked for washed areas on mud pump No issues found Replaced all 6 valve springs on suction and discharge all 3 cylinders and one cap seal gasket on suction cylinder #2.. Change gasket and spring mud pump 3. Derrickman heard noise on mud pump #3. Isolated mud pump 3 removed fluid end caps and checked for washed areas on mud pump, No issues found, Replaced all 6 valve springs on suction and discharge all 3 cylinders and one cap seal gasket on suction cylinder #2.","[1.4469, 1.4959, 1.5572]","[1.476, 1.4983, 1.5257]","[134.2277, -48.9682, -80.7595]",positive,positive,neutral,"[1.4391, 1.5151, 1.5458]","[1.4708, 1.5085, 1.5207]","[134.2277, -48.9682, -80.7595]",positive,positive,neutral,"[0.07213126487551981, -0.04965314569853688, 0.04189450576609551]","[0.034833866455847434, -0.023579110105999224, 0.017791115214535157]","[-135.28452878526383, 130.170849751296, -34.348093844740774]","[0.06251748272369888, -0.04369654822663049, 0.07079273295441123]","[0.02890937165732925, -0.019068430122864993, 0.03228586535435378]","[-135.28452878526383, 130.170849751296, -34.348093844740774]",Corrective,8060,HPMS,MP," Derrickman heard noise on mud pump #3. Isolated mud pump 3 removed fluid end caps and checked for washed areas on mud pump No issues found Replaced all 6 valve springs on suction and discharge all 3 cylinders and one cap seal gasket on suction cylinder #2.. Change gasket and spring mud pump 3. Derrickman heard noise on mud pump #3. Isolated mud pump 3 removed fluid end caps and checked for washed areas on mud pump, No issues found, Replaced all 6 valve springs on suction and discharge all 3 cylinders and one cap seal gasket on suction cylinder #2.",,,1.0,,1,6/16/2017 0:00,6/16/2017 15:16,6/19/2017 14:05,2/12/2009 0:00,,0 days 00:11:25,4,12,6,"[6, 4, 12]",90,2,1,1,2,1,1
137,2017-06-17 13:32:00,2220014164454, Visually inspected the BX titan valves for general condition. Inspected the exterior of valve for mud leakage. Found ok. Checked the pneumatic supply pressure setted to 115 psi. Checked the air hose connections and the pneumatic line connection for tightness and leaks. Found ok.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.5205, 1.4368, 1.5427]","[1.5124, 1.448, 1.5396]","[292.737, -216.9512, -71.2858]",negative,negative,negative,"[1.513, 1.4531, 1.5338]","[1.507, 1.4598, 1.5333]","[292.737, -216.9512, -71.2858]",negative,negative,negative,"[-0.025507249915409782, 0.0005854640298595073, 0.06823481193693423]","[-0.016762662089040134, -0.0027949080827880586, 0.06372988070469907]","[-350.7034445817991, 231.77064862411913, 86.19898428181409]","[-0.03218682541739937, 0.008839248852611925, 0.0942101299241833]","[-0.0215729200415018, 0.003219311038047186, 0.08242643207796267]","[-350.7034445817991, 231.77064862411913, 86.19898428181409]",Prevent Maint,8060,HPMS,PRV, Visually inspected the BX titan valves for general condition. Inspected the exterior of valve for mud leakage. Found ok. Checked the pneumatic supply pressure setted to 115 psi. Checked the air hose connections and the pneumatic line connection for tightness and leaks. Found ok.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,,,,1.0,2,6/17/2017 0:00,6/17/2017 13:25,6/17/2017 13:32,3/25/2013 0:00,,0 days 00:07:59,1,11,8,"[8, 1, 11]",138,3,3,3,3,3,3
