,combined_text_column,Failure Mechanism_JS,Failure_Mechanism_JS_MAP,Failure_Mechanism_JS_MAP_categorical,Exact_Match_Result_label,Exact_Match_Result_categorical,Unit_Based_FM_Result_label,Unit_Based_FM_categorical,Winner_algorithm_1,Winner_algorithm_2,Winner_algorithm_3,ECOC_MAX_predicted_FM_prevelance_labels_after_multiple_ncols_15,ECOC_MAX_predicted_FM_prev_norm_scrs_ncols_15,Gold_Standard_FM_replaced
71,"filter oil off-line to remove water and contamination as per oil sample reports allow the water to settle out to the bottom of the sump and use a pump and suction wand to remove a 20 liters of oil from the bottom of thew sump. filter the oil off-line to remove water and contamination, remove oil trough end covers to drain collected water, Failure caused by wear and tear resulting from normal operation of the equipment unit  1. The portable filtration unit was used however as its designed for hydraulic oil it kept tripping the motor. 2. We found the source of the water ingress to be coming from the stroke counter wires which run through a gland located on top of the crosshead chamber. (See RMS Job# 171767). 3. New wiper seals have been requested on RMS Job# 171816.",Hydraulic,Hydraulic_Failure,3.0,Hydraulic_Failure,3,Mechanical_Failure,1,Hydraulic_failure,Mechanical_failure,Mechanical_failure,multiples,Hydraulic_failure,Hydraulic_failure
61,"Replace MP3 pulsation dampener diaphram Replace MP3 pulsation dampener diaphram Topp off nitrogen to 2000psi Several causes are acting simultaneously. If one cause is predominant, this cause should be highlighted.  Parts Requested from ICS:----------, Mud Pump 3: Remove the Air operated hoist on the trolley and install a manual hoist for the task. Gather all tools and equipment as needed. Create a new RRP and WRA for replacing the bladder. Isolated the mud pump and the fluid end valves. Removed the fill valve and gauge. Removed the top cover and found that the hex bolt that secures the stabilizer to the diaphragm had back out. The stabilizer was found to be split and in poor condition. Rigged up lifting eye and removed the diaphragm. Clean the flange and cavity and fit the new diaphragm. Reinstall the cover fill valve and gauges. Rig up and fill with 2000psi nitrogen pre charge.",Material,Material_Failure,2.0,Hydraulic_Failure,3,Material_Failure,2,Hydraulic_failure,Material_failure,Material_failure,multiples,Material_failure,Material_failure
1,"While drilling the derrick hand discovered and unusual smell in the pump room. Investigation uncovered that oil was observed through transparent cover. The mud pump was stopped for repair. Leaking seal between chain case and motor. - Keep spare motor on board. - Level II investigation initiated to: a) Establish cause of motor seal failure. b) Why no spare motor or hub puller on board. c) What could have been done differently to reduce NPT. The motor was opened and the oil was cleaned out from the motor. The commutator was dressed and new brushes was installed. The insulation in the motor was measured and found ok. Filters in the cooling box was renewed. Attempts to loosen Hub from tapered shaft failed, as tools/fittings rated for required pressure not found. Applied 700bar, procedure recommend 1500 bar. While this was ongoing, the boat with new motor arrived. Decision then made to renew the motor instead of change the seal on contaminated motor.",1.1 - Mechanical - Leakage,Mechanical_Failure,1.0,Mechanical_Failure,1,Mechanical_Failure,1,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure
24,Observed leak on piston number #1 on MP #2. Also observed noise from piston #2. Worn piston / washout. Evaluate to change piston on a more frequent hrs. Decided to replace both pistons. Isolated MP and changed piston on cylinder 1 & 2 on MP #2,2.3 - Material - Wear,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
37,"Whilst displacing the well from sea water to 1.60sg oil base mud, a sudden loss in stand pipe pressure was observed (max circulation pressure at the time was 1750psi) Driller immediately shut down all mud pumps. The Derrickman confirmed that the discharge dampener on Mud pump #3 had broke off it's mounting and was wedged in the ducting/pipework above the pump. Note: No personnel were in the pump-room area at the time. Equipment Failure - Further details to follow once investigations are carried out. Investigation ongoing. Recovery plan in place. Cleaning mud pump room, removing OBM. Ongoing with securing pulsation dampener, investigating failure and replacement pulsation assemblies mobilised.",2.4 - Material - Breakage,Material_Failure,2.0,Mechanical_Failure,1,Material_Failure,2,Mechanical_failure,Material_failure,Mechanical_failure,multiples,Mechanical_failure,Material_failure
23,Lost 20 bar pump pressure after pumping a high visc pill. A plastc pice was caught between the seat and valve on suction side on cyl #3. Inspected all suction filters on supercharge pumps. Latest action : All 3 strainers for supercharge pumps are modified. Extended top of filters by 2 cm to minimize the opening between the top cover and filter. Opened and inspected all cylinders on MP #2. Removed a plastic pice from suction valve on cyl #3.,5.1 - Hyd/Pnuem - Blockage/plugged ,Hydraulic_Failure,3.0,Hydraulic_Failure,3,Material_Failure,2,Hydraulic_failure,Material_failure,Material_failure,Hydraulic_failure,Hydraulic_failure,Hydraulic_failure
83,"Change out faulty L.O pump pressure gauge Change out faulty L.O Pump Pressure Gauge Equipment did not perform as intended per designed specification and not due to lack of maintenance  Parts Requested from ICS:----------, Found mud pump no# 3 lube oil leak from pressure gauge same changed with new one.",Mechanical,Mechanical_Failure,1.0,Control_System_Failure,5,Mechanical_Failure,1,Control_system,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure
51,"Clean suctions strainers prior to drilling 9-7/8"" x 11"" hole section. When the pumps were bought online #2 mud pump #2 suction cap leaked. Pumps were stop and mud pumps reconfigured. Upon investigation it was found that the cap gasket was left out during reassembling. Coaching and better oversight and verification by Derrickman to confrm.. Pump was re-isolated and gasket was installed.",1.1 - Mechanical - Leakage,Mechanical_Failure,1.0,Mechanical_Failure,1,Mechanical_Failure,1,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure
89,"Pump Parts for China PUMP PARTS REQUIRED FOR CHINA CONTRACT- PARTS SHORTAGE ICN 10004745 PACKING O-RING Part Number 2410031-438 QTY 12 ICN 10004688 SEAL, SUCTION MANIFOLD Part Number 1540021 QTY 6 ICN 10000018 DISCHARGE ADAPTER Part Number 8382-2 QTY 4 ICN 10004746 SEAL DISCHARGE, CONNECTOR PACKING , Part Number 2410031-440 QTY 12 P Normal expected wear and tear from operating equipment as designed  ** Non Issued Parts Auto Cancelled QTY REQUESTED: 8 QTY ISSUED: 0 DESC: ADAPTER DISCHARGE QTY REQUESTED: 12 QTY ISSUED: 0 DESC: SEAL SUCTION MANIFOLD QTY REQUESTED: 24 QTY ISSUED: 0 DESC: packing oring QTY REQUESTED: 24 QTY ISSUED: 0 DESC: PACKING ORING----------, OMC Please Note the order qty are above and over what we have on hand in warehouse. Thanks----------, Parts Requested from ICS:----------Nibu K , requisition#0096020996",Material,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
74,"OOS 2018 Dietswell Punchlist Item No14 OOS 2018 Integrated Punchlist Item 14 Repair or Replace the leaking Lube Oil Pump on No4 Mud Pump Normal expected wear and tear from operating equipment as designed  Parts Requested from ICS:----------, Parts Requested from ICS:----------, When testing the L.O. Pump the Discharge Pressure Gauge was found to be faulty so changed same and tested all O/K.----------, ** Non Issued Parts Auto Cancelled QTY REQUESTED: 2 QTY ISSUED: 0 DESC: PUMP ROTARY GEAR FOOT MOUNT NO.2 WITH R----------, Repairs carried out by Alen Lopes & Joytesh Shah. ' 1. Isolated Mud Pump & verified isolation. 2. Removed L.O Pump coupling guard and pump from skid. 3. Cleaned up all pipework and pump base. 4. Installed new pump and pipework. 5. The 12 hrs recorded under Andrew Christie are for Alen & Joytesh's time as they do not have RMS log in details. 6. Pump can not be function tested as the electrical motor failed the inspection and requires to be changed out. (Electrical Dept aware and plan to change out A.S.A.P).----------, 1. Job has been completed and tested.",Mechanical,Mechanical_Failure,1.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Mechanical_failure,multiples,Mechanical_failure,Mechanical_failure
88,"Mudpump #1 - Pulsation dampener pressure high pumpman reported pressure on pulsation dampener is high i.e, 3400 psi instead of 1500 psi preset. troubleshoot / investigate. Normal expected wear and tear from operating equipment as designed  Job carried out with RMS# 2230014175563----------, Pumpman Reported Mud pump #1 pulsation dampener pressure shows 3400 psi. Ensured discharge is bleed off and checked the pressure from the filling valve and shows the same 3400 psi.",Material,Material_Failure,2.0,Material_Failure,2,Mechanical_Failure,1,Material_failure,Material_failure,Material_failure,Hydraulic_failure,Hydraulic_failure,Material_failure
90,"Charge pump for Mud pump # 4- Mechanical seal leacking, Charge pump for Mud pump # 4- Mechanical seal leacking Normal expected wear and tear from operating equipment as designed  Isolation carried out started dismantling Dismantle pump and cleaned all bolts parts etc.. Replaced stuffing box/wear plate with new due to worn condition Replaced wear sleeve and installed new mechanical seal Impeller in good condition and installed same one back Adjusted gap between impeller and stuffing box to 0.020 as recommended Assembled complete pump and installed back suction and discharge flexible joint Replaced 6 discharge flex joint due to bad condition De isolated fluid end of pump and el.motor Packings will be installed after testing Pump cannot be test operated at this moment due to current drilling operations----------, Charge pump for Mud pump # 4 Mechanical seal leacking Folowing parts required Mechanikal seal ICN 10004061 D09/2 each/$222 Sleeve ICN 10000698D09/ 2 each/$178 Gasket ICN 10004091D09A/1 each/",Material,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
77,"Replace rupture disk on MP#4 Change disk on MP#4 WOM valve. The equipment was operated beyond capacity of the Equipment Technical Specifications.  Parts Requested from ICS:----------, Installed new disk on MP4.",Material,Material_Failure,2.0,Electrical_Failure,4,Material_Failure,2,Electrical_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
9,"Electronic relief valve on mud pump no 3 was activated during a connection. There was no indication that to high pressure was the cause. Not able to reset the relief valve. Damage pressure transmiter caused the BX Titan valve to open. When this condition happens the BX Titan valve is programmed to go into fail safe mode and fail safe is open valve; fail safe open. Failed Pressure transmitter is send onshore to NOV/Vendor for analyses. MSN nr 1032000054 and NOV ticket 808994. Review maintenance history in RMS for POP OFF on mud pump 1-2-3 from installation in 2016 and until now and see if the maintenance is correct or if modification is needed. Lesson Learned AAR is to be informed to Drill Crew and Technical Crew so if this fault happened again we are reducing the off line time for this equipment Attempting to reset pop off several times. The alarms ""Discharge pressure signal fault"" and ""Titan BX valve tripped"" could be read on the contoller box. Trouble shooting in both the BX Controller box/cabinet and the pressure transmitter to try to pin point the problem. At the same time the mechanich was looking into solutions to use the air from the manifold box controlling the pop off nr 2, to keep the pop off open with that signal. Electrician was able to measeure the signal from the pressure transmitter and found out this was not working. Replaced pressure transmiter on MP #3 and the pop off valve closed.",3.3 Control System - Calibration Error,Control_System_Failure,5.0,Control_System_Failure,5,Mechanical_Failure,1,Control_system,Mechanical_failure,Material_failure,Control_system,Control_system,Control_system
