DocNO,id,SENTIMENT,SENTENCES
2.47E+17,7532872,positive,Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://t.co/LT9WUkOD
2.63E+17,601803511,neutral,@HotspurRelated im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther
2.64E+17,388974334,positive,PUMPED to open the season tomorrow night against Georgetown!  Women's Preview: http://t.co/1k3PAK3C | Men's Preview: http://t.co/n5oFat9V
2.64E+17,32215290,negative,Just found a piece of candy that may have been injected with something. #Why
2.64E+17,22100843,neutral,"Somehow I managed to ""lose"" my princess leia bra on Saturday. I'm going to Noel Gallagher as ""Glock at Phish"" ie jorts&amp;tank. @custymcnoob"
2.64E+17,27133567,neutral,"@docbungle I may relent and get one myself, but I hope it doesn't come to that. Hopefully all the decent apps will get ported to android"
2.64E+17,316127177,neutral,"Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://t.co/yl8QQP0R"
2.63E+17,31121565,positive,"SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://t.co/c9PmolGw"
2.64E+17,213263464,neutral,"@juliecrawley25. @GininjaDesign. @Donna_Butlin. Nope, it's just Camden, eating Greek food with a pumpkin... Just another Wednesday."
2.57E+17,531994655,positive,Omg. Ricky Martin may be gay but he is one fine ass gay man.
2.64E+17,260882576,positive,@lenakoncha the Clippers are playing the Cavaliers on Monday and are having a night to honor Israel! :) wish you were in LA STILL.
2.61E+17,391892475,negative,"Noel Gallagher: ""Musicians are fucking idiots."" - Yeah, Brian May - he's an idiot... an idiot who just so happens to be a professor?"
2.64E+17,446301191,positive,"@HOPE_forHippies Hell yea lmfaoo , &amp; see you tomorrow Asia baby (;"
2.64E+17,850357831,neutral,@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!
2.64E+17,609103932,neutral,"Its November already.. Christmas will be here soon, then New Year, then Valentine's day then GRADUATION?!?!"
2.64E+17,229497776,positive,#NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July 16. http://t.co/vxRYuADn L.O.V.E it! #MjTunes
2.64E+17,428841738,negative,Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot
2.41E+17,533752023,positive,"@RediTlhabi @StevenB7777 OCTOBER  people have principles..&amp; argue passionately for them, about them &amp; ACT on them.  Ghandi, Sadat, ADT, me!"
2.46E+17,206354030,positive,"I'm in the bathroom bumping ""Niggas In Paris"" Crunk ass hell like it's my 1st time hearing it this song will never get old lol"
2.59E+17,64351004,positive,"Welcome Nick J! :"") ""@nickjonas""  In Manila! So excited for the show on Friday."
2.61E+17,244570235,positive,"4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM!  #6YearsTaylorSwift"
2.47E+17,260477688,positive,It's midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! &lt;333
2.52E+17,610495100,negative,Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company's error-ridden new mobile map...
2.62E+17,79601816,neutral,Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://t.co/AErfHHuK #nba #playersnews
2.59E+17,25393624,neutral,"When I teach a basketball in my own school, we're gonna spend the 1st day watching Larry Bird videos, &amp; the rest will take care of itself."
2.64E+17,41680302,positive,We are here @NBCofChicago for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr
2.52E+17,268248070,positive,Love how I skipped every category of the NTA's besides the soaps. Couldn't give half a fuck if everything else went off the air tomorrow.
2.64E+17,302256936,negative,@starky88 @nfl_uk Was in on sat and they only had the Ray Lewis home jersey.  They didn't have a lot either.
2.48E+17,19885888,neutral,@MarkUkLeaf I just had a look and it seems Nash to Davos is a done deal along with Joe Thornton. I may have to pay a visit...
2.54E+17,412603173,positive,My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear
2.62E+17,185101254,positive,"@ariaclemente Wow! you're also a percy jackson fan! :-) The 4th book of Heroes of Olympus will be entitled ""House of Hades"" @camphalfblood"
2.64E+17,331180650,negative,Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA
2.63E+17,45671664,negative,@chrischris__  The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend
2.26E+17,141284401,negative,"OBVIOUSLY, i am not a fan of Dream High 2 and i haven't even watched it! well, i watched the 1st ep,that's where i heard that song!^^"
2.59E+17,37007849,positive,"Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr"
2.64E+17,323297690,positive,Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I've seen tonight.
2.58E+17,413586409,positive,The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a unique two-tone dress by @shopbop! http://t.co/1RYso3ZZ
2.64E+17,16380085,neutral,HT: Norwich 0-0 #Spurs. We've edged the 1st half without creating any clear cut chances. Bale's had a couple of decent long range efforts.
2.64E+17,26639468,positive,"Guys, the Marijuana law in Colorado, Oregon, and Washington can pass this Tuesday. #HighHopes"
2.55E+17,59459031,positive,Breezin' won the Best Pop Instrumental Performance at the 19th Grammy Awards
2.64E+17,163101429,negative,Not wearing make up to Dublin tomorrow until I'm getting ready for the party. Help.
2.64E+17,341470410,neutral,Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV &amp; online: http://t.co/F0Kb0gqD
2.64E+17,396953010,neutral,It seem like Austin Rivers is tryin to had to get a bucket. I feel em tho my 1st game in the league I was trying hard too
2.04E+17,160648260,neutral,Cofield draws leadoff walk in top 4th. Zaharion at the plate.
2.64E+17,22111480,positive,@MehDusta I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joe's :))
2.62E+17,20096243,positive,"Text from my dad: ""you like Charles Dickens"" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!"
2.64E+17,17781471,negative,Upset alert in ACC men's soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.
2.63E+17,28844188,negative,really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick
2.59E+17,25483231,neutral,"I may have missed out seeing Noel Fielding and Rich Fulcher today, but I did just see Tom Tilley! #samsimmons"
2.59E+17,134881721,positive,Looper was amazing!!! Now to the theatre to see Simon Callow's 'The Mystery of Charles Dickens' ...loving my Wednesday off work :-)
2.64E+17,812898906,positive,"Wish Maddie luck next saturday, she has a solo audition for Britain's Got Talent! :) ~ Ellie xxxxx"
2.41E+17,39010302,neutral,% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny
2.56E+17,580515576,negative,@MeganWitmer that's crazy. I'm more jealous of u going to Joe Pa's grave! I was sad Saturday when I walked past where the statue should be:(
2.63E+17,27020138,positive,"Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://t.co/2u46BvQ6 #fb"
2.60E+17,278137824,neutral,@FruitPunchToday lol that was our only year we may have had a chance at the Superbowl. Now we must wait until Nick Foley
2.23E+17,305277813,positive,Happy Valentine's Day!!! @MAziing: Everyday is the 14th!
2.64E+17,38615758,positive,Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious
2.61E+17,32704887,neutral,Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird
2.64E+17,355051509,negative,This Sunday New York Giants are going down. #Steelers
2.46E+17,34014706,negative,"As an introduction to Literature we wrote about The Woman In Black, not something I particulalry want to read, may just cry #ShitMyself"
2.29E+17,501134907,positive,"Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD"
2.61E+17,361434318,neutral,Don't forget Mitch Daniels is going to be on Steven Colbert's show Thursday.  Think this will come up as a topic?
2.64E+17,62680567,neutral,@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.
2.62E+17,14989779,neutral,"Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra, Scorpio, Sag, Cap, Aqua or Pisces http://t.co/HNgb7Qn3"
2.57E+17,199690203,neutral,"Drew Peterson may be convicted, but there is still conflict going on http://t.co/lmqKV7XZ #whenwillitend #localnews #chicago"
2.64E+17,28896087,neutral,@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.
2.64E+17,389925947,negative,"With all Benson's attention, Frankie feels like a forgotten stepchild. Lets 'founding father' him so he know we will never forget 2nd place."
2.63E+17,724506216,negative,"Police, protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://t.co/xewokaIE"
2.64E+17,377060725,positive,I will be participating in a Google+ Hangout with @TheEconomist tomorrow!  I'm SUPER excited! Check it out: https://t.co/jvmZcqBa
2.64E+17,337308259,negative,@buckbelue8 why do you think Murray may leave? No way a team drafts him before the 5th or 6th round!
2.64E+17,521532492,positive,"Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it's against my boys, LETS GO SPURS! #Spurs #NBA"
2.61E+17,242895807,positive,@TeamStradley mines personal thinking Tebow is better then Flacco. I don't care how bad he played Sunday
2.64E+17,155762352,positive,@OilOnWhyte @albertaoilfire another center? Gagner is a good cheap 2nd line option that we can afford and keep the kids.
2.64E+17,131042222,negative,@politicalwire I'm still shaking my head at that decision and that the Heat &amp; Knick are actually playing tomorrow at MSG.
2.64E+17,463661547,negative,"the glass may be rising, but it's not getting any warmer here, Lago del Desierto, Argentina http://t.co/Hp4S2M5G"
2.64E+17,58297064,positive,Wish I could make that trip to Athens on Tuesday @iCaptainMorgan
2.63E+17,610467658,neutral,"Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea..."
2.56E+17,124869414,positive,"Fabio Capello: ""From what I've seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow"". #cantwait"
2.64E+17,17436164,neutral,@bbberb not necessarily. In Nevada it may help Obama because its one less vote for Romney. But I know what you mean hah.
2.64E+17,297382357,negative,"Parker, Leonard steal OKC's thunder: Ninety minutes before tipoff Thursday night at the AT&amp;T Center, Oklahoma Ci... http://t.co/NNjbPSWk"
2.63E+17,236100068,positive,After watching the campaign again I have realized that Step Brothers is still the funniest Will Ferrell movie but this one is in 2nd place
2.64E+17,535941624,neutral,"@_Sherwood12 he's on the plane to Amsterdam now, bet he's not in class tomorrow"
2.64E+17,494035942,positive,@_bethanygarland I really wanna go to one of his things! Did you watch his new thing on channel 4 last Friday? xx
2.64E+17,214139359,negative,I -may- be the only girl on the face of the earth that DOESN'T find Channing Tatum attractive. #callmecrazy #justsayin #donthateme
2.60E+17,28207562,neutral,"Cold pizza and Mass Effect 3. I want my leg healed!! Going to look up some voodoo shit. I'll be walking, jumping and running tomorrow."
2.62E+17,25181326,positive,"Remember Cupid at Convo last year with the bomb candy bar?? If you liked that, you'll LOVE next Tuesday's Tr http://t.co/af9hu4pU"
2.63E+17,59055457,neutral,Channing tatum will be in white oak tomorrow...for all you stalkers out there
2.57E+17,28660297,positive,@Pastorjoshg @corylethgo @KevinCabe @kcabe21 I'd watch Cougar Town over this any day! January 8 on TBS. Very funny. #firedooley
2.64E+17,93522700,negative,Stacie just hit me up and said my packages might be up here tomorrow if that's the case I'm not going to the rave in San Fran. #priorities
2.64E+17,372547953,negative,Give me 5 mins with Candy the dancer from Deja Vu I'm nutting on my 4th pump she that bad lol
2.64E+17,263579038,positive,"@heeydems Do you know ?they may not but we're so fond of all the countries . Uh,happy Republic Day ."
2.64E+17,57000820,positive,@shootingrocks cof cof~  someone is going to Germany on november 30 ...oh I really envy you   :)  http://t.co/kZZoR8Az
2.63E+17,70257698,positive,"Thank you snow for cancelling classes today. Now you may stop snowing, so that I can drive to Chapel Hill tomorrow. I'd really appreciate it"
2.60E+17,223305414,positive,Chick in my class said Flacco is the best QB in the league. 1- why is a chick talkin football. 2. I cant wait for class tomorrow lol
2.64E+17,14931166,positive,#entrepreneur #angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://t.co/HcU3990c
2.26E+17,42909123,positive,#OilersMobile: July 20: Sam Gagner | http://t.co/MisqEmgQ   @gagns89 nice to have you there for at least another year!
2.64E+17,200276624,positive,think i might go see flight tomorrow just because Denzel Washington ..
2.64E+17,433625759,positive,I wish the best of luck to the boro football players and hope they kick butt Saturday for shaun #WinItForShaun
2.56E+17,62631820,negative,"Honesty is often best policy: Fabio Capello, Russia coach: ""I was hoping Ronaldo's injury was more serious so he couldn't play tomorrow."""
2.64E+17,550523672,positive,"Bestie we gotta go see ""flight"" with Denzel Washington, comes out Friday. Seems so good @Bsociallyactive"
2.64E+17,51887927,positive,"@Yvette_Elena :) Most def, i think when you come tomorrow the boys will be here."
2.64E+17,243903348,negative,This is Austin Rivers 1st game and people sucking him he a rookie chill !
2.64E+17,429312292,neutral,@goatmilkstuff Hello. May I ask how did you get on set of Castle?
2.25E+17,182784794,negative,"@HockeyyInsiderr "" @OilersNow: Gagner's agent says talks continue, will have hearing on Friday if no deal"" MSM just proved you're #clueless!"
2.63E+17,283223567,positive,"Im enjoying Celebrity Juice instead of sleep, going to be fooked tomorrow though"
2.45E+17,40362193,positive,"The Woman In Black - the legendary ghost thriller, touring to Dubai and Abu Dhabi in November &amp; December. More... http://t.co/2uz56zci"
2.64E+17,27952164,neutral,Can it please be Wednesday and POTUS has been re elected. Then we can move this country #Forward!
2.58E+17,832164745,negative,@JessieWagnon @tcswagg NOOOOOOOOO!!!!!! Maybe you can just look over it right before the test tomorrow and do that first
2.64E+17,120627815,neutral,@SteveRattner @JoeNBC @morningmika My friends and I are betting Joe wets his pants when he sees the whopping Mittens will get Nov 6
2.43E+17,175060800,negative,@ahmedthalib waheed proposed mdp to join the  gov prior CoNI's verdict. 7 feb controversial power transfer refrained mdp joining the govt.
2.64E+17,112878558,positive,@AmianaTyransky: Frankie: I think I'm gonna have a date with my bed tomorrow Me: same. That's my boy
2.47E+17,98698262,positive,Pray for Mohamed Morsi the new President of Egypt that he may continue to be a leader for freedom and peace.  http://t.co/f0LKm17i
2.62E+17,35143403,negative,"Axl Rose needs to just give up. Now. Not later, not soon, not tomorrow. NOW!"
2.64E+17,95521694,positive,Shout out to my boy @JshapMMA who fights tomorrow night on the Las Vegas #rfa card. He's put in the work so I don't need to wish him luck.
2.60E+17,624790220,neutral,PBR &amp; @mokbpresents bring you Jim White at the @Do317 Lounge on October 23rd at 7 pm! http://t.co/7x8OfC56
2.64E+17,38781991,positive,Happy Halloween!! Starting this wicked Wednesday off listening to Pink Floyd and Leonard Cohen. Get to take my boys out tonight! Yay!!
2.63E+17,195836839,negative,I wonder what Cortese is thinking after watching that 1st half of total wank? As for Boruc you are a disgrace and a complete TWAT. #saintsfc
2.64E+17,377806186,negative,"Austin Rivers needs to get stronger, #Spurs guards muscling him tonight. He started and just now scored in 4th. #Hornets"
2.12E+17,175959942,positive,"Happy Valentines Day &lt;3... only if you live in Brazil, otherwise its just another irritating Monday."
2.49E+17,29583575,negative,Okay me and @megnicolelewis are about to watch The Woman In Black. This may be a terrible night.
2.64E+17,510441175,positive,@Real_Liam_Payne Saturday I buy my ticket for the #TMHTOUR in Belgium! I'm so happy!!!!
2.61E+17,274713038,positive,"This goes way too fast :O Its been already a year that I saw Avril Lavigne in concert &lt;3 October 25 2011, one of the best day of my life :D"
2.64E+17,393771920,neutral,@SupremeJuice_ go to the bell game tomorrow I'll take you for. A littlle whippa
2.49E+17,16741035,neutral,@multiplexer How does it compare to Diablo III (regardless of how fair that comparison may be)?
2.61E+17,340742345,negative,"How many continents was The Challenge filmed on? ""21?"" okay, what did you fail 2nd grade?"
2.64E+17,440921948,positive,@TimOcchipinti Were going to be at Boys and Girls Club to clean tomorrow at 10am. They told us to bring boots and gloves. All are welcome.
2.64E+17,197837325,positive,David Letterman had an interesting show on Monday. He is located in New York City. Because of the hurricane he... http://t.co/Rt5ORbLK
2.64E+17,407070993,neutral,Anonymous asked: Just realized while watchin fri-end that the youtube account that uploaded the video is... http://t.co/ljUqkCaG
2.64E+17,29458389,positive,"November: my birthday month, election day, a weekend in San Fran with @AdamRGarcia, Naples for Thanksgiving, lots of friends &amp; family. YES."
2.61E+17,515983227,negative,I've been on TV a few times now. Still waiting for the call from ITV about Dancing On Ice though. Starting to think I may be TOO famous.
2.64E+17,146202708,positive,"@AP I hope they make sure to take care of Eli Manning, Giants Vs Pittsburgh on Sunday #NFL"
2.64E+17,40975097,negative,@jenscibs they canceled the Frankie date that was supposed to be tomorrow.  So now everyone is going to the rescheduled show in South Bend.
2.63E+17,191802096,neutral,"I've got 2 tickets to see Leonard Cohen in Rosemont, IL on November 23 that I can't use. Anyone interested? Face value is about $300."
2.64E+17,489523276,positive,@MittRomney come on Romney I may not be able to vote from Britain but I COMPLETLEY support you !!! Good Luck !
1.67E+17,321930538,positive,WWE #raw should be interesting next week. The Road Dogg returned to WWE at the Royal Rumble and Shawn Michaels is going to be on Raw Monday
2.55E+17,321128818,positive,Kendrick Perkins led the league for the 4th year in a row in SPM (Scowls per minute) literally laughed out loud
2.64E+17,427501529,positive,Eli manning best 4th quarter QB in the game!
2.64E+17,19077044,negative,"Lin picks up a loose ball and just trucks Stuckey. Unfortunately, that's not allowed, to bench with 4th foul as Pistons reclaim lead, 67-65."
2.61E+17,274764708,negative,"Not sure what im going to be for halloween yet. Sun Shine is just too obvious, Larry Bird is the front runner as of right now."
2.56E+17,159068839,neutral,"If Cundiff would've made the Field Goal Sunday, I could've been eatin' a free 6in sub at Subway for lunch!"
2.63E+17,382033254,positive,Me personally don't see Grammy playing AFL again still 28 but i think he'll turn to something else now. Best of luck with what may be next.
2.64E+17,84660127,negative,I feel do bad.. My boo Asia bday event maybe cancelled for this Sunday!... I was soooo looking forward to it
2.57E+17,101616998,neutral,"Dirty Jim had to close that one out. If not, he may have started hearing comparisons to Cundiff in this town."
2.64E+17,35667504,neutral,"After the Mid Tennessee vs. Western Kentucky game, I hear they're gonna play the 2nd annual Ogalla, Nebraska Snail Chuckin' Pageant."
2.64E+17,137663720,neutral,"I'm going to Bullet for My Valentine at O2 Academy Glasgow in Glasgow, United Kingdom - Mar 13 http://t.co/WRBbihnV"
2.54E+17,559416098,neutral,"It's Friday and the Soul Train is firmly parked in PRI for the Soul Show on the Radio, C'mon Perth get your requests in for the next hour :)"
2.64E+17,114586489,positive,"Shit, yeah, it's Thursday, Russell Howards Good News and Celebrity Juice is on"
2.64E+17,344213233,positive,Pretty good Thursday night with @juliecbirch! If only Rivers would stop sucking so bad! # @ Qualcomm Stadium http://t.co/opLRzq4a
2.60E+17,173908484,positive,"My Heart is Gold, my Twat is glass, c'mon baby can't ya see? Yes..a glass twat..better known as a ""womb with a view"" ;D LOL!"
2.64E+17,20747392,positive,I'm so good at gambling. I just owned Las Vegas. Leaving tomorrow morning for a weekend of dog sitting and homework. Not a bad week.
2.64E+17,379004709,negative,"I can not change yesterday. I can only make the most to day, and look with hope toward tomorrow. (Anonymous)"
2.60E+17,15825389,positive,Had a wonderful workshop on Thursday at SAG office with Carol Nadell of Selective Casting. She is such a... http://t.co/lMvxPhsh
2.63E+17,748026608,neutral,Why does everyone want to give Eli Manning credit for every win. The truth is Sunday's game should have been a blowout.
2.61E+17,335630017,neutral,Charles Dickens may just have been me in another life. #thisisme http://t.co/Jb70qAyi
2.64E+17,896479644,positive,Going to Buffalo Wild Wings tomorrow with my life long friend Israel and my brother.. That's what I call a good night. #KnicksNation
2.52E+17,444713321,positive,Apple CEO apologizes for error-ridden new map app - Apple CEO Tim Cook apologized Friday for the company&amp;#039;s erro... http://t.co/BjbXiPIq
2.64E+17,51291182,positive,New Die Hard movie coming out Feb 14.. Looks like Bruce Willis is going to be my Valentines date:o)
2.64E+17,145415756,positive,"I liked a @YouTube video http://t.co/HD89je4i Anonymous - Remember, Remember the 5th of November"
2.62E+17,226681200,positive,"Hello man in pointy, multicoloured, snake skin cowboy boots, a suit and Axl Rose's hair, you've made my Friday heart even happier."
2.61E+17,546244454,positive,Me; 'ill bring your birthday card in on Friday' Kane; 'aw really? It's the thought that counts I'd prefer a tv' Twat
2.64E+17,39872392,positive,Gotta go see Flight tomorrow Denzel is the greatest actor ever
