phrases,tagged_phrases,dummy_labels,POS_TAGS_OF_PHRASE
a fwd,a dt fwd nn,1,<DT><NN>
a good,a dt good jj,1,<DT><JJ>
a graph,a dt graph nn,1,<DT><NN>
a grinder,a dt grinder nn,1,<DT><NN>
a ground,a dt ground nn,1,<DT><NN>
a grounded,a dt grounded jj,1,<DT><JJ>
a heater,a dt heater nn,1,<DT><NN>
a hh,a dt hh nn,1,<DT><NN>
a hole,a dt hole nn,1,<DT><NN>
a i,a dt i nn,1,<DT><NN>
a icn,a dt icn nn,1,<DT><NN>
a impeller,a dt impeller nn,1,<DT><NN>
a inch,a dt inch nn,1,<DT><NN>
a inispected,a dt inispected jj,1,<DT><JJ>
a inspected,a dt inspected jj,1,<DT><JJ>
a inspection,a dt inspection nn,1,<DT><NN>
a investigations,a dt investigations nns,1,<DT><NNS>
a ir,a dt ir nn,1,<DT><NN>
a isolate,a dt isolate nn,1,<DT><NN>
a isolated,a dt isolated jj,1,<DT><JJ>
a isolation,a dt isolation nn,1,<DT><NN>
a j,a dt j nn,1,<DT><NN>
a knocking,a dt knocking nn,1,<DT><NN>
a later,a dt later nn,1,<DT><NN>
a leaks,a dt leaks nn,1,<DT><NN>
a lifting,a dt lifting nn,1,<DT><NN>
a like,a dt like jj,1,<DT><JJ>
a little,a dt little jj,1,<DT><JJ>
a long,a dt long jj,1,<DT><JJ>
a look,a dt look nn,1,<DT><NN>
a loose,a dt loose jj,1,<DT><JJ>
a lot,a dt lot nn,1,<DT><NN>
a louver,a dt louver nn,1,<DT><NN>
a louvers,a dt louvers nns,1,<DT><NNS>
a low,a dt low jj,1,<DT><JJ>
a lubricated,a dt lubricated jj,1,<DT><JJ>
a m,a dt m nn,1,<DT><NN>
a machined,a dt machined jj,1,<DT><JJ>
a made,a dt made nn,1,<DT><NN>
a main,a dt main jj,1,<DT><JJ>
a major,a dt major jj,1,<DT><JJ>
a make,a dt make nn,1,<DT><NN>
a maximum,a dt maximum nn,1,<DT><NN>
a meg,a dt meg nn,1,<DT><NN>
a megger,a dt megger nn,1,<DT><NN>
a megohmeter,a dt megohmeter nn,1,<DT><NN>
a min,a dt min nn,1,<DT><NN>
a minmohms,a dt minmohms nn,1,<DT><NN>
a minor,a dt minor jj,1,<DT><JJ>
a minute,a dt minute nn,1,<DT><NN>
a mm,a dt mm nn,1,<DT><NN>
a mohms,a dt mohms nn,1,<DT><NN>
a motor,a dt motor nn,1,<DT><NN>
a mounting,a dt mounting nn,1,<DT><NN>
a mud,a dt mud nn,1,<DT><NN>
a n,a dt n nn,1,<DT><NN>
a nalfleet,a dt nalfleet nn,1,<DT><NN>
a nde,a dt nde nn,1,<DT><NN>
a new,a dt new jj,1,<DT><JJ>
a non,a dt non nn,1,<DT><NN>
a normal,a dt normal jj,1,<DT><JJ>
a note,a dt note nn,1,<DT><NN>
a operation,a dt operation nn,1,<DT><NN>
a pass,a dt pass nn,1,<DT><NN>
a performed,a dt performed nn,1,<DT><NN>
a pi,a dt pi nn,1,<DT><NN>
a plan,a dt plan nn,1,<DT><NN>
a pm,a dt pm nn,1,<DT><NN>
a possibility,a dt possibility nn,1,<DT><NN>
a pressure,a dt pressure nn,1,<DT><NN>
a previous,a dt previous jj,1,<DT><JJ>
a print,a dt print nn,1,<DT><NN>
a pulsation,a dt pulsation nn,1,<DT><NN>
a pumps,a dt pumps nns,1,<DT><NNS>
a quick,a dt quick nn,1,<DT><NN>
a rd,a dt rd nn,1,<DT><NN>
a ready,a dt ready jj,1,<DT><JJ>
a recent,a dt recent jj,1,<DT><JJ>
a record,a dt record nn,1,<DT><NN>
a red,a dt red jj,1,<DT><JJ>
a reduced,a dt reduced jj,1,<DT><JJ>
a remote,a dt remote jj,1,<DT><JJ>
a removed,a dt removed vbd,1,<DT><VBD>
a removing,a dt removing nn,1,<DT><NN>
a rental,a dt rental nn,1,<DT><NN>
a replaced,a dt replaced jj,1,<DT><JJ>
a replacement,a dt replacement nn,1,<DT><NN>
a result,a dt result nn,1,<DT><NN>
a rpm,a dt rpm nn,1,<DT><NN>
a rtd,a dt rtd nn,1,<DT><NN>
a running,a dt running nn,1,<DT><NN>
a safe,a dt safe jj,1,<DT><JJ>
a satisfactory,a dt satisfactory jj,1,<DT><JJ>
a sealed,a dt sealed jj,1,<DT><JJ>
a second,a dt second jj,1,<DT><JJ>
a see,a dt see nn,1,<DT><NN>
a service,a dt service nn,1,<DT><NN>
a set,a dt set nn,1,<DT><NN>
a significant,a dt significant jj,1,<DT><JJ>
a slight,a dt slight nn,1,<DT><NN>
a small,a dt small jj,1,<DT><JJ>
a space,a dt space nn,1,<DT><NN>
a spare,a dt spare nn,1,<DT><NN>
a step,a dt step nn,1,<DT><NN>
a steps,a dt steps nns,1,<DT><NNS>
a stethoscope,a dt stethoscope nn,1,<DT><NN>
a sticker,a dt sticker nn,1,<DT><NN>
a stock,a dt stock nn,1,<DT><NN>
a strange,a dt strange nn,1,<DT><NN>
a strong,a dt strong jj,1,<DT><JJ>
a suitable,a dt suitable jj,1,<DT><JJ>
a switch,a dt switch nn,1,<DT><NN>
a tap,a dt tap nn,1,<DT><NN>
a task,a dt task nn,1,<DT><NN>
a teflon,a dt teflon nn,1,<DT><NN>
a temperature,a dt temperature nn,1,<DT><NN>
a test,a dt test nn,1,<DT><NN>
a third,a dt third jj,1,<DT><JJ>
a thorough,a dt thorough nn,1,<DT><NN>
a thru,a dt thru nn,1,<DT><NN>
a time,a dt time nn,1,<DT><NN>
a unable,a dt unable jj,1,<DT><JJ>
a verified,a dt verified jj,1,<DT><JJ>
a viable,a dt viable jj,1,<DT><JJ>
a vibration,a dt vibration nn,1,<DT><NN>
a visual,a dt visual jj,1,<DT><JJ>
a was,a dt was vbd,1,<DT><VBD>
a way,a dt way nn,1,<DT><NN>
a while,a dt while nn,1,<DT><NN>
a year,a dt year nn,1,<DT><NN>
aand,aand nn,1,<NN>
abb,abb nn,1,<NN>
abbs,abbs nn,1,<NN>
abel,abel nn,1,<NN>
able,able jj,1,<JJ>
abnomalities,abnomalities nns,1,<NNS>
abnormal,abnormal jj,1,<JJ>
abnormalities,abnormalities nns,1,<NNS>
about abnormal noise,about in_pos abnormal jj noise nn,1,<IN><JJ><NN>
about motor,about in_pos motor nn,1,<IN><NN>
above degc,above in_pos degc nn,1,<IN><NN>
above marcelo,above in_pos marcelo nn,1,<IN><NN>
above mohms,above in_pos mohms nn,1,<IN><NN>
above normal operation,above in_pos normal jj operation nn,1,<IN><JJ><NN>
above normal vibration,above in_pos normal jj vibration nn,1,<IN><JJ><NN>
above of motor,above in_pos of in_pos motor nn,1,<IN><IN><NN>
above on step,above in_pos on in_pos step nn,1,<IN><IN><NN>
ac,ac nn,1,<NN>
ac motor,ac nns motor nn,1,<NNS><NN>
accelerometers,accelerometers nns,1,<NNS>
acceptable,acceptable jj,1,<JJ>
accesible,accesible jj,1,<JJ>
access,access nn,1,<NN>
accessible,accessible jj,1,<JJ>
accetable,accetable jj,1,<JJ>
accident,accident nn,1,<NN>
accomplished,accomplished vbn,1,<VBN>
according,according vbg,1,<VBG>
accounted,accounted vbd,1,<VBD>
accumulation,accumulation nn,1,<NN>
accuracy,accuracy nn,1,<NN>
accurate,accurate nn,1,<NN>
accurately hp,accurately rb hp nn,1,<RB><NN>
achieve,achieve nn,1,<NN>
achieved,achieved vbn,1,<VBN>
act,act nn,1,<NN>
act v,act nn v nn,1,<NN><NN>
action,action nn,1,<NN>
actions,actions nns,1,<NNS>
activated,activated vbn,1,<VBN>
actual,actual jj,1,<JJ>
added,added vbd,1,<VBD>
additional,additional jj,1,<JJ>
additive,additive jj,1,<JJ>
address,address nn,1,<NN>
addressed,addressed vbn,1,<VBN>
adequate,adequate nn,1,<NN>
adirt,adirt nn,1,<NN>
adjustable,adjustable jj,1,<JJ>
adjusted,adjusted vbn,1,<VBN>
adjustment,adjustment nn,1,<NN>
aforementioned,aforementioned vbn,1,<VBN>
aft,aft nn,1,<NN>
after drill,after in_pos drill nn,1,<IN><NN>
after id run,after in_pos id jj run nn,1,<IN><JJ><NN>
after idle period,after in_pos idle jj period nn,1,<IN><JJ><NN>
after inspection,after in_pos inspection nn,1,<IN><NN>
after insulation,after in_pos insulation nn,1,<IN><NN>
after lubrication,after in_pos lubrication nn,1,<IN><NN>
after min,after in_pos min nn,1,<IN><NN>
after rig,after in_pos rig nn,1,<IN><NN>
after rotation,after in_pos rotation nn,1,<IN><NN>
after usage,after in_pos usage nn,1,<IN><NN>
again at eow,again rb at in_pos eow nn,1,<RB><IN><NN>
again drive,again rb drive nn,1,<RB><NN>
again ir,again rb ir nn,1,<RB><NN>
again untill,again rb untill jj,1,<RB><JJ>
against corrosion,against in_pos corrosion nn,1,<IN><NN>
age,age nn,1,<NN>
aged,aged vbn,1,<VBN>
agreement,agreement nn,1,<NN>
ahs been,ahs rb been vbn,1,<RB><VBN>
air,air nn,1,<NN>
aircure,aircure nn,1,<NN>
airflow,airflow nn,1,<NN>
airways,airways nns,1,<NNS>
al,al nn,1,<NN>
alarm,alarm nn,1,<NN>
alarm yellow,alarm nn yellow nn,1,<NN><NN>
alarms,alarms nns,1,<NNS>
alert,alert nn,1,<NN>
alerts,alerts nns,1,<NNS>
aligned,aligned vbn,1,<VBN>
aligning,aligning vbg,1,<VBG>
alignment,alignment nn,1,<NN>
all ac,all dt ac nn,1,<DT><NN>
all air,all dt air nn,1,<DT><NN>
all alerts,all dt alerts nns,1,<DT><NNS>
all appear,all dt appear vbp,1,<DT><VBP>
all applicable,all dt applicable jj,1,<DT><JJ>
all available,all dt available jj,1,<DT><JJ>
all bearing,all dt bearing nn,1,<DT><NN>
all blower,all dt blower nn,1,<DT><NN>
all blowers,all dt blowers nns,1,<DT><NNS>
all bolts,all dt bolts nns,1,<DT><NNS>
all bonding,all dt bonding nn,1,<DT><NN>
all boxes,all dt boxes nns,1,<DT><NNS>
all cable,all dt cable nn,1,<DT><NN>
all cables,all dt cables nns,1,<DT><NNS>
all cabling,all dt cabling nn,1,<DT><NN>
all checked,all dt checked vbd,1,<DT><VBD>
all checks,all dt checks nns,1,<DT><NNS>
all choke,all dt choke vbd,1,<DT><VBD>
all components,all dt components nns,1,<DT><NNS>
all conections,all dt conections nns,1,<DT><NNS>
all connections,all dt connections nns,1,<DT><NNS>
all contactors,all dt contactors nns,1,<DT><NNS>
all control,all dt control nn,1,<DT><NN>
all cooling,all dt cooling nn,1,<DT><NN>
all cover,all dt cover nn,1,<DT><NN>
all coverns,all dt coverns nns,1,<DT><NNS>
all covers,all dt covers nns,1,<DT><NNS>
all discrepancies,all dt discrepancies nns,1,<DT><NNS>
all drills,all dt drills nns,1,<DT><NNS>
all duct,all dt duct nn,1,<DT><NN>
all ducting,all dt ducting nn,1,<DT><NN>
all earth,all dt earth nn,1,<DT><NN>
all eas,all dt eas nns,1,<DT><NNS>
all eath,all dt eath nn,1,<DT><NN>
all electrical,all dt electrical jj,1,<DT><JJ>
all equipment,all dt equipment nn,1,<DT><NN>
all estops,all dt estops nns,1,<DT><NNS>
all everything,all dt everything nn,1,<DT><NN>
all ex,all dt ex nn,1,<DT><NN>
all fasteners,all dt fasteners nns,1,<DT><NNS>
all fastners,all dt fastners nns,1,<DT><NNS>
all filters,all dt filters nns,1,<DT><NNS>
all fixing,all dt fixing nn,1,<DT><NN>
all fluid,all dt fluid nn,1,<DT><NN>
all fok,all dt fok nn,1,<DT><NN>
all found,all dt found vbd,1,<DT><VBD>
all gaskets,all dt gaskets nns,1,<DT><NNS>
all gauges,all dt gauges nns,1,<DT><NNS>
all glandes,all dt glandes nns,1,<DT><NNS>
all glanding,all dt glanding nn,1,<DT><NN>
all glands,all dt glands nns,1,<DT><NNS>
all good,all dt good jj,1,<DT><JJ>
all grands,all dt grands nns,1,<DT><NNS>
all ground,all dt ground nn,1,<DT><NN>
all grounding,all dt grounding nn,1,<DT><NN>
all grounds,all dt grounds nns,1,<DT><NNS>
all hardware,all dt hardware nn,1,<DT><NN>
all heaters,all dt heaters nns,1,<DT><NNS>
all high,all dt high jj,1,<DT><JJ>
all hoses,all dt hoses nns,1,<DT><NNS>
all id,all dt id nn,1,<DT><NN>
all in acceptable level,all dt in in_pos acceptable jj level nn,1,<DT><IN><JJ><NN>
all in good condition,all dt in in_pos good jj condition nn,1,<DT><IN><JJ><NN>
all in good order,all dt in in_pos good jj order nn,1,<DT><IN><JJ><NN>
all in good shape,all dt in in_pos good jj shape nn,1,<DT><IN><JJ><NN>
all inspection,all dt inspection nn,1,<DT><NN>
all internal,all dt internal jj,1,<DT><JJ>
all items,all dt items nns,1,<DT><NNS>
all jbox,all dt jbox nn,1,<DT><NN>
all jboxes,all dt jboxes nns,1,<DT><NNS>
all jbs,all dt jbs nn,1,<DT><NN>
all junction,all dt junction nn,1,<DT><NN>
all labeling,all dt labeling nn,1,<DT><NN>
all ldw,all dt ldw nn,1,<DT><NN>
all leads,all dt leads nns,1,<DT><NNS>
all line,all dt line nn,1,<DT><NN>
all lines,all dt lines nns,1,<DT><NNS>
all local,all dt local jj,1,<DT><JJ>
all louver,all dt louver nn,1,<DT><NN>
all main,all dt main jj,1,<DT><JJ>
all manifold,all dt manifold nn,1,<DT><NN>
all mcc,all dt mcc nn,1,<DT><NN>
all mechanical,all dt mechanical jj,1,<DT><JJ>
all metering,all dt metering nn,1,<DT><NN>
all motor,all dt motor nn,1,<DT><NN>
all motors,all dt motors nns,1,<DT><NNS>
all mounting,all dt mounting nn,1,<DT><NN>
all mud,all dt mud nn,1,<DT><NN>
all name,all dt name nn,1,<DT><NN>
all nuts,all dt nuts nns,1,<DT><NNS>
all ok,all dt ok nn,1,<DT><NN>
all operational,all dt operational jj,1,<DT><JJ>
all other,all dt other jj,1,<DT><JJ>
all others,all dt others nns,1,<DT><NNS>
all panel,all dt panel nn,1,<DT><NN>
all personal,all dt personal jj,1,<DT><JJ>
all pionts,all dt pionts nns,1,<DT><NNS>
all pipework,all dt pipework nn,1,<DT><NN>
all piping,all dt piping nn,1,<DT><NN>
all pm,all dt pm nn,1,<DT><NN>
all pressure,all dt pressure nn,1,<DT><NN>
all product,all dt product nn,1,<DT><NN>
all pulsation,all dt pulsation nn,1,<DT><NN>
all pump,all dt pump nn,1,<DT><NN>
all pumps,all dt pumps nns,1,<DT><NNS>
all reading,all dt reading nn,1,<DT><NN>
all readings,all dt readings nns,1,<DT><NNS>
all relevant,all dt relevant jj,1,<DT><JJ>
all rtds,all dt rtds nn,1,<DT><NN>
all run,all dt run vbp,1,<DT><VBP>
all safety,all dt safety nn,1,<DT><NN>
all satisfactory,all dt satisfactory jj,1,<DT><JJ>
all sealed,all dt sealed vbd,1,<DT><VBD>
all seals,all dt seals nns,1,<DT><NNS>
all shrouds,all dt shrouds nns,1,<DT><NNS>
all sound,all dt sound nn,1,<DT><NN>
all standpipe,all dt standpipe nn,1,<DT><NN>
all steps,all dt steps nns,1,<DT><NNS>
all stroke,all dt stroke vbd,1,<DT><VBD>
all supply,all dt supply nn,1,<DT><NN>
all support,all dt support nn,1,<DT><NN>
all survey,all dt survey nn,1,<DT><NN>
all switches,all dt switches nns,1,<DT><NNS>
all tags,all dt tags nns,1,<DT><NNS>
all task,all dt task nn,1,<DT><NN>
all tasks,all dt tasks nns,1,<DT><NNS>
all terminal,all dt terminal nn,1,<DT><NN>
all terminals,all dt terminals nns,1,<DT><NNS>
all terminations,all dt terminations nns,1,<DT><NNS>
all thread,all dt thread nn,1,<DT><NN>
all tool,all dt tool nn,1,<DT><NN>
all tools,all dt tools nns,1,<DT><NNS>
all visual,all dt visual jj,1,<DT><JJ>
all ware,all dt ware nn,1,<DT><NN>
all was,all dt was vbd,1,<DT><VBD>
all were,all dt were vbd,1,<DT><VBD>
all wiring,all dt wiring nn,1,<DT><NN>
all wirings,all dt wirings nns,1,<DT><NNS>
all work,all dt work nn,1,<DT><NN>
allowed,allowed vbn,1,<VBN>
allows,allows nns,1,<NNS>
alls,alls nns,1,<NNS>
along with day,along in_pos with in_pos day nn,1,<IN><IN><NN>
along with heat,along in_pos with in_pos heat nn,1,<IN><IN><NN>
along with humidity,along in_pos with in_pos humidity nn,1,<IN><IN><NN>
along with verification,along in_pos with in_pos verification nn,1,<IN><IN><NN>
already calibrated,already rb calibrated vbn,1,<RB><VBN>
already connected,already rb connected vbn,1,<RB><VBN>
already created,already rb created vbn,1,<RB><VBN>
also as reference,also rb as in_pos reference nn,1,<RB><IN><NN>
also been,also rb been vbn,1,<RB><VBN>
also discovered,also rb discovered vbd,1,<RB><VBD>
also fixed,also rb fixed vbn,1,<RB><VBN>
also in good condition,also rb in in_pos good jj condition nn,1,<RB><IN><JJ><NN>
also mud,also rb mud nn,1,<RB><NN>
also noticed,also rb noticed vbd,1,<RB><VBD>
also surface,also rb surface nn,1,<RB><NN>
alwas,alwas nn,1,<NN>
ambient,ambient nn,1,<NN>
ammended,ammended vbd,1,<VBD>
ammeter,ammeter nn,1,<NN>
ammount,ammount nn,1,<NN>
amount,amount nn,1,<NN>
amp,amp nn,1,<NN>
amp mpb,amp nn mpb nn,1,<NN><NN>
ampchecked,ampchecked nns,1,<NNS>
amperage,amperage nn,1,<NN>
amps,amps nns,1,<NNS>
amps done,amps nns done vbn,1,<NNS><VBN>
amps visualized,amps nns visualized vbd,1,<NNS><VBD>
ampstest,ampstest nn,1,<NN>
an abnormal,an dt abnormal jj,1,<DT><JJ>
an acceptable,an dt acceptable jj,1,<DT><JJ>
an alarm,an dt alarm nn,1,<DT><NN>
an alarms,an dt alarms nns,1,<DT><NNS>
an alert,an dt alert nn,1,<DT><NN>
an ammeter,an dt ammeter nn,1,<DT><NN>
an amp,an dt amp nn,1,<DT><NN>
an appearance,an dt appearance nn,1,<DT><NN>
an average,an dt average nn,1,<DT><NN>
an confimred,an dt confimred jj,1,<DT><JJ>
an earth,an dt earth nn,1,<DT><NN>
an empty,an dt empty jj,1,<DT><JJ>
an enclosed,an dt enclosed jj,1,<DT><JJ>
an extract,an dt extract nn,1,<DT><NN>
an hour,an dt hour nn,1,<DT><NN>
an in good condition,an dt in in_pos good jj condition nn,1,<DT><IN><JJ><NN>
an infrared,an dt infrared jj,1,<DT><JJ>
an investigation,an dt investigation nn,1,<DT><NN>
an ir,an dt ir nn,1,<DT><NN>
an issue,an dt issue nn,1,<DT><NN>
an off,an dt off rp,1,<DT><RP>
an old,an dt old jj,1,<DT><JJ>
an open,an dt open jj,1,<DT><JJ>
an opportunity,an dt opportunity nn,1,<DT><NN>
an overcurrent,an dt overcurrent nn,1,<DT><NN>
an unplanned,an dt unplanned jj,1,<DT><JJ>
analysis,analysis nn,1,<NN>
analyze,analyze nn,1,<NN>
analyzes,analyzes nns,1,<NNS>
andnameplate,andnameplate nn,1,<NN>
anf,anf nn,1,<NN>
annual,annual jj,1,<JJ>
another function,another dt function nn,1,<DT><NN>
another job,another dt job nn,1,<DT><NN>
another pi,another dt pi nn,1,<DT><NN>
another rig,another dt rig nn,1,<DT><NN>
another survey,another dt survey nn,1,<DT><NN>
ans,ans nns,1,<NNS>
any abnormal,any dt abnormal jj,1,<DT><JJ>
any abnormalities,any dt abnormalities nns,1,<DT><NNS>
any action,any dt action nn,1,<DT><NN>
any alarm,any dt alarm nn,1,<DT><NN>
any alarms,any dt alarms nns,1,<DT><NNS>
any bearing,any dt bearing nn,1,<DT><NN>
any cable,any dt cable nn,1,<DT><NN>
any components,any dt components nns,1,<DT><NNS>
any contactors,any dt contactors nns,1,<DT><NNS>
any cracks,any dt cracks nns,1,<DT><NNS>
any dam,any dt dam nn,1,<DT><NN>
any damage,any dt damage nn,1,<DT><NN>
any debris,any dt debris nn,1,<DT><NN>
any defects,any dt defects nns,1,<DT><NNS>
any dirt,any dt dirt nn,1,<DT><NN>
any element,any dt element nn,1,<DT><NN>
any fault,any dt fault nn,1,<DT><NN>
any grounds,any dt grounds nns,1,<DT><NNS>
any heaters,any dt heaters nns,1,<DT><NNS>
any internal,any dt internal jj,1,<DT><JJ>
any issue,any dt issue nn,1,<DT><NN>
any issues,any dt issues nns,1,<DT><NNS>
any load,any dt load nn,1,<DT><NN>
any loose,any dt loose jj,1,<DT><JJ>
any motors,any dt motors nns,1,<DT><NNS>
any movement,any dt movement nn,1,<DT><NN>
any mud,any dt mud nn,1,<DT><NN>
any noiseused,any dt noiseused jj,1,<DT><JJ>
any noticeable,any dt noticeable jj,1,<DT><JJ>
any obvious,any dt obvious jj,1,<DT><JJ>
any parameters,any dt parameters nns,1,<DT><NNS>
any parts,any dt parts nns,1,<DT><NNS>
any problem,any dt problem nn,1,<DT><NN>
any problems,any dt problems nns,1,<DT><NNS>
any screws,any dt screws nns,1,<DT><NNS>
any signs,any dt signs nns,1,<DT><NNS>
any type,any dt type nn,1,<DT><NN>
any unit,any dt unit nn,1,<DT><NN>
any unusal,any dt unusal jj,1,<DT><JJ>
any vibrations,any dt vibrations nns,1,<DT><NNS>
any visible,any dt visible jj,1,<DT><JJ>
any visual,any dt visual jj,1,<DT><JJ>
any water,any dt water nn,1,<DT><NN>
anyone,anyone nn,1,<NN>
anything,anything nn,1,<NN>
apparatus,apparatus nn,1,<NN>
appeared,appeared vbd,1,<VBD>
appears clean,appears vbz clean jj,1,<VBZ><JJ>
applicable,applicable jj,1,<JJ>
applied,applied vbn,1,<VBN>
apply,apply vb,1,<VB>
apply performed,apply nn performed vbd,1,<NN><VBD>
approval,approval nn,1,<NN>
approved,approved vbn,1,<VBN>
april,april nn,1,<NN>
aqua,aqua nn,1,<NN>
arcing,arcing vbg,1,<VBG>
are accounted,are vbp accounted vbn,1,<VBP><VBN>
are addressed,are vbp addressed vbn,1,<VBP><VBN>
are attached,are vbp attached vbn,1,<VBP><VBN>
are bolted,are vbp bolted vbn,1,<VBP><VBN>
are carried,are vbp carried vbn,1,<VBP><VBN>
are checked,are vbp checked vbn,1,<VBP><VBN>
are cleared,are vbp cleared vbn,1,<VBP><VBN>
are closed,are vbp closed vbn,1,<VBP><VBN>
are completed,are vbp completed vbn,1,<VBP><VBN>
are connected,are vbp connected vbn,1,<VBP><VBN>
are cooled,are vbp cooled vbn,1,<VBP><VBN>
are entered,are vbp entered vbn,1,<VBP><VBN>
are formed,are vbp formed vbn,1,<VBP><VBN>
are found,are vbp found vbn,1,<VBP><VBN>
are inserted,are vbp inserted vbn,1,<VBP><VBN>
are installed,are vbp installed vbn,1,<VBP><VBN>
are labeled,are vbp labeled vbn,1,<VBP><VBN>
are located,are vbp located vbn,1,<VBP><VBN>
are marked,are vbp marked vbn,1,<VBP><VBN>
are noted,are vbp noted vbn,1,<VBP><VBN>
are ohms,are vbp ohms jj,1,<VBP><JJ>
are purged,are vbp purged vbn,1,<VBP><VBN>
are recorded,are vbp recorded vbn,1,<VBP><VBN>
are removed,are vbp removed vbn,1,<VBP><VBN>
are run,are vbp run vbn,1,<VBP><VBN>
are sealed,are vbp sealed vbn,1,<VBP><VBN>
are secure,are vbp secure nn,1,<VBP><NN>
are secured,are vbp secured vbn,1,<VBP><VBN>
are set,are vbp set vbn,1,<VBP><VBN>
are tight,are vbp tight jj,1,<VBP><JJ>
are tightened,are vbp tightened vbn,1,<VBP><VBN>
are tripped,are vbp tripped vbn,1,<VBP><VBN>
area,area nn,1,<NN>
arent,arent nn,1,<NN>
ares,ares nns,1,<NNS>
around ac motor,around in_pos ac nns motor nn,1,<IN><NNS><NN>
around motor,around in_pos motor nn,1,<IN><NN>
around ohms,around in_pos ohms nns,1,<IN><NNS>
around pumped,around in_pos pumped vbd,1,<IN><VBD>
arranged,arranged vbn,1,<VBN>
arrester,arrester nn,1,<NN>
arrester present,arrester nn present nn,1,<NN><NN>
arrestor,arrestor nn,1,<NN>
arrived,arrived vbn,1,<VBN>
arrives,arrives nns,1,<NNS>
as air,as in_pos air nn,1,<IN><NN>
as below i,as in_pos below in_pos i nn,1,<IN><IN><NN>
as cooling,as in_pos cooling nn,1,<IN><NN>
as design,as in_pos design nn,1,<IN><NN>
as designed,as in_pos designed vbn,1,<IN><VBN>
as i,as in_pos i nn,1,<IN><NN>
as intended,as in_pos intended vbn,1,<IN><VBN>
as lubrification,as in_pos lubrification nn,1,<IN><NN>
as manufacture,as in_pos manufacture nn,1,<IN><NN>
as motor,as in_pos motor nn,1,<IN><NN>
as n,as in_pos n nn,1,<IN><NN>
as nameplate,as in_pos nameplate nn,1,<IN><NN>
as nameplate refer,as in_pos nameplate jj refer nn,1,<IN><JJ><NN>
as needed note,as in_pos needed vbn note nn,1,<IN><VBN><NN>
as oem,as in_pos oem nn,1,<IN><NN>
as of july,as in_pos of in_pos july nn,1,<IN><IN><NN>
as pass,as in_pos pass nn,1,<IN><NN>
as per chart,as in_pos per in_pos chart nn,1,<IN><IN><NN>
as per check,as in_pos per in_pos check nn,1,<IN><IN><NN>
as per chief,as in_pos per nn chief nn,1,<IN><NN><NN>
as per company,as in_pos per in_pos company nn,1,<IN><IN><NN>
